device,bin,W,L
sky130_fd_pr__esd_nfet_g5v0d10v5,0,17.5,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,1,19.5,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,2,21.5,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,3,23.5,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,4,26.5,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,5,30.25,1.0
sky130_fd_pr__esd_nfet_g5v0d10v5,6,30.25,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,7,40.31,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,8,50.99,1.0
sky130_fd_pr__esd_nfet_g5v0d10v5,9,50.99,0.55
sky130_fd_pr__esd_nfet_g5v0d10v5,10,5.4,0.6
