sky130_fd_pr__nfet_g5v0d10v5_aM10W5p00L0p50	DRAIN:? GATE:? SOURCE:? SUBSTRATE:?
Name	Formula	nd	ng	ns	nb	mname	w	l	m
M1	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M2	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M3	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M4	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M5	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M6	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M7	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M8	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M9	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
M10	MOSFET	DRAIN	GATE	SOURCE	SUBSTRATE	model_use_only	5.05	0.5	1
