device,bin,W,L
sky130_fd_pr__pfet_01v8,0,1.26,0.15
sky130_fd_pr__pfet_01v8,1,1.68,0.15
sky130_fd_pr__pfet_01v8,2,1.0,1.0
sky130_fd_pr__pfet_01v8,3,1.0,2.0
sky130_fd_pr__pfet_01v8,4,1.0,4.0
sky130_fd_pr__pfet_01v8,5,1.0,8.0
sky130_fd_pr__pfet_01v8,6,1.0,0.15
sky130_fd_pr__pfet_01v8,7,1.0,0.18
sky130_fd_pr__pfet_01v8,8,1.0,0.25
sky130_fd_pr__pfet_01v8,9,1.0,0.5
sky130_fd_pr__pfet_01v8,10,2.0,0.15
sky130_fd_pr__pfet_01v8,11,3.0,1.0
sky130_fd_pr__pfet_01v8,12,3.0,2.0
sky130_fd_pr__pfet_01v8,13,3.0,4.0
sky130_fd_pr__pfet_01v8,14,3.0,8.0
sky130_fd_pr__pfet_01v8,15,3.0,0.15
sky130_fd_pr__pfet_01v8,16,3.0,0.18
sky130_fd_pr__pfet_01v8,17,3.0,0.25
sky130_fd_pr__pfet_01v8,18,3.0,0.5
sky130_fd_pr__pfet_01v8,19,5.0,1.0
sky130_fd_pr__pfet_01v8,20,5.0,2.0
sky130_fd_pr__pfet_01v8,21,5.0,4.0
sky130_fd_pr__pfet_01v8,22,5.0,8.0
sky130_fd_pr__pfet_01v8,23,5.0,0.15
sky130_fd_pr__pfet_01v8,24,5.0,0.18
sky130_fd_pr__pfet_01v8,25,5.0,0.25
sky130_fd_pr__pfet_01v8,26,5.0,0.5
sky130_fd_pr__pfet_01v8,27,7.0,1.0
sky130_fd_pr__pfet_01v8,28,7.0,2.0
sky130_fd_pr__pfet_01v8,29,7.0,4.0
sky130_fd_pr__pfet_01v8,30,7.0,8.0
sky130_fd_pr__pfet_01v8,31,7.0,0.15
sky130_fd_pr__pfet_01v8,32,7.0,0.18
sky130_fd_pr__pfet_01v8,33,7.0,0.25
sky130_fd_pr__pfet_01v8,34,7.0,0.5
sky130_fd_pr__pfet_01v8,35,0.42,1.0
sky130_fd_pr__pfet_01v8,36,0.42,20.0
sky130_fd_pr__pfet_01v8,37,0.42,2.0
sky130_fd_pr__pfet_01v8,38,0.42,4.0
sky130_fd_pr__pfet_01v8,39,0.42,8.0
sky130_fd_pr__pfet_01v8,40,0.42,0.15
sky130_fd_pr__pfet_01v8,41,0.42,0.18
sky130_fd_pr__pfet_01v8,42,0.42,0.5
sky130_fd_pr__pfet_01v8,43,0.55,1.0
sky130_fd_pr__pfet_01v8,44,0.55,2.0
sky130_fd_pr__pfet_01v8,45,0.55,4.0
sky130_fd_pr__pfet_01v8,46,0.55,8.0
sky130_fd_pr__pfet_01v8,47,0.55,0.15
sky130_fd_pr__pfet_01v8,48,0.55,0.5
sky130_fd_pr__pfet_01v8,49,0.64,0.15
sky130_fd_pr__pfet_01v8,50,0.84,0.15
sky130_fd_pr__pfet_01v8,51,1.65,0.15
