device,bin,W,L
sky130_fd_pr__pfet_01v8_lvt,0,1.0,1.0
sky130_fd_pr__pfet_01v8_lvt,1,1.0,2.0
sky130_fd_pr__pfet_01v8_lvt,2,1.0,4.0
sky130_fd_pr__pfet_01v8_lvt,3,1.0,8.0
sky130_fd_pr__pfet_01v8_lvt,4,1.0,0.35
sky130_fd_pr__pfet_01v8_lvt,5,1.0,0.5
sky130_fd_pr__pfet_01v8_lvt,6,3.0,1.5
sky130_fd_pr__pfet_01v8_lvt,7,3.0,1.0
sky130_fd_pr__pfet_01v8_lvt,8,3.0,2.0
sky130_fd_pr__pfet_01v8_lvt,9,3.0,4.0
sky130_fd_pr__pfet_01v8_lvt,10,3.0,8.0
sky130_fd_pr__pfet_01v8_lvt,11,3.0,0.35
sky130_fd_pr__pfet_01v8_lvt,12,3.0,0.5
sky130_fd_pr__pfet_01v8_lvt,13,5.0,1.5
sky130_fd_pr__pfet_01v8_lvt,14,5.0,1.0
sky130_fd_pr__pfet_01v8_lvt,15,5.0,2.0
sky130_fd_pr__pfet_01v8_lvt,16,5.0,4.0
sky130_fd_pr__pfet_01v8_lvt,17,5.0,8.0
sky130_fd_pr__pfet_01v8_lvt,18,5.0,0.35
sky130_fd_pr__pfet_01v8_lvt,19,5.0,0.5
sky130_fd_pr__pfet_01v8_lvt,20,7.0,1.5
sky130_fd_pr__pfet_01v8_lvt,21,7.0,1.0
sky130_fd_pr__pfet_01v8_lvt,22,7.0,2.0
sky130_fd_pr__pfet_01v8_lvt,23,7.0,4.0
sky130_fd_pr__pfet_01v8_lvt,24,7.0,8.0
sky130_fd_pr__pfet_01v8_lvt,25,7.0,0.35
sky130_fd_pr__pfet_01v8_lvt,26,7.0,0.5
sky130_fd_pr__pfet_01v8_lvt,27,0.42,1.0
sky130_fd_pr__pfet_01v8_lvt,28,0.42,20.0
sky130_fd_pr__pfet_01v8_lvt,29,0.42,2.0
sky130_fd_pr__pfet_01v8_lvt,30,0.42,4.0
sky130_fd_pr__pfet_01v8_lvt,31,0.42,8.0
sky130_fd_pr__pfet_01v8_lvt,32,0.42,0.35
sky130_fd_pr__pfet_01v8_lvt,33,0.42,0.5
sky130_fd_pr__pfet_01v8_lvt,34,0.55,1.0
sky130_fd_pr__pfet_01v8_lvt,35,0.55,2.0
sky130_fd_pr__pfet_01v8_lvt,36,0.55,4.0
sky130_fd_pr__pfet_01v8_lvt,37,0.55,8.0
sky130_fd_pr__pfet_01v8_lvt,38,0.55,0.35
sky130_fd_pr__pfet_01v8_lvt,39,0.55,0.5
