device,bin,W,L
sky130_fd_pr__pfet_01v8_hvt,0,1.26,0.15
sky130_fd_pr__pfet_01v8_hvt,1,1.68,0.15
sky130_fd_pr__pfet_01v8_hvt,2,1.0,1.0
sky130_fd_pr__pfet_01v8_hvt,3,1.0,2.0
sky130_fd_pr__pfet_01v8_hvt,4,1.0,4.0
sky130_fd_pr__pfet_01v8_hvt,5,1.0,8.0
sky130_fd_pr__pfet_01v8_hvt,6,1.0,0.15
sky130_fd_pr__pfet_01v8_hvt,7,1.0,0.18
sky130_fd_pr__pfet_01v8_hvt,8,1.0,0.25
sky130_fd_pr__pfet_01v8_hvt,9,1.0,0.5
sky130_fd_pr__pfet_01v8_hvt,10,3.0,1.0
sky130_fd_pr__pfet_01v8_hvt,11,3.0,2.0
sky130_fd_pr__pfet_01v8_hvt,12,3.0,4.0
sky130_fd_pr__pfet_01v8_hvt,13,3.0,8.0
sky130_fd_pr__pfet_01v8_hvt,14,3.0,0.15
sky130_fd_pr__pfet_01v8_hvt,15,3.0,0.18
sky130_fd_pr__pfet_01v8_hvt,16,3.0,0.25
sky130_fd_pr__pfet_01v8_hvt,17,3.0,0.5
sky130_fd_pr__pfet_01v8_hvt,18,5.0,1.0
sky130_fd_pr__pfet_01v8_hvt,19,5.0,2.0
sky130_fd_pr__pfet_01v8_hvt,20,5.0,4.0
sky130_fd_pr__pfet_01v8_hvt,21,5.0,8.0
sky130_fd_pr__pfet_01v8_hvt,22,5.0,0.15
sky130_fd_pr__pfet_01v8_hvt,23,5.0,0.18
sky130_fd_pr__pfet_01v8_hvt,24,5.0,0.25
sky130_fd_pr__pfet_01v8_hvt,25,5.0,0.5
sky130_fd_pr__pfet_01v8_hvt,26,7.0,1.0
sky130_fd_pr__pfet_01v8_hvt,27,7.0,2.0
sky130_fd_pr__pfet_01v8_hvt,28,7.0,4.0
sky130_fd_pr__pfet_01v8_hvt,29,7.0,8.0
sky130_fd_pr__pfet_01v8_hvt,30,7.0,0.15
sky130_fd_pr__pfet_01v8_hvt,31,7.0,0.18
sky130_fd_pr__pfet_01v8_hvt,32,7.0,0.25
sky130_fd_pr__pfet_01v8_hvt,33,7.0,0.5
sky130_fd_pr__pfet_01v8_hvt,34,0.42,1.0
sky130_fd_pr__pfet_01v8_hvt,35,0.42,20.0
sky130_fd_pr__pfet_01v8_hvt,36,0.42,2.0
sky130_fd_pr__pfet_01v8_hvt,37,0.42,4.0
sky130_fd_pr__pfet_01v8_hvt,38,0.42,8.0
sky130_fd_pr__pfet_01v8_hvt,39,0.42,0.15
sky130_fd_pr__pfet_01v8_hvt,40,0.42,0.18
sky130_fd_pr__pfet_01v8_hvt,41,0.42,0.5
sky130_fd_pr__pfet_01v8_hvt,42,0.55,1.0
sky130_fd_pr__pfet_01v8_hvt,43,0.55,2.0
sky130_fd_pr__pfet_01v8_hvt,44,0.55,4.0
sky130_fd_pr__pfet_01v8_hvt,45,0.55,8.0
sky130_fd_pr__pfet_01v8_hvt,46,0.55,0.15
sky130_fd_pr__pfet_01v8_hvt,47,0.55,0.5
sky130_fd_pr__pfet_01v8_hvt,48,0.64,0.15
sky130_fd_pr__pfet_01v8_hvt,49,0.84,0.15
sky130_fd_pr__pfet_01v8_hvt,50,0.64,0.18
sky130_fd_pr__pfet_01v8_hvt,51,2.0,0.15
sky130_fd_pr__pfet_01v8_hvt,52,1.12,0.15
sky130_fd_pr__pfet_01v8_hvt,53,1.65,0.15
sky130_fd_pr__pfet_01v8_hvt,54,0.84,0.18
sky130_fd_pr__pfet_01v8_hvt,55,1.68,0.18
sky130_fd_pr__pfet_01v8_hvt,56,0.36,0.15
sky130_fd_pr__pfet_01v8_hvt,57,0.54,0.15
sky130_fd_pr__pfet_01v8_hvt,58,0.63,0.15
sky130_fd_pr__pfet_01v8_hvt,59,0.7,0.15
sky130_fd_pr__pfet_01v8_hvt,60,0.75,0.15
sky130_fd_pr__pfet_01v8_hvt,61,0.79,0.15
sky130_fd_pr__pfet_01v8_hvt,62,0.82,0.15
sky130_fd_pr__pfet_01v8_hvt,63,0.82,0.18
sky130_fd_pr__pfet_01v8_hvt,64,0.82,0.25
sky130_fd_pr__pfet_01v8_hvt,65,0.82,0.5
sky130_fd_pr__pfet_01v8_hvt,66,0.86,0.15
sky130_fd_pr__pfet_01v8_hvt,67,0.94,0.15
