device,bin,W,L
sky130_fd_pr__pfet_g5v0d10v5,0,10.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,1,15.0,1.0
sky130_fd_pr__pfet_g5v0d10v5,2,15.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,3,1.5,1.0
sky130_fd_pr__pfet_g5v0d10v5,4,1.5,2.0
sky130_fd_pr__pfet_g5v0d10v5,5,1.5,4.0
sky130_fd_pr__pfet_g5v0d10v5,6,1.5,0.5
sky130_fd_pr__pfet_g5v0d10v5,7,1.0,1.0
sky130_fd_pr__pfet_g5v0d10v5,8,1.0,2.0
sky130_fd_pr__pfet_g5v0d10v5,9,1.0,4.0
sky130_fd_pr__pfet_g5v0d10v5,10,1.0,8.0
sky130_fd_pr__pfet_g5v0d10v5,11,1.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,12,1.0,0.6
sky130_fd_pr__pfet_g5v0d10v5,13,1.0,0.8
sky130_fd_pr__pfet_g5v0d10v5,14,20.0,1.0
sky130_fd_pr__pfet_g5v0d10v5,15,20.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,16,3.0,1.0
sky130_fd_pr__pfet_g5v0d10v5,17,3.0,2.0
sky130_fd_pr__pfet_g5v0d10v5,18,3.0,4.0
sky130_fd_pr__pfet_g5v0d10v5,19,3.0,8.0
sky130_fd_pr__pfet_g5v0d10v5,20,3.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,21,3.0,0.6
sky130_fd_pr__pfet_g5v0d10v5,22,5.0,1.0
sky130_fd_pr__pfet_g5v0d10v5,23,5.0,2.0
sky130_fd_pr__pfet_g5v0d10v5,24,5.0,4.0
sky130_fd_pr__pfet_g5v0d10v5,25,5.0,8.0
sky130_fd_pr__pfet_g5v0d10v5,26,5.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,27,5.0,0.6
sky130_fd_pr__pfet_g5v0d10v5,28,5.0,0.8
sky130_fd_pr__pfet_g5v0d10v5,29,7.0,1.0
sky130_fd_pr__pfet_g5v0d10v5,30,7.0,2.0
sky130_fd_pr__pfet_g5v0d10v5,31,7.0,4.0
sky130_fd_pr__pfet_g5v0d10v5,32,7.0,8.0
sky130_fd_pr__pfet_g5v0d10v5,33,7.0,0.5
sky130_fd_pr__pfet_g5v0d10v5,34,7.0,0.8
sky130_fd_pr__pfet_g5v0d10v5,35,0.42,1.0
sky130_fd_pr__pfet_g5v0d10v5,36,0.42,20.0
sky130_fd_pr__pfet_g5v0d10v5,37,0.42,2.0
sky130_fd_pr__pfet_g5v0d10v5,38,0.42,4.0
sky130_fd_pr__pfet_g5v0d10v5,39,0.42,8.0
sky130_fd_pr__pfet_g5v0d10v5,40,0.42,0.5
sky130_fd_pr__pfet_g5v0d10v5,41,0.42,0.6
sky130_fd_pr__pfet_g5v0d10v5,42,0.42,0.8
sky130_fd_pr__pfet_g5v0d10v5,43,0.75,1.0
sky130_fd_pr__pfet_g5v0d10v5,44,0.75,2.0
sky130_fd_pr__pfet_g5v0d10v5,45,0.75,4.0
sky130_fd_pr__pfet_g5v0d10v5,46,0.75,0.5
sky130_fd_pr__pfet_g5v0d10v5,47,0.75,0.8
sky130_fd_pr__pfet_g5v0d10v5,48,0.7,0.6
