device,bin,W,L
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,0,1.65,0.15
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,1,1.65,0.18
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,2,1.65,0.25
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,3,3.01,0.15
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,4,3.01,0.18
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,5,3.01,0.25
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,6,5.05,0.15
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,7,5.05,0.18
sky130_fd_pr__rf_nfet_01v8_lvt_bM02,8,5.05,0.25
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,0,1.65,0.15
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,1,1.65,0.18
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,2,1.65,0.25
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,3,3.01,0.15
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,4,3.01,0.18
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,5,3.01,0.25
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,6,5.05,0.15
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,7,5.05,0.18
sky130_fd_pr__rf_nfet_01v8_lvt_bM04,8,5.05,0.25
