run,AVDD,corner,temperature,vin_noi_rms
run_00,1.7,tt,-40,49.055
run_01,1.8,tt,-40,50.085
run_02,1.9,tt,-40,51.467
run_03,1.7,ss,-40,50.463
run_04,1.8,ss,-40,50.988
run_05,1.9,ss,-40,51.796
run_06,1.7,ff,-40,48.551
run_07,1.8,ff,-40,50.200
run_08,1.9,ff,-40,52.261
run_09,1.7,sf,-40,45.888
run_10,1.8,sf,-40,46.237
run_11,1.9,sf,-40,46.872
run_12,1.7,fs,-40,54.678
run_13,1.8,fs,-40,56.892
run_14,1.9,fs,-40,59.579
run_15,1.7,tt,27,55.072
run_16,1.8,tt,27,56.432
run_17,1.9,tt,27,58.024
run_18,1.7,ss,27,56.018
run_19,1.8,ss,27,56.984
run_20,1.9,ss,27,58.157
run_21,1.7,ff,27,54.978
run_22,1.8,ff,27,56.827
run_23,1.9,ff,27,58.902
run_24,1.7,sf,27,50.591
run_25,1.8,sf,27,51.400
run_26,1.9,sf,27,52.388
run_27,1.7,fs,27,62.246
run_28,1.8,fs,27,64.599
run_29,1.9,fs,27,67.182
run_30,1.7,tt,125,64.306
run_31,1.8,tt,125,65.926
run_32,1.9,tt,125,67.638
run_33,1.7,ss,125,64.693
run_34,1.8,ss,125,66.040
run_35,1.9,ss,125,67.477
run_36,1.7,ff,125,64.924
run_37,1.8,ff,125,66.883
run_38,1.9,ff,125,68.914
run_39,1.7,sf,125,58.277
run_40,1.8,sf,125,59.357
run_41,1.9,sf,125,60.532
run_42,1.7,fs,125,73.730
run_43,1.8,fs,125,76.121
run_44,1.9,fs,125,78.563
