run,AVDD,corner,temperature,power_tot
run_00,1.7,tt,-40,1.711e-04
run_01,1.8,tt,-40,1.826e-04
run_02,1.9,tt,-40,1.941e-04
run_03,1.7,ss,-40,1.696e-04
run_04,1.8,ss,-40,1.810e-04
run_05,1.9,ss,-40,1.925e-04
run_06,1.7,ff,-40,1.726e-04
run_07,1.8,ff,-40,1.841e-04
run_08,1.9,ff,-40,1.957e-04
run_09,1.7,fs,-40,1.720e-04
run_10,1.8,fs,-40,1.834e-04
run_11,1.9,fs,-40,1.949e-04
run_12,1.7,sf,-40,1.701e-04
run_13,1.8,sf,-40,1.816e-04
run_14,1.9,sf,-40,1.931e-04
run_15,1.7,tt,27,1.722e-04
run_16,1.8,tt,27,1.836e-04
run_17,1.9,tt,27,1.950e-04
run_18,1.7,ss,27,1.708e-04
run_19,1.8,ss,27,1.821e-04
run_20,1.9,ss,27,1.935e-04
run_21,1.7,ff,27,1.737e-04
run_22,1.8,ff,27,1.851e-04
run_23,1.9,ff,27,1.966e-04
run_24,1.7,fs,27,1.730e-04
run_25,1.8,fs,27,1.843e-04
run_26,1.9,fs,27,1.957e-04
run_27,1.7,sf,27,1.715e-04
run_28,1.8,sf,27,1.829e-04
run_29,1.9,sf,27,1.943e-04
run_30,1.7,tt,130,1.740e-04
run_31,1.8,tt,130,1.854e-04
run_32,1.9,tt,130,1.968e-04
run_33,1.7,ss,130,1.722e-04
run_34,1.8,ss,130,1.836e-04
run_35,1.9,ss,130,1.949e-04
run_36,1.7,ff,130,1.760e-04
run_37,1.8,ff,130,1.875e-04
run_38,1.9,ff,130,1.990e-04
run_39,1.7,fs,130,1.751e-04
run_40,1.8,fs,130,1.866e-04
run_41,1.9,fs,130,1.980e-04
run_42,1.7,sf,130,1.735e-04
run_43,1.8,sf,130,1.849e-04
run_44,1.9,sf,130,1.964e-04
