run,AVDD,corner,temperature,rise_slew,fall_slew
run_00,1.7,tt,-40,5.191e+06,3.641e+06
run_01,1.8,tt,-40,6.027e+06,4.259e+06
run_02,1.9,tt,-40,6.825e+06,4.877e+06
run_03,1.7,ss,-40,4.385e+06,3.178e+06
run_04,1.8,ss,-40,5.148e+06,3.745e+06
run_05,1.9,ss,-40,5.909e+06,4.326e+06
run_06,1.7,ff,-40,5.976e+06,4.101e+06
run_07,1.8,ff,-40,6.851e+06,4.764e+06
run_08,1.9,ff,-40,7.678e+06,5.424e+06
run_09,1.7,sf,-40,3.944e+06,3.265e+06
run_10,1.8,sf,-40,4.712e+06,3.883e+06
run_11,1.9,sf,-40,5.487e+06,4.504e+06
run_12,1.7,fs,-40,6.400e+06,3.762e+06
run_13,1.8,fs,-40,7.262e+06,4.387e+06
run_14,1.9,fs,-40,8.066e+06,5.014e+06
run_15,1.7,tt,27,4.674e+06,3.037e+06
run_16,1.8,tt,27,5.342e+06,3.526e+06
run_17,1.9,tt,27,5.992e+06,4.022e+06
run_18,1.7,ss,27,4.092e+06,2.695e+06
run_19,1.8,ss,27,4.731e+06,3.149e+06
run_20,1.9,ss,27,5.357e+06,3.612e+06
run_21,1.7,ff,27,5.172e+06,3.364e+06
run_22,1.8,ff,27,5.859e+06,3.885e+06
run_23,1.9,ff,27,6.523e+06,4.413e+06
run_24,1.7,sf,27,3.773e+06,2.876e+06
run_25,1.8,sf,27,4.421e+06,3.368e+06
run_26,1.9,sf,27,5.067e+06,3.866e+06
run_27,1.7,fs,27,5.419e+06,3.029e+06
run_28,1.8,fs,27,6.099e+06,3.518e+06
run_29,1.9,fs,27,6.747e+06,4.017e+06
run_30,1.7,tt,125,3.942e+06,2.420e+06
run_31,1.8,tt,125,4.409e+06,2.776e+06
run_32,1.9,tt,125,4.862e+06,3.140e+06
run_33,1.7,ss,125,3.651e+06,2.195e+06
run_34,1.8,ss,125,4.115e+06,2.530e+06
run_35,1.9,ss,125,4.570e+06,2.874e+06
run_36,1.7,ff,125,4.127e+06,2.619e+06
run_37,1.8,ff,125,4.588e+06,2.992e+06
run_38,1.9,ff,125,5.030e+06,3.371e+06
run_39,1.7,sf,125,3.494e+06,2.425e+06
run_40,1.8,sf,125,3.971e+06,2.787e+06
run_41,1.9,sf,125,4.442e+06,3.156e+06
run_42,1.7,fs,125,4.127e+06,2.298e+06
run_43,1.8,fs,125,4.565e+06,2.641e+06
run_44,1.9,fs,125,4.979e+06,2.993e+06
