run,AVDD,corner,temperature,CMRR_DC
run_00,1.7,tt,-40,-6.526e+01
run_01,1.8,tt,-40,-6.175e+01
run_02,1.9,tt,-40,-5.996e+01
run_03,1.7,ss,-40,-8.421e+01
run_04,1.8,ss,-40,-6.722e+01
run_05,1.9,ss,-40,-6.336e+01
run_06,1.7,ff,-40,-5.961e+01
run_07,1.8,ff,-40,-5.806e+01
run_08,1.9,ff,-40,-5.709e+01
run_09,1.7,sf,-40,-7.332e+01
run_10,1.8,sf,-40,-6.177e+01
run_11,1.9,sf,-40,-5.877e+01
run_12,1.7,fs,-40,-6.354e+01
run_13,1.8,fs,-40,-6.169e+01
run_14,1.9,fs,-40,-6.047e+01
run_15,1.7,tt,27,-5.686e+01
run_16,1.8,tt,27,-5.544e+01
run_17,1.9,tt,27,-5.456e+01
run_18,1.7,ss,27,-6.195e+01
run_19,1.8,ss,27,-5.891e+01
run_20,1.9,ss,27,-5.730e+01
run_21,1.7,ff,27,-5.285e+01
run_22,1.8,ff,27,-5.214e+01
run_23,1.9,ff,27,-5.165e+01
run_24,1.7,sf,27,-5.509e+01
run_25,1.8,sf,27,-5.287e+01
run_26,1.9,sf,27,-5.178e+01
run_27,1.7,fs,27,-5.746e+01
run_28,1.8,fs,27,-5.659e+01
run_29,1.9,fs,27,-5.593e+01
run_30,1.7,tt,125,-4.761e+01
run_31,1.8,tt,125,-4.721e+01
run_32,1.9,tt,125,-4.692e+01
run_33,1.7,ss,125,-5.077e+01
run_34,1.8,ss,125,-5.013e+01
run_35,1.9,ss,125,-4.965e+01
run_36,1.7,ff,125,-4.348e+01
run_37,1.8,ff,125,-4.330e+01
run_38,1.9,ff,125,-4.317e+01
run_39,1.7,sf,125,-4.256e+01
run_40,1.8,sf,125,-4.215e+01
run_41,1.9,sf,125,-4.191e+01
run_42,1.7,fs,125,-4.956e+01
run_43,1.8,fs,125,-4.951e+01
run_44,1.9,fs,125,-4.935e+01
