run,AVDD,corner,temperature,power_tot,power_ota_core,power_ota_bias
run_00,1.7,tt,-40,1.709e-04,1.029e-04,6.796e-05
run_01,1.8,tt,-40,1.824e-04,1.104e-04,7.199e-05
run_02,1.9,tt,-40,1.940e-04,1.180e-04,7.601e-05
run_03,1.7,ss,-40,1.693e-04,1.014e-04,6.794e-05
run_04,1.8,ss,-40,1.808e-04,1.088e-04,7.196e-05
run_05,1.9,ss,-40,1.923e-04,1.163e-04,7.598e-05
run_06,1.7,ff,-40,1.724e-04,1.045e-04,6.799e-05
run_07,1.8,ff,-40,1.840e-04,1.120e-04,7.201e-05
run_08,1.9,ff,-40,1.957e-04,1.196e-04,7.604e-05
run_09,1.7,fs,-40,1.718e-04,1.039e-04,6.798e-05
run_10,1.8,fs,-40,1.833e-04,1.113e-04,7.200e-05
run_11,1.9,fs,-40,1.949e-04,1.188e-04,7.602e-05
run_12,1.7,sf,-40,1.697e-04,1.018e-04,6.792e-05
run_13,1.8,sf,-40,1.813e-04,1.093e-04,7.196e-05
run_14,1.9,sf,-40,1.929e-04,1.169e-04,7.599e-05
run_15,1.7,tt,27,1.720e-04,1.040e-04,6.798e-05
run_16,1.8,tt,27,1.834e-04,1.114e-04,7.200e-05
run_17,1.9,tt,27,1.949e-04,1.189e-04,7.602e-05
run_18,1.7,ss,27,1.705e-04,1.025e-04,6.795e-05
run_19,1.8,ss,27,1.819e-04,1.099e-04,7.198e-05
run_20,1.9,ss,27,1.933e-04,1.173e-04,7.600e-05
run_21,1.7,ff,27,1.736e-04,1.056e-04,6.800e-05
run_22,1.8,ff,27,1.851e-04,1.130e-04,7.203e-05
run_23,1.9,ff,27,1.966e-04,1.205e-04,7.605e-05
run_24,1.7,fs,27,1.728e-04,1.048e-04,6.800e-05
run_25,1.8,fs,27,1.842e-04,1.122e-04,7.201e-05
run_26,1.9,fs,27,1.957e-04,1.197e-04,7.603e-05
run_27,1.7,sf,27,1.712e-04,1.032e-04,6.795e-05
run_28,1.8,sf,27,1.826e-04,1.107e-04,7.198e-05
run_29,1.9,sf,27,1.942e-04,1.182e-04,7.601e-05
run_30,1.7,tt,130,1.738e-04,1.058e-04,6.801e-05
run_31,1.8,tt,130,1.853e-04,1.132e-04,7.203e-05
run_32,1.9,tt,130,1.967e-04,1.207e-04,7.605e-05
run_33,1.7,ss,130,1.720e-04,1.040e-04,6.798e-05
run_34,1.8,ss,130,1.834e-04,1.114e-04,7.200e-05
run_35,1.9,ss,130,1.948e-04,1.188e-04,7.602e-05
run_36,1.7,ff,130,1.759e-04,1.079e-04,6.803e-05
run_37,1.8,ff,130,1.874e-04,1.154e-04,7.206e-05
run_38,1.9,ff,130,1.990e-04,1.229e-04,7.608e-05
run_39,1.7,fs,130,1.749e-04,1.069e-04,6.802e-05
run_40,1.8,fs,130,1.865e-04,1.144e-04,7.203e-05
run_41,1.9,fs,130,1.980e-04,1.219e-04,7.605e-05
run_42,1.7,sf,130,1.732e-04,1.052e-04,6.798e-05
run_43,1.8,sf,130,1.847e-04,1.127e-04,7.201e-05
run_44,1.9,sf,130,1.962e-04,1.202e-04,7.604e-05
