run,AVDD,corner,temperature,PSRR_DC
run_00,1.7,tt,-40,-5.198e+01
run_01,1.8,tt,-40,-5.036e+01
run_02,1.9,tt,-40,-4.940e+01
run_03,1.7,ss,-40,-5.367e+01
run_04,1.8,ss,-40,-5.177e+01
run_05,1.9,ss,-40,-5.068e+01
run_06,1.7,ff,-40,-5.073e+01
run_07,1.8,ff,-40,-4.906e+01
run_08,1.9,ff,-40,-4.820e+01
run_09,1.7,sf,-40,-5.611e+01
run_10,1.8,sf,-40,-5.214e+01
run_11,1.9,sf,-40,-5.056e+01
run_12,1.7,fs,-40,-5.129e+01
run_13,1.8,fs,-40,-4.958e+01
run_14,1.9,fs,-40,-4.875e+01
run_15,1.7,tt,27,-5.287e+01
run_16,1.8,tt,27,-5.083e+01
run_17,1.9,tt,27,-4.997e+01
run_18,1.7,ss,27,-5.345e+01
run_19,1.8,ss,27,-5.168e+01
run_20,1.9,ss,27,-5.081e+01
run_21,1.7,ff,27,-5.234e+01
run_22,1.8,ff,27,-5.001e+01
run_23,1.9,ff,27,-4.917e+01
run_24,1.7,sf,27,-5.350e+01
run_25,1.8,sf,27,-5.136e+01
run_26,1.9,sf,27,-5.034e+01
run_27,1.7,fs,27,-5.394e+01
run_28,1.8,fs,27,-5.099e+01
run_29,1.9,fs,27,-5.000e+01
run_30,1.7,tt,125,-6.048e+01
run_31,1.8,tt,125,-5.363e+01
run_32,1.9,tt,125,-5.189e+01
run_33,1.7,ss,125,-5.890e+01
run_34,1.8,ss,125,-5.382e+01
run_35,1.9,ss,125,-5.229e+01
run_36,1.7,ff,125,-6.430e+01
run_37,1.8,ff,125,-5.368e+01
run_38,1.9,ff,125,-5.160e+01
run_39,1.7,sf,125,-5.701e+01
run_40,1.8,sf,125,-5.278e+01
run_41,1.9,sf,125,-5.141e+01
run_42,1.7,fs,125,-6.817e+01
run_43,1.8,fs,125,-5.681e+01
run_44,1.9,fs,125,-5.332e+01
