isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.27566767e-08,1.00000000e-09,9.99466351e-10,1.00000000e-09,3.48287647e-16,1.00000000e-09,-6.93298566e-17,1.00000000e-09,2.39438020e-19,1.00000000e-09,4.25445528e-17,1.00000000e-09,6.37162386e-17,1.00000000e-09,-1.28176667e-19,1.00000000e-09,1.22084938e-09,1.00000000e-09,8.61789137e-01,1.00000000e-09,3.57907467e-02,1.00000000e-09,5.33574544e-01,1.00000000e-09,5.33574544e-01,1.00000000e-09,8.19101864e+08,1.00000000e-09,9.40506418e+07,1.00000000e-09,1.49686245e+07,1.00000000e-09,3.27741666e+01,0.840,0.150,sky130
1.25000000e-09,4.08045348e-08,1.25000000e-09,1.24988051e-09,1.25000000e-09,3.51192466e-16,1.25000000e-09,-7.36511971e-17,1.25000000e-09,2.49198841e-19,1.25000000e-09,4.50056482e-17,1.25000000e-09,6.74038719e-17,1.25000000e-09,-1.32890513e-19,1.25000000e-09,1.51171708e-09,1.25000000e-09,8.61789073e-01,1.25000000e-09,3.57935673e-02,1.25000000e-09,5.40164642e-01,1.25000000e-09,5.40164642e-01,1.25000000e-09,6.61499439e+08,1.25000000e-09,1.16188526e+08,1.25000000e-09,1.84919782e+07,1.25000000e-09,3.26467487e+01,0.840,0.150,sky130
1.50000000e-09,4.88205830e-08,1.50000000e-09,1.50064711e-09,1.50000000e-09,3.53723517e-16,1.50000000e-09,-7.73715660e-17,1.50000000e-09,2.57316477e-19,1.50000000e-09,4.71130218e-17,1.50000000e-09,7.05615505e-17,1.50000000e-09,-1.36762310e-19,1.50000000e-09,1.80039997e-09,1.50000000e-09,8.61789019e-01,1.50000000e-09,3.57963734e-02,1.50000000e-09,5.45575128e-01,1.50000000e-09,5.45575127e-01,1.50000000e-09,5.55432136e+08,1.50000000e-09,1.38019048e+08,1.50000000e-09,2.19664137e+07,1.50000000e-09,3.25330204e+01,0.840,0.150,sky130
1.75000000e-09,5.67577506e-08,1.75000000e-09,1.75015066e-09,1.75000000e-09,3.55964960e-16,1.75000000e-09,-8.06357793e-17,1.75000000e-09,2.64229799e-19,1.75000000e-09,4.89537206e-17,1.75000000e-09,7.33196817e-17,1.75000000e-09,-1.40024234e-19,1.75000000e-09,2.08550263e-09,1.75000000e-09,8.61788975e-01,1.75000000e-09,3.57991500e-02,1.75000000e-09,5.50142093e-01,1.75000000e-09,5.50142093e-01,1.75000000e-09,4.79500714e+08,1.75000000e-09,1.59447578e+08,1.75000000e-09,2.53768702e+07,1.75000000e-09,3.24302083e+01,0.840,0.150,sky130
2.00000000e-09,6.46656680e-08,2.00000000e-09,1.99983886e-09,2.00000000e-09,3.57994246e-16,2.00000000e-09,-8.35689865e-17,2.00000000e-09,2.70280974e-19,2.00000000e-09,5.06014368e-17,2.00000000e-09,7.57886727e-17,2.00000000e-09,-1.42852016e-19,2.00000000e-09,2.36900998e-09,2.00000000e-09,8.61788936e-01,2.00000000e-09,3.58019155e-02,2.00000000e-09,5.54114669e-01,2.00000000e-09,5.54114668e-01,2.00000000e-09,4.22117260e+08,2.00000000e-09,1.80633261e+08,2.00000000e-09,2.87486763e+07,2.00000000e-09,3.23354393e+01,0.840,0.150,sky130
2.25000000e-09,7.25465301e-08,2.25000000e-09,2.24969934e-09,2.25000000e-09,3.59853546e-16,2.25000000e-09,-8.62397763e-17,2.25000000e-09,2.75661897e-19,2.25000000e-09,5.20967236e-17,2.25000000e-09,7.80292810e-17,2.25000000e-09,-1.45344663e-19,2.25000000e-09,2.65113968e-09,2.25000000e-09,8.61788901e-01,2.25000000e-09,3.58046717e-02,2.25000000e-09,5.57631812e-01,2.25000000e-09,5.57631811e-01,2.25000000e-09,3.77196271e+08,2.25000000e-09,2.01600154e+08,2.25000000e-09,3.20856610e+07,2.25000000e-09,3.22472114e+01,0.840,0.150,sky130
2.50000000e-09,8.03988628e-08,2.50000000e-09,2.49961725e-09,2.50000000e-09,3.61572399e-16,2.50000000e-09,-8.86957403e-17,2.50000000e-09,2.80504248e-19,2.50000000e-09,5.34676532e-17,2.50000000e-09,8.00835643e-17,2.50000000e-09,-1.47569803e-19,2.50000000e-09,2.93194200e-09,2.50000000e-09,8.61788870e-01,2.50000000e-09,3.58074183e-02,2.50000000e-09,5.60787452e-01,2.50000000e-09,5.60787452e-01,2.50000000e-09,3.41070867e+08,2.50000000e-09,2.22358960e+08,2.50000000e-09,3.53895277e+07,2.50000000e-09,3.21644695e+01,0.840,0.150,sky130
2.75000000e-09,8.82235987e-08,2.75000000e-09,2.74956400e-09,2.75000000e-09,3.63173319e-16,2.75000000e-09,-9.09726894e-17,2.75000000e-09,2.84905098e-19,2.75000000e-09,5.47352629e-17,2.75000000e-09,8.19830419e-17,2.75000000e-09,-1.49576941e-19,2.75000000e-09,3.21152903e-09,2.75000000e-09,8.61788842e-01,2.75000000e-09,3.58101561e-02,2.75000000e-09,5.63649787e-01,2.75000000e-09,5.63649786e-01,2.75000000e-09,3.11378159e+08,2.75000000e-09,2.42924230e+08,2.75000000e-09,3.86625919e+07,2.75000000e-09,3.20863958e+01,0.840,0.150,sky130
3.00000000e-09,9.60219749e-08,3.00000000e-09,2.99952883e-09,3.00000000e-09,3.64673649e-16,3.00000000e-09,-9.30979590e-17,3.00000000e-09,2.88937409e-19,3.00000000e-09,5.59155626e-17,3.00000000e-09,8.37517004e-17,3.00000000e-09,-1.51403085e-19,3.00000000e-09,3.49000639e-09,3.00000000e-09,8.61788817e-01,3.00000000e-09,3.58128859e-02,3.00000000e-09,5.66269445e-01,3.00000000e-09,5.66269444e-01,3.00000000e-09,2.86532426e+08,3.00000000e-09,2.63309332e+08,3.00000000e-09,4.19069817e+07,3.00000000e-09,3.20123527e+01,0.840,0.150,sky130
3.25000000e-09,1.03795143e-07,3.25000000e-09,3.24950478e-09,3.25000000e-09,3.66087019e-16,3.25000000e-09,-9.50928614e-17,3.25000000e-09,2.92657320e-19,3.25000000e-09,5.70210022e-17,3.25000000e-09,8.54081932e-17,3.25000000e-09,-1.53076571e-19,3.25000000e-09,3.76746400e-09,3.25000000e-09,8.61788793e-01,3.25000000e-09,3.58156083e-02,3.25000000e-09,5.68684969e-01,3.25000000e-09,5.68684968e-01,3.25000000e-09,2.65430539e+08,3.25000000e-09,2.83525876e+08,3.25000000e-09,4.51245447e+07,3.25000000e-09,3.19418342e+01,0.840,0.150,sky130
