isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.35147426e-08,1.00000000e-09,9.99519361e-10,1.00000000e-09,6.91430383e-16,1.00000000e-09,-1.74040103e-16,1.00000000e-09,-2.63954895e-19,1.00000000e-09,1.04461206e-16,1.00000000e-09,1.56286097e-16,1.00000000e-09,6.33354730e-19,1.00000000e-09,8.53026890e-10,1.00000000e-09,6.33368461e-01,1.00000000e-09,4.76737374e-02,1.00000000e-09,2.70824204e-01,1.00000000e-09,2.70824204e-01,1.00000000e-09,1.17229599e+09,1.00000000e-09,3.40088362e+07,1.00000000e-09,5.41267439e+06,1.00000000e-09,2.35260502e+01,1.0,.250,sky130
1.50000000e-09,3.53048113e-08,1.50000000e-09,1.50577992e-09,1.50000000e-09,7.03701832e-16,1.50000000e-09,-1.93772472e-16,1.50000000e-09,-2.21379948e-19,1.50000000e-09,1.15169628e-16,1.50000000e-09,1.72305461e-16,1.50000000e-09,5.87729936e-19,1.50000000e-09,1.24940817e-09,1.50000000e-09,6.33367824e-01,1.50000000e-09,4.76836715e-02,1.50000000e-09,2.87668178e-01,1.50000000e-09,2.87668178e-01,1.50000000e-09,8.00378948e+08,1.50000000e-09,5.01701285e+07,1.50000000e-09,7.98482394e+06,1.50000000e-09,2.34461961e+01,1.0,.250,sky130
2.00000000e-09,4.67530447e-08,2.00000000e-09,1.99954339e-09,2.00000000e-09,7.13090478e-16,2.00000000e-09,-2.08504807e-16,2.00000000e-09,-1.94712332e-19,2.00000000e-09,1.23086614e-16,2.00000000e-09,1.84152849e-16,2.00000000e-09,5.60560112e-19,2.00000000e-09,1.62881802e-09,2.00000000e-09,6.33367381e-01,2.00000000e-09,4.76932544e-02,2.00000000e-09,2.99369734e-01,2.00000000e-09,2.99369734e-01,2.00000000e-09,6.13942126e+08,2.00000000e-09,6.55639728e+07,2.00000000e-09,1.04348304e+07,2.00000000e-09,2.33818606e+01,1.0,.250,sky130
2.50000000e-09,5.83999463e-08,2.50000000e-09,2.50376319e-09,2.50000000e-09,7.21072182e-16,2.50000000e-09,-2.20831772e-16,2.50000000e-09,-1.74994236e-19,2.50000000e-09,1.29664260e-16,2.50000000e-09,1.93997916e-16,2.50000000e-09,5.41241949e-19,2.50000000e-09,2.01101700e-09,2.50000000e-09,6.33367028e-01,2.50000000e-09,4.77029606e-02,2.50000000e-09,3.08676490e-01,2.50000000e-09,3.08676489e-01,2.50000000e-09,4.97260838e+08,2.50000000e-09,8.09904302e+07,2.50000000e-09,1.28900273e+07,2.50000000e-09,2.33248681e+01,1.0,.250,sky130
3.00000000e-09,6.98760688e-08,3.00000000e-09,3.00224317e-09,3.00000000e-09,7.27870369e-16,3.00000000e-09,-2.31209483e-16,3.00000000e-09,-1.59920726e-19,3.00000000e-09,1.35170958e-16,3.00000000e-09,2.02241171e-16,3.00000000e-09,5.26947637e-19,3.00000000e-09,2.38481324e-09,3.00000000e-09,6.33366743e-01,3.00000000e-09,4.77124936e-02,3.00000000e-09,3.16210674e-01,3.00000000e-09,3.16210673e-01,3.00000000e-09,4.19320046e+08,3.00000000e-09,9.60007053e+07,3.00000000e-09,1.52789868e+07,3.00000000e-09,2.32746199e+01,1.0,.250,sky130
3.50000000e-09,8.13196502e-08,3.50000000e-09,3.50079270e-09,3.50000000e-09,7.33872920e-16,3.50000000e-09,-2.40291080e-16,3.50000000e-09,-1.47723703e-19,3.50000000e-09,1.39968006e-16,3.50000000e-09,2.09422841e-16,3.50000000e-09,5.15697655e-19,3.50000000e-09,2.75537315e-09,3.50000000e-09,6.33366501e-01,3.50000000e-09,4.77219760e-02,3.50000000e-09,3.22600542e-01,3.50000000e-09,3.22600541e-01,3.50000000e-09,3.62927250e+08,3.50000000e-09,1.10808899e+08,3.50000000e-09,1.76357840e+07,3.50000000e-09,2.32289247e+01,1.0,.250,sky130
4.00000000e-09,9.27528546e-08,4.00000000e-09,4.00025288e-09,4.00000000e-09,7.39271752e-16,4.00000000e-09,-2.48400521e-16,4.00000000e-09,-1.37532307e-19,4.00000000e-09,1.44235035e-16,4.00000000e-09,2.15811523e-16,4.00000000e-09,5.06524300e-19,4.00000000e-09,3.12382570e-09,4.00000000e-09,6.33366291e-01,4.00000000e-09,4.77314311e-02,4.00000000e-09,3.28159400e-01,4.00000000e-09,3.28159398e-01,4.00000000e-09,3.20120294e+08,4.00000000e-09,1.25465168e+08,4.00000000e-09,1.99684017e+07,4.00000000e-09,2.31867478e+01,1.0,.250,sky130
4.50000000e-09,1.04163325e-07,4.50000000e-09,4.49998501e-09,4.50000000e-09,7.44183191e-16,4.50000000e-09,-2.55733673e-16,4.50000000e-09,-1.28833896e-19,4.50000000e-09,1.48080690e-16,4.50000000e-09,2.21569688e-16,4.50000000e-09,4.98864282e-19,4.50000000e-09,3.49006723e-09,4.50000000e-09,6.33366105e-01,4.50000000e-09,4.77408522e-02,4.50000000e-09,3.33075416e-01,4.50000000e-09,3.33075415e-01,4.50000000e-09,2.86527432e+08,4.50000000e-09,1.39970005e+08,4.50000000e-09,2.22769182e+07,4.50000000e-09,2.31474827e+01,1.0,.250,sky130
5.00000000e-09,1.15549112e-07,5.00000000e-09,4.99981931e-09,5.00000000e-09,7.48694586e-16,5.00000000e-09,-2.62435201e-16,5.00000000e-09,-1.21281266e-19,5.00000000e-09,1.51584744e-16,5.00000000e-09,2.26816649e-16,5.00000000e-09,4.92344174e-19,5.00000000e-09,3.85425905e-09,5.00000000e-09,6.33365938e-01,5.00000000e-09,4.77502404e-02,5.00000000e-09,3.37481987e-01,5.00000000e-09,3.37481985e-01,5.00000000e-09,2.59453240e+08,5.00000000e-09,1.54334109e+08,5.00000000e-09,2.45630364e+07,5.00000000e-09,2.31106576e+01,1.0,.250,sky130
5.50000000e-09,1.26910858e-07,5.50000000e-09,5.49971213e-09,5.50000000e-09,7.52871702e-16,5.50000000e-09,-2.68612792e-16,5.50000000e-09,-1.14632044e-19,5.50000000e-09,1.54806333e-16,5.50000000e-09,2.31640871e-16,5.50000000e-09,4.86707818e-19,5.50000000e-09,4.21659551e-09,5.50000000e-09,6.33365787e-01,5.50000000e-09,4.77595981e-02,5.50000000e-09,3.41475503e-01,5.50000000e-09,3.41475501e-01,5.50000000e-09,2.37158152e+08,5.50000000e-09,1.68569038e+08,5.50000000e-09,2.68285956e+07,5.50000000e-09,2.30759093e+01,1.0,.250,sky130
