isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.29766015e-08,1.00000000e-09,9.99592304e-10,1.00000000e-09,7.09480616e-16,1.00000000e-09,-1.95499709e-16,1.00000000e-09,5.48770171e-20,1.00000000e-09,1.16411726e-16,1.00000000e-09,1.74257094e-16,1.00000000e-09,5.06637733e-20,1.00000000e-09,7.29625295e-10,1.00000000e-09,7.53675708e-01,1.00000000e-09,3.38218032e-02,1.00000000e-09,4.61982023e-01,1.00000000e-09,4.61982023e-01,1.00000000e-09,1.37056652e+09,1.00000000e-09,4.64799189e+07,1.00000000e-09,7.39750885e+06,1.00000000e-09,3.29900514e+01,1.0,.250,sky130
1.50000000e-09,4.92849095e-08,1.50000000e-09,1.50559762e-09,1.50000000e-09,7.24708517e-16,1.50000000e-09,-2.17579973e-16,1.50000000e-09,6.05265329e-20,1.50000000e-09,1.28466045e-16,1.50000000e-09,1.92314481e-16,1.50000000e-09,5.17111048e-20,1.50000000e-09,1.08542615e-09,1.50000000e-09,7.53675374e-01,1.50000000e-09,3.38318849e-02,1.50000000e-09,4.74175579e-01,1.50000000e-09,4.74175579e-01,1.50000000e-09,9.21297129e+08,1.50000000e-09,6.80065273e+07,1.50000000e-09,1.08235750e+07,1.50000000e-09,3.27344497e+01,1.0,.250,sky130
2.00000000e-09,6.54893955e-08,2.00000000e-09,2.01361799e-09,2.00000000e-09,7.36532107e-16,2.00000000e-09,-2.34511397e-16,2.00000000e-09,6.43839860e-20,2.00000000e-09,1.37625195e-16,2.00000000e-09,2.06035437e-16,2.00000000e-09,5.27777816e-20,2.00000000e-09,1.43896924e-09,2.00000000e-09,7.53675136e-01,2.00000000e-09,3.38419300e-02,2.00000000e-09,4.82893855e-01,2.00000000e-09,4.82893854e-01,2.00000000e-09,6.94941887e+08,2.00000000e-09,8.89158733e+07,2.00000000e-09,1.41514007e+07,2.00000000e-09,3.25232472e+01,1.0,.250,sky130
2.50000000e-09,8.10523575e-08,2.50000000e-09,2.50577960e-09,2.50000000e-09,7.45999956e-16,2.50000000e-09,-2.47958963e-16,2.50000000e-09,6.71688180e-20,2.50000000e-09,1.44851853e-16,2.50000000e-09,2.16861710e-16,2.50000000e-09,5.37786476e-20,2.50000000e-09,1.77887011e-09,2.50000000e-09,7.53674956e-01,2.50000000e-09,3.38516063e-02,2.50000000e-09,4.89490486e-01,2.50000000e-09,4.89490486e-01,2.50000000e-09,5.62154591e+08,2.50000000e-09,1.08649279e+08,2.50000000e-09,1.72920698e+07,2.50000000e-09,3.23461638e+01,1.0,.250,sky130
3.00000000e-09,9.66110152e-08,3.00000000e-09,3.00153768e-09,3.00000000e-09,7.54197746e-16,3.00000000e-09,-2.59533735e-16,3.00000000e-09,6.93750251e-20,3.00000000e-09,1.51040215e-16,3.00000000e-09,2.26132710e-16,3.00000000e-09,5.47448735e-20,3.00000000e-09,2.11918293e-09,3.00000000e-09,7.53674807e-01,3.00000000e-09,3.38613087e-02,3.00000000e-09,4.94964988e-01,3.00000000e-09,4.94964987e-01,3.00000000e-09,4.71879980e+08,3.00000000e-09,1.28097725e+08,3.00000000e-09,2.03873861e+07,3.00000000e-09,3.21871739e+01,1.0,.250,sky130
3.50000000e-09,1.12167706e-07,3.50000000e-09,3.50064787e-09,3.50000000e-09,7.61460078e-16,3.50000000e-09,-2.69739902e-16,3.50000000e-09,7.11778215e-20,3.50000000e-09,1.56473603e-16,3.50000000e-09,2.34272808e-16,3.50000000e-09,5.56749869e-20,3.50000000e-09,2.46004058e-09,3.50000000e-09,7.53674679e-01,3.50000000e-09,3.38710385e-02,3.50000000e-09,4.99651913e-01,3.50000000e-09,4.99651912e-01,3.50000000e-09,4.06497360e+08,3.50000000e-09,1.47306089e+08,3.50000000e-09,2.34444921e+07,3.50000000e-09,3.20419848e+01,1.0,.250,sky130
4.00000000e-09,1.27642005e-07,4.00000000e-09,4.00025688e-09,4.00000000e-09,7.67967980e-16,4.00000000e-09,-2.78851033e-16,4.00000000e-09,7.26767435e-20,4.00000000e-09,1.61306380e-16,4.00000000e-09,2.41513204e-16,4.00000000e-09,5.65658136e-20,4.00000000e-09,2.79972026e-09,4.00000000e-09,7.53674567e-01,4.00000000e-09,3.38807446e-02,4.00000000e-09,5.03734606e-01,4.00000000e-09,5.03734605e-01,4.00000000e-09,3.57178541e+08,4.00000000e-09,1.66207457e+08,4.00000000e-09,2.64527384e+07,4.00000000e-09,3.19084521e+01,1.0,.250,sky130
4.50000000e-09,1.43030088e-07,4.50000000e-09,4.49999388e-09,4.50000000e-09,7.73873598e-16,4.50000000e-09,-2.87092650e-16,4.50000000e-09,7.39444537e-20,4.50000000e-09,1.65664107e-16,4.50000000e-09,2.48041978e-16,4.50000000e-09,5.74199272e-20,4.50000000e-09,3.13815084e-09,4.50000000e-09,7.53674468e-01,4.50000000e-09,3.38904235e-02,4.50000000e-09,5.07351612e-01,4.50000000e-09,5.07351611e-01,4.50000000e-09,3.18658997e+08,4.50000000e-09,1.84823578e+08,4.50000000e-09,2.94155861e+07,4.50000000e-09,3.17845071e+01,1.0,.250,sky130
5.00000000e-09,1.58337614e-07,5.00000000e-09,4.99983461e-09,5.00000000e-09,7.79288586e-16,5.00000000e-09,-2.94629016e-16,5.00000000e-09,7.50314731e-20,5.00000000e-09,1.69637789e-16,5.00000000e-09,2.53995445e-16,5.00000000e-09,5.82405349e-20,5.00000000e-09,3.47545716e-09,5.00000000e-09,7.53674380e-01,5.00000000e-09,3.39000775e-02,5.00000000e-09,5.10600180e-01,5.00000000e-09,5.10600179e-01,5.00000000e-09,2.87731931e+08,5.00000000e-09,2.03182258e+08,5.00000000e-09,3.23374606e+07,5.00000000e-09,3.16685704e+01,1.0,.250,sky130
5.50000000e-09,1.73568634e-07,5.50000000e-09,5.49973465e-09,5.50000000e-09,7.84295020e-16,5.50000000e-09,-3.01580306e-16,5.50000000e-09,7.59737277e-20,5.50000000e-09,1.73293801e-16,5.50000000e-09,2.59473030e-16,5.50000000e-09,5.90305561e-20,5.50000000e-09,3.81172185e-09,5.50000000e-09,7.53674299e-01,5.50000000e-09,3.39097083e-02,5.50000000e-09,5.13549722e-01,5.50000000e-09,5.13549720e-01,5.50000000e-09,2.62348629e+08,5.50000000e-09,2.21305286e+08,5.50000000e-09,3.52218302e+07,5.50000000e-09,3.15594560e+01,1.0,.250,sky130
6.00000000e-09,1.88726977e-07,6.00000000e-09,5.99966716e-09,6.00000000e-09,7.88955430e-16,6.00000000e-09,-3.08037679e-16,6.00000000e-09,7.67977009e-20,6.00000000e-09,1.76682342e-16,6.00000000e-09,2.64549930e-16,6.00000000e-09,5.97926284e-20,6.00000000e-09,4.14701879e-09,6.00000000e-09,7.53674225e-01,6.00000000e-09,3.39193170e-02,6.00000000e-09,5.16251693e-01,6.00000000e-09,5.16251692e-01,6.00000000e-09,2.41137079e+08,6.00000000e-09,2.39211202e+08,6.00000000e-09,3.80716453e+07,6.00000000e-09,3.14562411e+01,1.0,.250,sky130
6.50000000e-09,2.03816375e-07,6.50000000e-09,6.49962173e-09,6.50000000e-09,7.93318672e-16,6.50000000e-09,-3.14072087e-16,6.50000000e-09,7.75234528e-20,6.50000000e-09,1.79842380e-16,6.50000000e-09,2.69284516e-16,6.50000000e-09,6.05291074e-20,6.50000000e-09,4.48141743e-09,6.50000000e-09,7.53674157e-01,6.50000000e-09,3.39289052e-02,6.50000000e-09,5.18745323e-01,6.50000000e-09,5.18745321e-01,6.50000000e-09,2.23143685e+08,6.50000000e-09,2.56916144e+08,6.50000000e-09,4.08894743e+07,6.50000000e-09,3.13581902e+01,1.0,.250,sky130
7.00000000e-09,2.18840049e-07,7.00000000e-09,6.99958717e-09,7.00000000e-09,7.97423599e-16,7.00000000e-09,-3.19739771e-16,7.00000000e-09,7.81665048e-20,7.00000000e-09,1.82804730e-16,7.00000000e-09,2.73722951e-16,7.00000000e-09,6.12420678e-20,7.00000000e-09,4.81497479e-09,7.00000000e-09,7.53674094e-01,7.00000000e-09,3.39384739e-02,7.00000000e-09,5.21061148e-01,7.00000000e-09,5.21061146e-01,7.00000000e-09,2.07685407e+08,7.00000000e-09,2.74433875e+08,7.00000000e-09,4.36775078e+07,7.00000000e-09,3.12647079e+01,1.0,.250,sky130
