isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.71198774e-08,1.00000000e-09,9.99579880e-10,1.00000000e-09,8.54916816e-16,1.00000000e-09,-2.78315668e-16,1.00000000e-09,6.35083108e-19,1.00000000e-09,1.62680404e-16,1.00000000e-09,2.43474268e-16,1.00000000e-09,-1.85083716e-19,1.00000000e-09,4.41786046e-10,1.00000000e-09,7.13275638e-01,1.00000000e-09,4.05341717e-02,1.00000000e-09,4.18297240e-01,1.00000000e-09,4.18297240e-01,1.00000000e-09,2.26353913e+09,1.00000000e-09,3.17222412e+07,1.00000000e-09,5.04875149e+06,1.00000000e-09,2.71312758e+01,1.0,.300,sky130
1.50000000e-09,4.05739130e-08,1.50000000e-09,1.50569193e-09,1.50000000e-09,8.75843326e-16,1.50000000e-09,-3.09430086e-16,1.50000000e-09,7.21945409e-19,1.50000000e-09,1.79044804e-16,1.50000000e-09,2.67988721e-16,1.50000000e-09,-2.26900249e-19,1.50000000e-09,6.55923499e-10,1.50000000e-09,7.13222114e-01,1.50000000e-09,4.05588233e-02,1.50000000e-09,4.33204983e-01,1.50000000e-09,4.33204982e-01,1.50000000e-09,1.52456804e+09,1.50000000e-09,4.63255377e+07,1.50000000e-09,7.37293831e+06,1.50000000e-09,2.69470216e+01,1.0,.300,sky130
2.00000000e-09,5.39610023e-08,2.00000000e-09,2.01382068e-09,2.00000000e-09,8.91992527e-16,2.00000000e-09,-3.33117013e-16,2.00000000e-09,7.87567912e-19,2.00000000e-09,1.91384875e-16,2.00000000e-09,2.86475548e-16,2.00000000e-09,-2.57967844e-19,2.00000000e-09,8.68331181e-10,2.00000000e-09,7.13183880e-01,2.00000000e-09,4.05834413e-02,2.00000000e-09,4.43853950e-01,2.00000000e-09,4.43853949e-01,2.00000000e-09,1.15163433e+09,2.00000000e-09,6.04949040e+07,2.00000000e-09,9.62806300e+06,2.00000000e-09,2.67953363e+01,1.0,.300,sky130
2.50000000e-09,6.68289949e-08,2.50000000e-09,2.50590158e-09,2.50000000e-09,9.04852735e-16,2.50000000e-09,-3.51813378e-16,2.50000000e-09,8.39090169e-19,2.50000000e-09,2.01059270e-16,2.50000000e-09,3.00969421e-16,2.50000000e-09,-2.82081865e-19,2.50000000e-09,1.07217295e-09,2.50000000e-09,7.13154983e-01,2.50000000e-09,4.06071827e-02,2.50000000e-09,4.51902384e-01,2.50000000e-09,4.51902384e-01,2.50000000e-09,9.32685351e+08,2.50000000e-09,7.38562114e+07,2.50000000e-09,1.17545811e+07,2.50000000e-09,2.66686431e+01,1.0,.300,sky130
3.00000000e-09,7.97081809e-08,3.00000000e-09,3.00159685e-09,3.00000000e-09,9.15938696e-16,3.00000000e-09,-3.67827466e-16,3.00000000e-09,8.83042278e-19,3.00000000e-09,2.09302553e-16,3.00000000e-09,3.13319597e-16,3.00000000e-09,-3.02475859e-19,3.00000000e-09,1.27601492e-09,3.00000000e-09,7.13131016e-01,3.00000000e-09,4.06310155e-02,3.00000000e-09,4.58577755e-01,3.00000000e-09,4.58577754e-01,3.00000000e-09,7.83689893e+08,3.00000000e-09,8.70234889e+07,3.00000000e-09,1.38502184e+07,3.00000000e-09,2.65552587e+01,1.0,.300,sky130
3.50000000e-09,9.26004995e-08,3.50000000e-09,3.50069547e-09,3.50000000e-09,9.25721035e-16,3.50000000e-09,-3.81887571e-16,3.50000000e-09,9.21502790e-19,3.50000000e-09,2.16508849e-16,3.50000000e-09,3.24116399e-16,3.50000000e-09,-3.20196657e-19,3.50000000e-09,1.47997145e-09,3.50000000e-09,7.13110508e-01,3.50000000e-09,4.06549378e-02,3.50000000e-09,4.64289907e-01,3.50000000e-09,4.64289906e-01,3.50000000e-09,6.75688711e+08,3.50000000e-09,1.00030674e+08,3.50000000e-09,1.59203763e+07,3.50000000e-09,2.64520294e+01,1.0,.300,sky130
4.00000000e-09,1.05437414e-07,4.00000000e-09,4.00030063e-09,4.00000000e-09,9.34454974e-16,4.00000000e-09,-3.94389567e-16,4.00000000e-09,9.55604154e-19,4.00000000e-09,2.22893122e-16,4.00000000e-09,3.33681798e-16,4.00000000e-09,-3.35816370e-19,4.00000000e-09,1.68301105e-09,4.00000000e-09,7.13092653e-01,4.00000000e-09,4.06788174e-02,4.00000000e-09,4.69262836e-01,4.00000000e-09,4.69262835e-01,4.00000000e-09,5.94173164e+08,4.00000000e-09,1.12833060e+08,4.00000000e-09,1.79579393e+07,4.00000000e-09,2.63573726e+01,1.0,.300,sky130
4.50000000e-09,1.18214853e-07,4.50000000e-09,4.50003428e-09,4.50000000e-09,9.42353776e-16,4.50000000e-09,-4.05657592e-16,4.50000000e-09,9.86263848e-19,4.50000000e-09,2.28629035e-16,4.50000000e-09,3.42275925e-16,4.50000000e-09,-3.49788534e-19,4.50000000e-09,1.88510366e-09,4.50000000e-09,7.13076844e-01,4.50000000e-09,4.07026414e-02,4.50000000e-09,4.73666101e-01,4.50000000e-09,4.73666100e-01,4.50000000e-09,5.30474806e+08,4.50000000e-09,1.25446362e+08,4.50000000e-09,1.99654086e+07,4.50000000e-09,2.62697672e+01,1.0,.300,sky130
5.00000000e-09,1.30936896e-07,5.00000000e-09,4.99987169e-09,5.00000000e-09,9.49573635e-16,5.00000000e-09,-4.15927133e-16,5.00000000e-09,1.01414572e-18,5.00000000e-09,2.33842106e-16,5.00000000e-09,3.50086796e-16,5.00000000e-09,-3.62438412e-19,5.00000000e-09,2.08633637e-09,5.00000000e-09,7.13062652e-01,5.00000000e-09,4.07264131e-02,5.00000000e-09,4.77618751e-01,5.00000000e-09,4.77618749e-01,5.00000000e-09,4.79309097e+08,5.00000000e-09,1.37890198e+08,5.00000000e-09,2.19459066e+07,5.00000000e-09,2.61880513e+01,1.0,.300,sky130
5.50000000e-09,1.43606446e-07,5.50000000e-09,5.49977063e-09,5.50000000e-09,9.56229266e-16,5.50000000e-09,-4.25370235e-16,5.50000000e-09,1.03973355e-18,5.50000000e-09,2.38623735e-16,5.50000000e-09,3.57251323e-16,5.50000000e-09,-3.74001678e-19,5.50000000e-09,2.28676999e-09,5.50000000e-09,7.13049774e-01,5.50000000e-09,4.07501337e-02,5.50000000e-09,4.81205763e-01,5.50000000e-09,4.81205761e-01,5.50000000e-09,4.37298025e+08,5.50000000e-09,1.50179932e+08,5.50000000e-09,2.39018785e+07,5.50000000e-09,2.61113518e+01,1.0,.300,sky130
