isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.67310823e-08,1.00000000e-09,9.99627416e-10,1.00000000e-09,8.32953097e-16,1.00000000e-09,-2.63365683e-16,1.00000000e-09,8.21290368e-19,1.00000000e-09,1.52047980e-16,1.00000000e-09,2.27496271e-16,1.00000000e-09,-2.26928286e-19,1.00000000e-09,5.10922457e-10,1.00000000e-09,6.79585163e-01,1.00000000e-09,4.06491324e-02,1.00000000e-09,3.71968775e-01,1.00000000e-09,3.71968774e-01,1.00000000e-09,1.95724417e+09,1.00000000e-09,3.20919417e+07,1.00000000e-09,5.10759116e+06,1.00000000e-09,2.67410455e+01,1.0,.300,sky130
1.50000000e-09,4.00518087e-08,1.50000000e-09,1.50581324e-09,1.50000000e-09,8.52986738e-16,1.50000000e-09,-2.93317495e-16,1.50000000e-09,9.39965827e-19,1.50000000e-09,1.67590388e-16,1.50000000e-09,2.50775086e-16,1.50000000e-09,-2.86624566e-19,1.50000000e-09,7.56762714e-10,1.50000000e-09,6.79511375e-01,1.50000000e-09,4.06665426e-02,1.50000000e-09,3.87043422e-01,1.50000000e-09,3.87043421e-01,1.50000000e-09,1.32141817e+09,1.50000000e-09,4.69547848e+07,1.50000000e-09,7.47308610e+06,1.50000000e-09,2.65981249e+01,1.0,.300,sky130
2.00000000e-09,5.33330964e-08,2.00000000e-09,2.01408564e-09,2.00000000e-09,8.68507665e-16,2.00000000e-09,-3.16169592e-16,2.00000000e-09,1.02960503e-18,2.00000000e-09,1.79335962e-16,2.00000000e-09,2.68368384e-16,2.00000000e-09,-3.30794486e-19,2.00000000e-09,1.00035528e-09,2.00000000e-09,6.79458729e-01,2.00000000e-09,4.06839313e-02,2.00000000e-09,3.97799098e-01,2.00000000e-09,3.97799097e-01,2.00000000e-09,9.99644850e+08,2.00000000e-09,6.14077441e+07,2.00000000e-09,9.77334601e+06,2.00000000e-09,2.64800540e+01,1.0,.300,sky130
2.50000000e-09,6.61129736e-08,2.50000000e-09,2.50606536e-09,2.50000000e-09,8.80893633e-16,2.50000000e-09,-3.34225276e-16,2.50000000e-09,1.09995802e-18,2.50000000e-09,1.88553526e-16,2.50000000e-09,2.82175727e-16,2.50000000e-09,-3.64986587e-19,2.50000000e-09,1.23383265e-09,2.50000000e-09,6.79418999e-01,2.50000000e-09,4.07006940e-02,2.50000000e-09,4.05915782e-01,2.50000000e-09,4.05915781e-01,2.50000000e-09,8.10482684e+08,2.50000000e-09,7.50521642e+07,2.50000000e-09,1.19449229e+07,2.50000000e-09,2.63811849e+01,1.0,.300,sky130
3.00000000e-09,7.89213597e-08,3.00000000e-09,3.00167360e-09,3.00000000e-09,8.91592117e-16,3.00000000e-09,-3.49709438e-16,3.00000000e-09,1.15999366e-18,3.00000000e-09,1.96417178e-16,3.00000000e-09,2.93955423e-16,3.00000000e-09,-3.93869082e-19,3.00000000e-09,1.46719648e-09,3.00000000e-09,6.79386075e-01,3.00000000e-09,4.07175238e-02,3.00000000e-09,4.12642213e-01,3.00000000e-09,4.12642212e-01,3.00000000e-09,6.81571971e+08,3.00000000e-09,8.85173368e+07,3.00000000e-09,1.40879717e+07,3.00000000e-09,2.62924523e+01,1.0,.300,sky130
3.50000000e-09,9.17599353e-08,3.50000000e-09,3.50075842e-09,3.50000000e-09,9.01048745e-16,3.50000000e-09,-3.63319354e-16,3.50000000e-09,1.21255297e-18,3.50000000e-09,2.03299317e-16,3.50000000e-09,3.04265125e-16,3.50000000e-09,-4.18949732e-19,3.50000000e-09,1.70063780e-09,3.50000000e-09,6.79357919e-01,3.50000000e-09,4.07344219e-02,3.50000000e-09,4.18394333e-01,3.50000000e-09,4.18394332e-01,3.50000000e-09,5.88014684e+08,3.50000000e-09,1.01836816e+08,3.50000000e-09,1.62078327e+07,3.50000000e-09,2.62114446e+01,1.0,.300,sky130
4.00000000e-09,1.04557355e-07,4.00000000e-09,4.00036087e-09,4.00000000e-09,9.09502966e-16,4.00000000e-09,-3.75431007e-16,4.00000000e-09,1.25917146e-18,4.00000000e-09,2.09401530e-16,4.00000000e-09,3.13406698e-16,4.00000000e-09,-4.41045949e-19,4.00000000e-09,1.93296953e-09,4.00000000e-09,6.79333425e-01,4.00000000e-09,4.07512932e-02,4.00000000e-09,4.23398453e-01,4.00000000e-09,4.23398452e-01,4.00000000e-09,5.17338729e+08,4.00000000e-09,1.14960983e+08,4.00000000e-09,1.82966087e+07,4.00000000e-09,2.61369807e+01,1.0,.300,sky130
4.50000000e-09,1.17307923e-07,4.50000000e-09,4.50009025e-09,4.50000000e-09,9.17157146e-16,4.50000000e-09,-3.86354697e-16,4.50000000e-09,1.30109855e-18,4.50000000e-09,2.14887895e-16,4.50000000e-09,3.21625862e-16,4.50000000e-09,-4.60805170e-19,4.50000000e-09,2.16416838e-09,4.50000000e-09,6.79311752e-01,4.50000000e-09,4.07681284e-02,4.50000000e-09,4.27826288e-01,4.50000000e-09,4.27826286e-01,4.50000000e-09,4.62071254e+08,4.50000000e-09,1.27903842e+08,4.50000000e-09,2.03565288e+07,4.50000000e-09,2.60679045e+01,1.0,.300,sky130
5.00000000e-09,1.30014685e-07,5.00000000e-09,4.99992440e-09,5.00000000e-09,9.24160065e-16,5.00000000e-09,-3.96316443e-16,5.00000000e-09,1.33923929e-18,5.00000000e-09,2.19877291e-16,5.00000000e-09,3.29100654e-16,5.00000000e-09,-4.78691159e-19,5.00000000e-09,2.39434786e-09,5.00000000e-09,6.79292309e-01,5.00000000e-09,4.07849301e-02,5.00000000e-09,4.31798472e-01,5.00000000e-09,4.31798471e-01,5.00000000e-09,4.17650258e+08,5.00000000e-09,1.40684163e+08,5.00000000e-09,2.23905799e+07,5.00000000e-09,2.60033302e+01,1.0,.300,sky130
5.50000000e-09,1.42679603e-07,5.50000000e-09,5.49982059e-09,5.50000000e-09,9.30621108e-16,5.50000000e-09,-4.05481447e-16,5.50000000e-09,1.37425286e-18,5.50000000e-09,2.24456319e-16,5.50000000e-09,3.35960775e-16,5.50000000e-09,-4.95039261e-19,5.50000000e-09,2.62358701e-09,5.50000000e-09,6.79274675e-01,5.50000000e-09,4.08016993e-02,5.50000000e-09,4.35401072e-01,5.50000000e-09,4.35401070e-01,5.50000000e-09,3.81157551e+08,5.50000000e-09,1.53316534e+08,5.50000000e-09,2.44010842e+07,5.50000000e-09,2.59425922e+01,1.0,.300,sky130
