isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.35871918e-08,1.00000000e-09,9.99161384e-10,1.00000000e-09,2.23098156e-15,1.00000000e-09,-1.02148650e-15,1.00000000e-09,-1.12430105e-19,1.00000000e-09,5.07299154e-16,1.00000000e-09,7.60371262e-16,1.00000000e-09,1.28425049e-19,1.00000000e-09,2.77206830e-11,1.00000000e-09,1.07221654e+00,1.00000000e-09,3.72652521e-02,1.00000000e-09,8.38168495e-01,1.00000000e-09,8.38168495e-01,1.00000000e-09,3.60741473e+10,1.00000000e-09,1.05725624e+07,1.00000000e-09,1.68267557e+06,1.00000000e-09,2.36069890e+01,1.0,1.000,sky130
1.50000000e-09,3.38929059e-08,1.50000000e-09,1.50344495e-09,1.50000000e-09,2.32905849e-15,1.50000000e-09,-1.15841275e-15,1.50000000e-09,-1.22496687e-19,1.50000000e-09,5.72438290e-16,1.50000000e-09,8.58024063e-16,1.50000000e-09,1.39944839e-19,1.50000000e-09,4.10307662e-11,1.50000000e-09,1.07221654e+00,1.50000000e-09,3.75327719e-02,1.50000000e-09,8.55864557e-01,1.50000000e-09,8.55864557e-01,1.50000000e-09,2.43719553e+10,1.50000000e-09,1.45521918e+07,1.50000000e-09,2.31605326e+06,1.50000000e-09,2.25434964e+01,1.0,1.000,sky130
2.00000000e-09,4.39321521e-08,2.00000000e-09,2.00905691e-09,2.00000000e-09,2.40801385e-15,2.00000000e-09,-1.26720729e-15,2.00000000e-09,-1.30465169e-19,2.00000000e-09,6.23920947e-16,2.00000000e-09,9.35204843e-16,2.00000000e-09,1.49064098e-19,2.00000000e-09,5.41493023e-11,2.00000000e-09,1.07221654e+00,2.00000000e-09,3.77971991e-02,2.00000000e-09,8.68909132e-01,2.00000000e-09,8.68909131e-01,2.00000000e-09,1.84674586e+10,2.00000000e-09,1.82441443e+07,2.00000000e-09,2.90364575e+06,2.00000000e-09,2.18670521e+01,1.0,1.000,sky130
2.50000000e-09,5.36009100e-08,2.50000000e-09,2.50362639e-09,2.50000000e-09,2.47334056e-15,2.50000000e-09,-1.35644749e-15,2.50000000e-09,-1.37003129e-19,2.50000000e-09,6.65982560e-16,2.50000000e-09,9.98262547e-16,2.50000000e-09,1.56546522e-19,2.50000000e-09,6.68064377e-11,2.50000000e-09,1.07221654e+00,2.50000000e-09,3.80523470e-02,2.50000000e-09,8.79069628e-01,2.50000000e-09,8.79069628e-01,2.50000000e-09,1.49686173e+10,2.50000000e-09,2.16714637e+07,2.50000000e-09,3.44912057e+06,2.50000000e-09,2.14093086e+01,1.0,1.000,sky130
3.00000000e-09,6.32370574e-08,3.00000000e-09,3.00079846e-09,3.00000000e-09,2.53061363e-15,3.00000000e-09,-1.43419589e-15,3.00000000e-09,-1.42711903e-19,3.00000000e-09,7.02511184e-16,3.00000000e-09,1.05302573e-15,3.00000000e-09,1.63080172e-19,3.00000000e-09,7.93829500e-11,3.00000000e-09,1.07221654e+00,3.00000000e-09,3.83054958e-02,3.00000000e-09,8.87588052e-01,3.00000000e-09,8.87588051e-01,3.00000000e-09,1.25971635e+10,3.00000000e-09,2.49888235e+07,3.00000000e-09,3.97709479e+06,3.00000000e-09,2.10734104e+01,1.0,1.000,sky130
3.50000000e-09,7.28683221e-08,3.50000000e-09,3.50009729e-09,3.50000000e-09,2.58172898e-15,3.50000000e-09,-1.50324535e-15,3.50000000e-09,-1.47798957e-19,3.50000000e-09,7.34865663e-16,3.50000000e-09,1.10153139e-15,3.50000000e-09,1.68902416e-19,3.50000000e-09,9.18833744e-11,3.50000000e-09,1.07221654e+00,3.50000000e-09,3.85564928e-02,3.50000000e-09,8.94927750e-01,3.50000000e-09,8.94927749e-01,3.50000000e-09,1.08833617e+10,3.50000000e-09,2.82246210e+07,3.50000000e-09,4.49208795e+06,3.50000000e-09,2.08189419e+01,1.0,1.000,sky130
4.00000000e-09,8.24834870e-08,4.00000000e-09,3.99976010e-09,4.00000000e-09,2.62782160e-15,4.00000000e-09,-1.56526282e-15,4.00000000e-09,-1.52386332e-19,4.00000000e-09,7.63857782e-16,4.00000000e-09,1.14499644e-15,4.00000000e-09,1.74152882e-19,4.00000000e-09,1.04276466e-10,4.00000000e-09,1.07221654e+00,4.00000000e-09,3.88045543e-02,4.00000000e-09,9.01360420e-01,4.00000000e-09,9.01360419e-01,4.00000000e-09,9.58989151e+09,4.00000000e-09,3.13885414e+07,4.00000000e-09,4.99564151e+06,4.00000000e-09,2.06221085e+01,1.0,1.000,sky130
4.50000000e-09,9.20923401e-08,4.50000000e-09,4.49954240e-09,4.50000000e-09,2.66981356e-15,4.50000000e-09,-1.62157665e-15,4.50000000e-09,-1.56570241e-19,4.50000000e-09,7.90129932e-16,4.50000000e-09,1.18438389e-15,4.50000000e-09,1.78941654e-19,4.50000000e-09,1.16566746e-10,4.50000000e-09,1.07221654e+00,4.50000000e-09,3.90496722e-02,4.50000000e-09,9.07084629e-01,4.50000000e-09,9.07084628e-01,4.50000000e-09,8.57877595e+09,4.50000000e-09,3.44939217e+07,4.50000000e-09,5.48987815e+06,4.50000000e-09,2.04670457e+01,1.0,1.000,sky130
5.00000000e-09,1.01703485e-07,5.00000000e-09,4.99940668e-09,5.00000000e-09,2.70839427e-15,5.00000000e-09,-1.67317104e-15,5.00000000e-09,-1.60421381e-19,5.00000000e-09,8.14156665e-16,5.00000000e-09,1.22040513e-15,5.00000000e-09,1.83349626e-19,5.00000000e-09,1.28761862e-10,5.00000000e-09,1.07221654e+00,5.00000000e-09,3.92919357e-02,5.00000000e-09,9.12241025e-01,5.00000000e-09,9.12241023e-01,5.00000000e-09,7.76627479e+09,5.00000000e-09,3.75512112e+07,5.00000000e-09,5.97646089e+06,5.00000000e-09,2.03431110e+01,1.0,1.000,sky130
5.50000000e-09,1.11322304e-07,5.50000000e-09,5.49931751e-09,5.50000000e-09,2.74408530e-15,5.50000000e-09,-1.72078580e-15,5.50000000e-09,-1.63992516e-19,5.50000000e-09,8.36293922e-16,5.50000000e-09,1.25359375e-15,5.50000000e-09,1.87437170e-19,5.50000000e-09,1.40868036e-10,5.50000000e-09,1.07221654e+00,5.50000000e-09,3.95314293e-02,5.50000000e-09,9.16931744e-01,5.50000000e-09,9.16931742e-01,5.50000000e-09,7.09884247e+09,5.50000000e-09,4.05680916e+07,5.50000000e-09,6.45661231e+06,5.50000000e-09,2.02429308e+01,1.0,1.000,sky130
6.00000000e-09,1.20952378e-07,6.00000000e-09,5.99925653e-09,6.00000000e-09,2.77729346e-15,6.00000000e-09,-1.76499463e-15,6.00000000e-09,-1.67324324e-19,6.00000000e-09,8.56817145e-16,6.00000000e-09,1.28436269e-15,6.00000000e-09,1.91250834e-19,6.00000000e-09,1.52890816e-10,6.00000000e-09,1.07221654e+00,6.00000000e-09,3.97682396e-02,6.00000000e-09,9.21233532e-01,6.00000000e-09,9.21233531e-01,6.00000000e-09,6.54061523e+09,6.00000000e-09,4.35504492e+07,6.00000000e-09,6.93126926e+06,6.00000000e-09,2.01612278e+01,1.0,1.000,sky130
6.50000000e-09,1.30596007e-07,6.50000000e-09,6.49921293e-09,6.50000000e-09,2.80834280e-15,6.50000000e-09,-1.80625223e-15,6.50000000e-09,-1.70448896e-19,6.50000000e-09,8.75944242e-16,6.50000000e-09,1.31303860e-15,6.50000000e-09,1.94827336e-19,6.50000000e-09,1.64835088e-10,6.50000000e-09,1.07221654e+00,6.50000000e-09,4.00024517e-02,6.50000000e-09,9.25205533e-01,6.50000000e-09,9.25205531e-01,6.50000000e-09,6.06666950e+09,6.50000000e-09,4.65028725e+07,6.50000000e-09,7.40116202e+06,6.50000000e-09,2.00941266e+01,1.0,1.000,sky130
7.00000000e-09,1.40254606e-07,7.00000000e-09,6.99918047e-09,7.00000000e-09,2.83749619e-15,7.00000000e-09,-1.84492587e-15,7.00000000e-09,-1.73392045e-19,7.00000000e-09,8.93850896e-16,7.00000000e-09,1.33988486e-15,7.00000000e-09,1.98196216e-19,7.00000000e-09,1.76705189e-10,7.00000000e-09,1.07221654e+00,7.00000000e-09,4.02341479e-02,7.00000000e-09,9.28894315e-01,7.00000000e-09,9.28894313e-01,7.00000000e-09,5.65914338e+09,7.00000000e-09,4.94290024e+07,7.00000000e-09,7.86687006e+06,7.00000000e-09,2.00387183e+01,1.0,1.000,sky130
