isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.14512073e-08,1.00000000e-09,9.99197802e-10,1.00000000e-09,2.20652717e-15,1.00000000e-09,-9.25369856e-16,1.00000000e-09,-1.15133859e-19,1.00000000e-09,4.63431435e-16,1.00000000e-09,6.94580801e-16,1.00000000e-09,1.27163495e-19,1.00000000e-09,2.88094732e-11,1.00000000e-09,1.04827578e+00,1.00000000e-09,3.84954257e-02,1.00000000e-09,8.01336339e-01,1.00000000e-09,8.01336338e-01,1.00000000e-09,3.47108048e+10,1.00000000e-09,9.72170551e+06,1.00000000e-09,1.54725749e+06,1.00000000e-09,2.14684292e+01,1.0,1.000,sky130
1.50000000e-09,3.11325441e-08,1.50000000e-09,1.50391525e-09,1.50000000e-09,2.31202054e-15,1.50000000e-09,-1.07300237e-15,1.50000000e-09,-1.27077310e-19,1.50000000e-09,5.34388661e-16,1.50000000e-09,8.00951015e-16,1.50000000e-09,1.40380286e-19,1.50000000e-09,4.25689214e-11,1.50000000e-09,1.04827578e+00,1.50000000e-09,3.87235024e-02,1.50000000e-09,8.20718899e-01,1.50000000e-09,8.20718899e-01,1.50000000e-09,2.34913164e+10,1.50000000e-09,1.34655136e+07,1.50000000e-09,2.14310306e+06,1.50000000e-09,2.07009963e+01,1.0,1.000,sky130
2.00000000e-09,4.07613912e-08,2.00000000e-09,2.01048161e-09,2.00000000e-09,2.39803324e-15,2.00000000e-09,-1.19140755e-15,2.00000000e-09,-1.36570993e-19,2.00000000e-09,5.90960180e-16,2.00000000e-09,8.85757268e-16,2.00000000e-09,1.50886722e-19,2.00000000e-09,5.61361198e-11,2.00000000e-09,1.04827578e+00,2.00000000e-09,3.89496922e-02,2.00000000e-09,8.34875272e-01,2.00000000e-09,8.34875271e-01,2.00000000e-09,1.78138426e+10,2.00000000e-09,1.69978424e+07,2.00000000e-09,2.70529065e+06,2.00000000e-09,2.02744412e+01,1.0,1.000,sky130
2.50000000e-09,5.01314560e-08,2.50000000e-09,2.50444837e-09,2.50000000e-09,2.46935207e-15,2.50000000e-09,-1.28855919e-15,2.50000000e-09,-1.44337278e-19,2.50000000e-09,6.37171783e-16,2.50000000e-09,9.55033746e-16,2.50000000e-09,1.59481850e-19,2.50000000e-09,6.91850236e-11,2.50000000e-09,1.04827578e+00,2.50000000e-09,3.91677444e-02,2.50000000e-09,8.45768171e-01,2.50000000e-09,8.45768170e-01,2.50000000e-09,1.44539952e+10,2.50000000e-09,2.03014615e+07,2.50000000e-09,3.23107795e+06,2.50000000e-09,2.00169652e+01,1.0,1.000,sky130
3.00000000e-09,5.95597101e-08,3.00000000e-09,3.00108552e-09,3.00000000e-09,2.53205196e-15,3.00000000e-09,-1.37333692e-15,3.00000000e-09,-1.51114485e-19,3.00000000e-09,6.77355979e-16,3.00000000e-09,1.01527496e-15,3.00000000e-09,1.66982596e-19,3.00000000e-09,8.21555988e-11,3.00000000e-09,1.04827578e+00,3.00000000e-09,3.93845720e-02,3.00000000e-09,8.54833461e-01,3.00000000e-09,8.54833460e-01,3.00000000e-09,1.21720250e+10,3.00000000e-09,2.35223096e+07,3.00000000e-09,3.74369185e+06,3.00000000e-09,1.98460556e+01,1.0,1.000,sky130
3.50000000e-09,6.90563957e-08,3.50000000e-09,3.50026887e-09,3.50000000e-09,2.58812513e-15,3.50000000e-09,-1.44872304e-15,3.50000000e-09,-1.57151335e-19,3.50000000e-09,7.12983369e-16,3.50000000e-09,1.06868531e-15,3.50000000e-09,1.73664132e-19,3.50000000e-09,9.50630811e-11,3.50000000e-09,1.04827578e+00,3.50000000e-09,3.96001697e-02,3.50000000e-09,8.62599530e-01,3.50000000e-09,8.62599529e-01,3.50000000e-09,1.05193308e+10,3.50000000e-09,2.66820158e+07,3.50000000e-09,4.24657471e+06,3.50000000e-09,1.97288832e+01,1.0,1.000,sky130
4.00000000e-09,7.85877200e-08,4.00000000e-09,3.99989070e-09,4.00000000e-09,2.63871804e-15,4.00000000e-09,-1.51643239e-15,4.00000000e-09,-1.62588593e-19,4.00000000e-09,7.44901809e-16,4.00000000e-09,1.11653572e-15,4.00000000e-09,1.79682191e-19,4.00000000e-09,1.07866886e-10,4.00000000e-09,1.04827578e+00,4.00000000e-09,3.98136865e-02,4.00000000e-09,8.69367787e-01,4.00000000e-09,8.69367786e-01,4.00000000e-09,9.27068576e+09,4.00000000e-09,2.97825379e+07,4.00000000e-09,4.74003812e+06,4.00000000e-09,1.96474669e+01,1.0,1.000,sky130
4.50000000e-09,8.81506862e-08,4.50000000e-09,4.49963925e-09,4.50000000e-09,2.68481311e-15,4.50000000e-09,-1.57789230e-15,4.50000000e-09,-1.67541140e-19,4.50000000e-09,7.73810264e-16,4.50000000e-09,1.15987394e-15,4.50000000e-09,1.85163881e-19,4.50000000e-09,1.20570272e-10,4.50000000e-09,1.04827578e+00,4.50000000e-09,4.00250596e-02,4.50000000e-09,8.75360744e-01,4.50000000e-09,8.75360742e-01,4.50000000e-09,8.29391842e+09,4.50000000e-09,3.28330810e+07,4.50000000e-09,5.22554713e+06,4.50000000e-09,1.95906119e+01,1.0,1.000,sky130
5.00000000e-09,9.77458512e-08,5.00000000e-09,4.99948165e-09,5.00000000e-09,2.72715833e-15,5.00000000e-09,-1.63417577e-15,5.00000000e-09,-1.72094294e-19,5.00000000e-09,8.00232119e-16,5.00000000e-09,1.19948454e-15,5.00000000e-09,1.90203599e-19,5.00000000e-09,1.33181348e-10,5.00000000e-09,1.04827578e+00,5.00000000e-09,4.02343435e-02,5.00000000e-09,8.80735977e-01,5.00000000e-09,8.80735976e-01,5.00000000e-09,7.50855892e+09,5.00000000e-09,3.58416488e+07,5.00000000e-09,5.70437558e+06,5.00000000e-09,1.95511971e+01,1.0,1.000,sky130
5.50000000e-09,1.07372685e-07,5.50000000e-09,5.49937992e-09,5.50000000e-09,2.76632261e-15,5.50000000e-09,-1.68609200e-15,5.50000000e-09,-1.76311757e-19,5.50000000e-09,8.24561040e-16,5.50000000e-09,1.23595764e-15,5.50000000e-09,1.94871832e-19,5.50000000e-09,1.45706429e-10,5.50000000e-09,1.04827578e+00,5.50000000e-09,4.04415868e-02,5.50000000e-09,8.85607295e-01,5.50000000e-09,8.85607294e-01,5.50000000e-09,6.86311514e+09,5.50000000e-09,3.88142310e+07,5.50000000e-09,6.17747672e+06,5.50000000e-09,1.95245075e+01,1.0,1.000,sky130
