isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,1.63398139e-08,1.00000000e-09,9.99741536e-10,1.00000000e-09,4.46216489e-16,1.00000000e-09,-6.21484038e-17,1.00000000e-09,6.27090445e-18,1.00000000e-09,3.85445179e-17,1.00000000e-09,5.76571858e-17,1.00000000e-09,-3.79079623e-18,1.00000000e-09,2.59373552e-09,1.00000000e-09,6.89650447e-01,1.00000000e-09,4.28056948e-02,1.00000000e-09,2.57825037e-01,1.00000000e-09,2.57825036e-01,1.00000000e-09,3.85544321e+08,1.00000000e-09,3.66185794e+07,1.00000000e-09,5.82802793e+06,1.00000000e-09,1.63440383e+01,0.840,0.150,sky130
1.25000000e-09,1.99260192e-08,1.25000000e-09,1.25003073e-09,1.25000000e-09,4.48820698e-16,1.25000000e-09,-6.75955250e-17,1.25000000e-09,6.85788221e-18,1.25000000e-09,4.18447583e-17,1.25000000e-09,6.25946673e-17,1.25000000e-09,-4.15261736e-18,1.25000000e-09,3.15300949e-09,1.25000000e-09,6.87766649e-01,1.25000000e-09,4.28461130e-02,1.25000000e-09,2.69775343e-01,1.25000000e-09,2.69775342e-01,1.25000000e-09,3.17157307e+08,1.25000000e-09,4.43963909e+07,1.25000000e-09,7.06590507e+06,1.25000000e-09,1.59404234e+01,0.840,0.150,sky130
1.50000000e-09,2.34639767e-08,1.50000000e-09,1.50058055e-09,1.50000000e-09,4.51239413e-16,1.50000000e-09,-7.24724425e-17,1.50000000e-09,7.38349411e-18,1.50000000e-09,4.47916830e-17,1.50000000e-09,6.70045708e-17,1.50000000e-09,-4.47490134e-18,1.50000000e-09,3.70342203e-09,1.50000000e-09,6.86191350e-01,1.50000000e-09,4.28863035e-02,1.50000000e-09,2.79768620e-01,1.50000000e-09,2.79768619e-01,1.50000000e-09,2.70020536e+08,1.50000000e-09,5.19989522e+07,1.50000000e-09,8.27589028e+06,1.50000000e-09,1.56365992e+01,0.840,0.150,sky130
1.75000000e-09,2.69541045e-08,1.75000000e-09,1.75022857e-09,1.75000000e-09,4.53495457e-16,1.75000000e-09,-7.68970421e-17,1.75000000e-09,7.86054745e-18,1.75000000e-09,4.74593879e-17,1.75000000e-09,7.09972886e-17,1.75000000e-09,-4.76623492e-18,1.75000000e-09,4.24532800e-09,1.75000000e-09,6.84840843e-01,1.75000000e-09,4.29261418e-02,1.75000000e-09,2.88335870e-01,1.75000000e-09,2.88335869e-01,1.75000000e-09,2.35553060e+08,1.75000000e-09,5.94363275e+07,1.75000000e-09,9.45958531e+06,1.75000000e-09,1.54003340e+01,0.840,0.150,sky130
2.00000000e-09,3.04214754e-08,2.00000000e-09,2.00000844e-09,2.00000000e-09,4.55622915e-16,2.00000000e-09,-8.09791031e-17,2.00000000e-09,8.30089308e-18,2.00000000e-09,4.99159147e-17,2.00000000e-09,7.46743887e-17,2.00000000e-09,-5.03428647e-18,2.00000000e-09,4.78282220e-09,2.00000000e-09,6.83653570e-01,2.00000000e-09,4.29658308e-02,2.00000000e-09,2.95867612e-01,2.00000000e-09,2.95867611e-01,2.00000000e-09,2.09081575e+08,2.00000000e-09,6.67689759e+07,2.00000000e-09,1.06266126e+07,2.00000000e-09,1.52106735e+01,0.840,0.150,sky130
2.25000000e-09,3.38727497e-08,2.25000000e-09,2.24990170e-09,2.25000000e-09,4.57639547e-16,2.25000000e-09,-8.47798538e-17,2.25000000e-09,8.71112132e-18,2.25000000e-09,5.21993626e-17,2.25000000e-09,7.80927405e-17,2.25000000e-09,-5.28333827e-18,2.25000000e-09,5.31707899e-09,2.25000000e-09,6.82593585e-01,2.25000000e-09,4.30053917e-02,2.25000000e-09,3.02591870e-01,2.25000000e-09,3.02591869e-01,2.25000000e-09,1.88073189e+08,2.25000000e-09,7.40162206e+07,2.25000000e-09,1.17800474e+07,2.25000000e-09,1.50552132e+01,0.840,0.150,sky130
2.50000000e-09,3.73117303e-08,2.50000000e-09,2.49983583e-09,2.50000000e-09,4.59558780e-16,2.50000000e-09,-8.83431825e-17,2.50000000e-09,9.09594421e-18,2.50000000e-09,5.43370106e-17,2.50000000e-09,8.12930771e-17,2.50000000e-09,-5.51643572e-18,2.50000000e-09,5.84879467e-09,2.50000000e-09,6.81636015e-01,2.50000000e-09,4.30448297e-02,2.50000000e-09,3.08666437e-01,2.50000000e-09,3.08666436e-01,2.50000000e-09,1.70975399e+08,2.50000000e-09,8.11903328e+07,2.50000000e-09,1.29218428e+07,2.50000000e-09,1.49256723e+01,0.840,0.150,sky130
2.75000000e-09,4.07416050e-08,2.75000000e-09,2.74979197e-09,2.75000000e-09,4.61391714e-16,2.75000000e-09,-9.17029852e-17,2.75000000e-09,9.45899480e-18,2.75000000e-09,5.63498816e-17,2.75000000e-09,8.43068012e-17,2.75000000e-09,-5.73591169e-18,2.75000000e-09,6.37854609e-09,2.75000000e-09,6.80762591e-01,2.75000000e-09,4.30841542e-02,2.75000000e-09,3.14207204e-01,2.75000000e-09,3.14207203e-01,2.75000000e-09,1.56775539e+08,2.75000000e-09,8.83015532e+07,2.75000000e-09,1.40536287e+07,2.75000000e-09,1.48162499e+01,0.840,0.150,sky130
3.00000000e-09,4.41647869e-08,3.00000000e-09,2.99976120e-09,3.00000000e-09,4.63147471e-16,3.00000000e-09,-9.48857966e-17,3.00000000e-09,9.80311356e-18,3.00000000e-09,5.82544070e-17,3.00000000e-09,8.71584640e-17,3.00000000e-09,-5.94358138e-18,3.00000000e-09,6.90677295e-09,3.00000000e-09,6.79959572e-01,3.00000000e-09,4.31233729e-02,3.00000000e-09,3.19301346e-01,3.00000000e-09,3.19301345e-01,3.00000000e-09,1.44785417e+08,3.00000000e-09,9.53579360e+07,3.00000000e-09,1.51766869e+07,3.00000000e-09,1.47227676e+01,0.840,0.150,sky130
3.25000000e-09,4.75831041e-08,3.25000000e-09,3.24973774e-09,3.25000000e-09,4.64833644e-16,3.25000000e-09,-9.79128285e-17,3.25000000e-09,1.01305690e-17,3.25000000e-09,6.00637039e-17,3.25000000e-09,8.98676681e-17,3.25000000e-09,-6.14088863e-18,3.25000000e-09,7.43381170e-09,3.25000000e-09,6.79216359e-01,3.25000000e-09,4.31624918e-02,3.25000000e-09,3.24016087e-01,3.25000000e-09,3.24016085e-01,3.25000000e-09,1.34520491e+08,3.25000000e-09,1.02365878e+08,3.25000000e-09,1.62920355e+07,3.25000000e-09,1.46421366e+01,0.840,0.150,sky130
3.50000000e-09,5.09980054e-08,3.50000000e-09,3.49972076e-09,3.50000000e-09,4.66456655e-16,3.50000000e-09,-1.00801397e-16,3.50000000e-09,1.04432117e-17,3.50000000e-09,6.17884657e-17,3.50000000e-09,9.24503979e-17,3.50000000e-09,-6.32900712e-18,3.50000000e-09,7.95993067e-09,3.50000000e-09,6.78524596e-01,3.50000000e-09,4.32015164e-02,3.50000000e-09,3.28404447e-01,3.50000000e-09,3.28404446e-01,3.50000000e-09,1.25629235e+08,3.50000000e-09,1.09330642e+08,3.50000000e-09,1.74005120e+07,3.50000000e-09,1.45720213e+01,0.840,0.150,sky130
