isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,1.42315854e-08,1.00000000e-09,9.99733902e-10,1.00000000e-09,5.60026134e-16,1.00000000e-09,-6.49547995e-17,1.00000000e-09,-5.76590854e-19,1.00000000e-09,3.56534011e-17,1.00000000e-09,5.47708193e-17,1.00000000e-09,2.03689435e-18,1.00000000e-09,1.33263869e-09,1.00000000e-09,6.60819009e-01,1.00000000e-09,5.06847713e-02,1.00000000e-09,1.12598653e-01,1.00000000e-09,1.12598652e-01,1.00000000e-09,7.50390942e+08,1.00000000e-09,2.54123595e+07,1.00000000e-09,4.04450262e+06,1.00000000e-09,1.42353734e+01,1.0,.200,sky130
1.50000000e-09,2.04776130e-08,1.50000000e-09,1.50357012e-09,1.50000000e-09,5.62592017e-16,1.50000000e-09,-7.60372003e-17,1.50000000e-09,1.94998646e-19,1.50000000e-09,4.19361208e-17,1.50000000e-09,6.35669467e-17,1.50000000e-09,1.09084052e-18,1.50000000e-09,1.62369356e-09,1.50000000e-09,6.60095410e-01,1.50000000e-09,5.07368695e-02,1.50000000e-09,1.39614295e-01,1.50000000e-09,1.39614294e-01,1.50000000e-09,6.15879761e+08,1.50000000e-09,3.63986910e+07,1.50000000e-09,5.79303160e+06,1.50000000e-09,1.36193269e+01,1.0,.200,sky130
2.00000000e-09,2.64727484e-08,2.00000000e-09,1.99969918e-09,2.00000000e-09,5.65385753e-16,2.00000000e-09,-8.50075501e-17,2.00000000e-09,6.15466592e-19,2.00000000e-09,4.68618275e-17,2.00000000e-09,7.06878316e-17,2.00000000e-09,6.28905466e-19,2.00000000e-09,1.97177047e-09,2.00000000e-09,6.59566971e-01,2.00000000e-09,5.07875223e-02,2.00000000e-09,1.59343602e-01,2.00000000e-09,1.59343601e-01,2.00000000e-09,5.07158423e+08,2.00000000e-09,4.68224540e+07,2.00000000e-09,7.45202500e+06,2.00000000e-09,1.32383654e+01,1.0,.200,sky130
2.50000000e-09,3.24664717e-08,2.50000000e-09,2.50286676e-09,2.50000000e-09,5.68246871e-16,2.50000000e-09,-9.28919700e-17,2.50000000e-09,9.12089454e-19,2.50000000e-09,5.11276604e-17,2.50000000e-09,7.69346495e-17,2.50000000e-09,3.32662387e-19,2.50000000e-09,2.33833934e-09,2.50000000e-09,6.59139437e-01,2.50000000e-09,5.08383347e-02,2.50000000e-09,1.75305627e-01,2.50000000e-09,1.75305627e-01,2.50000000e-09,4.27653926e+08,2.50000000e-09,5.71344487e+07,2.50000000e-09,9.09322993e+06,2.50000000e-09,1.29717140e+01,1.0,.200,sky130
3.00000000e-09,3.83562451e-08,3.00000000e-09,3.00168315e-09,3.00000000e-09,5.71033756e-16,3.00000000e-09,-9.98613916e-17,3.00000000e-09,1.14060588e-18,3.00000000e-09,5.48650646e-17,3.00000000e-09,8.24440329e-17,3.00000000e-09,1.21907527e-19,3.00000000e-09,2.70470453e-09,3.00000000e-09,6.58786451e-01,3.00000000e-09,5.08882429e-02,3.00000000e-09,1.88484370e-01,3.00000000e-09,1.88484369e-01,3.00000000e-09,3.69726153e+08,3.00000000e-09,6.71698384e+07,3.00000000e-09,1.06904118e+07,3.00000000e-09,1.27782458e+01,1.0,.200,sky130
3.50000000e-09,4.42148108e-08,3.50000000e-09,3.50067640e-09,3.50000000e-09,5.73744992e-16,3.50000000e-09,-1.06196756e-16,3.50000000e-09,1.33012561e-18,3.50000000e-09,5.82418891e-17,3.50000000e-09,8.74412870e-17,3.50000000e-09,-4.18399694e-20,3.50000000e-09,3.07103721e-09,3.50000000e-09,6.58483401e-01,3.50000000e-09,5.09377726e-02,3.50000000e-09,1.99798766e-01,3.50000000e-09,1.99798765e-01,3.50000000e-09,3.25622886e+08,3.50000000e-09,7.70635237e+07,3.50000000e-09,1.22650407e+07,3.50000000e-09,1.26303622e+01,1.0,.200,sky130
4.00000000e-09,5.00583131e-08,4.00000000e-09,4.00027394e-09,4.00000000e-09,5.76374157e-16,4.00000000e-09,-1.12035114e-16,4.00000000e-09,1.49378199e-18,4.00000000e-09,6.13396785e-17,4.00000000e-09,9.20371932e-17,4.00000000e-09,-1.75812701e-19,4.00000000e-09,3.43660754e-09,4.00000000e-09,6.58217518e-01,4.00000000e-09,5.09870142e-02,4.00000000e-09,2.09725560e-01,4.00000000e-09,2.09725559e-01,4.00000000e-09,2.90984637e+08,4.00000000e-09,8.68503774e+07,4.00000000e-09,1.38226669e+07,4.00000000e-09,1.25137213e+01,1.0,.200,sky130
4.50000000e-09,5.58890232e-08,4.50000000e-09,4.50005867e-09,4.50000000e-09,5.78918038e-16,4.50000000e-09,-1.17462551e-16,4.50000000e-09,1.63878367e-18,4.50000000e-09,6.42090588e-17,4.50000000e-09,9.63016781e-17,4.50000000e-09,-2.89292588e-19,4.50000000e-09,3.80076801e-09,4.50000000e-09,6.57980744e-01,4.50000000e-09,5.10359633e-02,4.50000000e-09,2.18565526e-01,4.50000000e-09,2.18565524e-01,4.50000000e-09,2.63104719e+08,4.50000000e-09,9.65404765e+07,4.50000000e-09,1.53648940e+07,4.50000000e-09,1.24196210e+01,1.0,.200,sky130
5.00000000e-09,6.17105117e-08,5.00000000e-09,4.99992184e-09,5.00000000e-09,5.81378546e-16,5.00000000e-09,-1.22544603e-16,5.00000000e-09,1.76967171e-18,5.00000000e-09,6.68878439e-17,5.00000000e-09,1.00287961e-16,5.00000000e-09,-3.87922887e-19,5.00000000e-09,4.16336727e-09,5.00000000e-09,6.57767319e-01,5.00000000e-09,5.10846381e-02,5.00000000e-09,2.26533776e-01,5.00000000e-09,2.26533774e-01,5.00000000e-09,2.40190196e+08,5.00000000e-09,1.06145148e+08,5.00000000e-09,1.68935249e+07,5.00000000e-09,1.23422953e+01,1.0,.200,sky130
5.50000000e-09,6.75257909e-08,5.50000000e-09,5.49983141e-09,5.50000000e-09,5.83759418e-16,5.50000000e-09,-1.27331446e-16,5.50000000e-09,1.88946750e-18,5.50000000e-09,6.94046354e-17,5.50000000e-09,1.04036774e-16,5.50000000e-09,-4.75338661e-19,5.50000000e-09,4.52441770e-09,5.50000000e-09,6.57573028e-01,5.50000000e-09,5.11330587e-02,5.50000000e-09,2.33787620e-01,5.50000000e-09,2.33787619e-01,5.50000000e-09,2.21022917e+08,5.50000000e-09,1.15674007e+08,5.50000000e-09,1.84100900e+07,5.50000000e-09,1.22777929e+01,1.0,.200,sky130
