isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.46175812e-08,1.00000000e-09,9.99472582e-10,1.00000000e-09,6.59791458e-16,1.00000000e-09,-1.62535366e-16,1.00000000e-09,1.79630968e-18,1.00000000e-09,9.09794145e-17,1.00000000e-09,1.36266128e-16,1.00000000e-09,-9.56894225e-19,1.00000000e-09,7.00692031e-10,1.00000000e-09,8.49915130e-01,1.00000000e-09,4.30883141e-02,1.00000000e-09,5.26708959e-01,1.00000000e-09,5.26708959e-01,1.00000000e-09,1.42716052e+09,1.00000000e-09,3.73111548e+07,1.00000000e-09,5.93825473e+06,1.00000000e-09,2.46305719e+01,1.0,.200,sky130
1.50000000e-09,3.59259891e-08,1.50000000e-09,1.50438845e-09,1.50000000e-09,6.70764970e-16,1.50000000e-09,-1.80370764e-16,1.50000000e-09,2.00296317e-18,1.50000000e-09,1.00629543e-16,1.50000000e-09,1.50728392e-16,1.50000000e-09,-1.06757229e-18,1.50000000e-09,1.03125813e-09,1.50000000e-09,8.49658704e-01,1.50000000e-09,4.31664748e-02,1.50000000e-09,5.43095813e-01,1.50000000e-09,5.43095813e-01,1.50000000e-09,9.69689327e+08,1.50000000e-09,5.35597276e+07,1.50000000e-09,8.52429540e+06,1.50000000e-09,2.38807930e+01,1.0,.200,sky130
2.00000000e-09,4.68492765e-08,2.00000000e-09,2.01044937e-09,2.00000000e-09,6.79545053e-16,2.00000000e-09,-1.94326212e-16,2.00000000e-09,2.16490939e-18,2.00000000e-09,1.08154505e-16,2.00000000e-09,1.62006070e-16,2.00000000e-09,-1.15400981e-18,2.00000000e-09,1.35437919e-09,2.00000000e-09,8.49471769e-01,2.00000000e-09,4.32441883e-02,2.00000000e-09,5.55041951e-01,2.00000000e-09,5.55041950e-01,2.00000000e-09,7.38345664e+08,2.00000000e-09,6.89421199e+07,2.00000000e-09,1.09724792e+07,2.00000000e-09,2.33028880e+01,1.0,.200,sky130
2.50000000e-09,5.72025040e-08,2.50000000e-09,2.50415728e-09,2.50000000e-09,6.86803767e-16,2.50000000e-09,-2.05693015e-16,2.50000000e-09,2.29696881e-18,2.50000000e-09,1.14267903e-16,2.50000000e-09,1.71168419e-16,2.50000000e-09,-1.22431738e-18,2.50000000e-09,1.66352387e-09,2.50000000e-09,8.49327039e-01,2.50000000e-09,4.33194980e-02,2.50000000e-09,5.64290875e-01,2.50000000e-09,5.64290875e-01,2.50000000e-09,6.01133543e+08,2.50000000e-09,8.32879881e+07,2.50000000e-09,1.32556950e+07,2.50000000e-09,2.28430157e+01,1.0,.200,sky130
3.00000000e-09,6.73792866e-08,3.00000000e-09,3.00104729e-09,3.00000000e-09,6.93212676e-16,3.00000000e-09,-2.15619612e-16,3.00000000e-09,2.41240376e-18,3.00000000e-09,1.19595694e-16,3.00000000e-09,1.79153481e-16,3.00000000e-09,-1.28565036e-18,3.00000000e-09,1.96973257e-09,3.00000000e-09,8.49205516e-01,3.00000000e-09,4.33948449e-02,3.00000000e-09,5.72056821e-01,3.00000000e-09,5.72056820e-01,3.00000000e-09,5.07683132e+08,3.00000000e-09,9.71985785e+07,3.00000000e-09,1.54696342e+07,3.00000000e-09,2.24519243e+01,1.0,.200,sky130
3.50000000e-09,7.74016365e-08,3.50000000e-09,3.50034247e-09,3.50000000e-09,6.98982444e-16,3.50000000e-09,-2.24478846e-16,3.50000000e-09,2.51550842e-18,3.50000000e-09,1.24342249e-16,3.50000000e-09,1.86267507e-16,3.50000000e-09,-1.34033852e-18,3.50000000e-09,2.27324472e-09,3.50000000e-09,8.49100514e-01,3.50000000e-09,4.34701424e-02,3.50000000e-09,5.78767015e-01,3.50000000e-09,5.78767014e-01,3.50000000e-09,4.39899846e+08,3.50000000e-09,1.10734736e+08,3.50000000e-09,1.76239806e+07,3.50000000e-09,2.21125896e+01,1.0,.200,sky130
4.00000000e-09,8.72586009e-08,4.00000000e-09,4.00001223e-09,4.00000000e-09,7.04235264e-16,4.00000000e-09,-2.32486914e-16,4.00000000e-09,2.60877156e-18,4.00000000e-09,1.28626189e-16,4.00000000e-09,1.92688249e-16,4.00000000e-09,-1.38973328e-18,4.00000000e-09,2.57338847e-09,4.00000000e-09,8.49008163e-01,4.00000000e-09,4.35451098e-02,4.00000000e-09,5.84668708e-01,4.00000000e-09,5.84668707e-01,4.00000000e-09,3.88592710e+08,4.00000000e-09,1.23905469e+08,4.00000000e-09,1.97201679e+07,4.00000000e-09,2.18145835e+01,1.0,.200,sky130
4.50000000e-09,9.69693089e-08,4.50000000e-09,4.49980252e-09,4.50000000e-09,7.09070801e-16,4.50000000e-09,-2.39814623e-16,4.50000000e-09,2.69416330e-18,4.50000000e-09,1.32540835e-16,4.50000000e-09,1.98555554e-16,4.50000000e-09,-1.43489983e-18,4.50000000e-09,2.87046697e-09,4.50000000e-09,8.48925629e-01,4.50000000e-09,4.36197308e-02,4.50000000e-09,5.89943007e-01,4.50000000e-09,5.89943006e-01,4.50000000e-09,3.48375372e+08,4.50000000e-09,1.36755468e+08,4.50000000e-09,2.17653086e+07,4.50000000e-09,2.15496810e+01,1.0,.200,sky130
5.00000000e-09,1.06552333e-07,5.00000000e-09,4.99967573e-09,5.00000000e-09,7.13562142e-16,5.00000000e-09,-2.46585665e-16,5.00000000e-09,2.77311124e-18,5.00000000e-09,1.36153664e-16,5.00000000e-09,2.03970542e-16,5.00000000e-09,-1.47660888e-18,5.00000000e-09,3.16482187e-09,5.00000000e-09,8.48850927e-01,5.00000000e-09,4.36940175e-02,5.00000000e-09,5.94716838e-01,5.00000000e-09,5.94716837e-01,5.00000000e-09,3.15973550e+08,5.00000000e-09,1.49324532e+08,5.00000000e-09,2.37657373e+07,5.00000000e-09,2.13118487e+01,1.0,.200,sky130
5.50000000e-09,1.16022680e-07,5.50000000e-09,5.49959559e-09,5.50000000e-09,7.17763555e-16,5.50000000e-09,-2.52891102e-16,5.50000000e-09,2.84666688e-18,5.50000000e-09,1.39514309e-16,5.50000000e-09,2.09007591e-16,5.50000000e-09,-1.51542754e-18,5.50000000e-09,3.45672784e-09,5.50000000e-09,8.48782628e-01,5.50000000e-09,4.37679793e-02,5.50000000e-09,5.99081501e-01,5.50000000e-09,5.99081499e-01,5.50000000e-09,2.89290926e+08,5.50000000e-09,1.61644707e+08,5.50000000e-09,2.57265541e+07,5.50000000e-09,2.10965839e+01,1.0,.200,sky130
