isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,1.71533252e-08,1.00000000e-09,9.99491045e-10,1.00000000e-09,5.32192422e-16,1.00000000e-09,-9.59218544e-17,1.00000000e-09,1.85055049e-19,1.00000000e-09,4.69771642e-17,1.00000000e-09,7.03559424e-17,1.00000000e-09,-6.09823488e-20,1.00000000e-09,9.45023824e-10,1.00000000e-09,8.91773241e-01,1.00000000e-09,3.77572951e-02,1.00000000e-09,5.08038655e-01,1.00000000e-09,5.08038654e-01,1.00000000e-09,1.05817438e+09,1.00000000e-09,3.22314345e+07,1.00000000e-09,5.12979213e+06,1.00000000e-09,1.71620599e+01,1.0,.250,sky130
1.50000000e-09,2.56729647e-08,1.50000000e-09,1.50560472e-09,1.50000000e-09,5.42478209e-16,1.50000000e-09,-1.15012705e-16,1.50000000e-09,2.27298124e-19,1.50000000e-09,5.60521826e-17,1.50000000e-09,8.39547425e-17,1.50000000e-09,-7.90269407e-20,1.50000000e-09,1.39592878e-09,1.50000000e-09,8.91706582e-01,1.50000000e-09,3.77958189e-02,1.50000000e-09,5.30750134e-01,1.50000000e-09,5.30750134e-01,1.50000000e-09,7.16368926e+08,1.50000000e-09,4.73253383e+07,1.50000000e-09,7.53206152e+06,1.50000000e-09,1.70515968e+01,1.0,.250,sky130
2.00000000e-09,3.42299002e-08,2.00000000e-09,2.01400904e-09,2.00000000e-09,5.51644638e-16,2.00000000e-09,-1.30717649e-16,2.00000000e-09,2.62190468e-19,2.00000000e-09,6.34756898e-17,2.00000000e-09,9.50792560e-17,2.00000000e-09,-9.38890234e-20,2.00000000e-09,1.84175592e-09,2.00000000e-09,8.91658992e-01,2.00000000e-09,3.78338488e-02,2.00000000e-09,5.46964259e-01,2.00000000e-09,5.46964259e-01,2.00000000e-09,5.42960112e+08,2.00000000e-09,6.20506352e+07,2.00000000e-09,9.87566532e+06,2.00000000e-09,1.69959020e+01,1.0,.250,sky130
2.50000000e-09,4.25126154e-08,2.50000000e-09,2.50607031e-09,2.50000000e-09,5.59647815e-16,2.50000000e-09,-1.43805951e-16,2.50000000e-09,2.91356895e-19,2.50000000e-09,6.96368205e-17,2.50000000e-09,1.04312310e-16,2.50000000e-09,-1.06287023e-19,2.50000000e-09,2.26826084e-09,2.50000000e-09,8.91623129e-01,2.50000000e-09,3.78701859e-02,2.50000000e-09,5.59183411e-01,2.50000000e-09,5.59183411e-01,2.50000000e-09,4.40866404e+08,2.50000000e-09,7.59631581e+07,2.50000000e-09,1.20899121e+07,2.50000000e-09,1.69638558e+01,1.0,.250,sky130
3.00000000e-09,5.08552970e-08,3.00000000e-09,3.00159984e-09,3.00000000e-09,5.67022843e-16,3.00000000e-09,-1.55497615e-16,3.00000000e-09,3.17472511e-19,3.00000000e-09,7.51226006e-17,3.00000000e-09,1.12533473e-16,3.00000000e-09,-1.17370231e-19,3.00000000e-09,2.69383269e-09,3.00000000e-09,8.91593468e-01,3.00000000e-09,3.79064068e-02,3.00000000e-09,5.69289131e-01,3.00000000e-09,5.69289130e-01,3.00000000e-09,3.71218304e+08,3.00000000e-09,8.96882684e+07,3.00000000e-09,1.42743313e+07,3.00000000e-09,1.69427305e+01,1.0,.250,sky130
3.50000000e-09,5.92592041e-08,3.50000000e-09,3.50065102e-09,3.50000000e-09,5.73885161e-16,3.50000000e-09,-1.66128890e-16,3.50000000e-09,3.41266187e-19,3.50000000e-09,8.00971900e-17,3.50000000e-09,1.19988687e-16,3.50000000e-09,-1.27453905e-19,3.50000000e-09,3.11910288e-09,3.50000000e-09,8.91568149e-01,3.50000000e-09,3.79425696e-02,3.50000000e-09,5.77915540e-01,3.50000000e-09,5.77915539e-01,3.50000000e-09,3.20605007e+08,3.50000000e-09,1.03259690e+08,3.50000000e-09,1.64342901e+07,3.50000000e-09,1.69280524e+01,1.0,.250,sky130
4.00000000e-09,6.76742444e-08,4.00000000e-09,4.00023860e-09,4.00000000e-09,5.80282557e-16,4.00000000e-09,-1.75864424e-16,4.00000000e-09,3.63091548e-19,4.00000000e-09,8.46418941e-17,4.00000000e-09,1.26799756e-16,4.00000000e-09,-1.36691888e-19,4.00000000e-09,3.54196191e-09,4.00000000e-09,8.91546166e-01,4.00000000e-09,3.79784988e-02,4.00000000e-09,5.85405638e-01,4.00000000e-09,5.85405637e-01,4.00000000e-09,2.82329405e+08,4.00000000e-09,1.16622917e+08,4.00000000e-09,1.85611137e+07,4.00000000e-09,1.69175519e+01,1.0,.250,sky130
4.50000000e-09,7.60936531e-08,4.50000000e-09,4.49995642e-09,4.50000000e-09,5.86281299e-16,4.50000000e-09,-1.84863445e-16,4.50000000e-09,3.83294951e-19,4.50000000e-09,8.88340898e-17,4.50000000e-09,1.33082610e-16,4.50000000e-09,-1.45233689e-19,4.50000000e-09,3.96241300e-09,4.50000000e-09,8.91526752e-01,4.50000000e-09,3.80141974e-02,4.50000000e-09,5.92020039e-01,4.50000000e-09,5.92020037e-01,4.50000000e-09,2.52371472e+08,4.50000000e-09,1.29790347e+08,4.50000000e-09,2.06567752e+07,4.50000000e-09,1.69098644e+01,1.0,.250,sky130
5.00000000e-09,8.45170773e-08,5.00000000e-09,4.99978176e-09,5.00000000e-09,5.91936851e-16,5.00000000e-09,-1.93248042e-16,5.00000000e-09,4.02142836e-19,5.00000000e-09,9.27328604e-17,5.00000000e-09,1.38925776e-16,5.00000000e-09,-1.53194113e-19,5.00000000e-09,4.38070666e-09,5.00000000e-09,8.91509370e-01,5.00000000e-09,3.80496891e-02,5.00000000e-09,5.97942158e-01,5.00000000e-09,5.97942156e-01,5.00000000e-09,2.28273673e+08,5.00000000e-09,1.42780564e+08,5.00000000e-09,2.27242325e+07,5.00000000e-09,1.69041533e+01,1.0,.250,sky130
5.50000000e-09,9.29437833e-08,5.50000000e-09,5.49967074e-09,5.50000000e-09,5.97292847e-16,5.50000000e-09,-2.01109957e-16,5.50000000e-09,4.19835731e-19,5.50000000e-09,9.63825182e-17,5.50000000e-09,1.44395647e-16,5.50000000e-09,-1.60659514e-19,5.50000000e-09,4.79702022e-09,5.50000000e-09,8.91493636e-01,5.50000000e-09,3.80849908e-02,5.50000000e-09,6.03302932e-01,5.50000000e-09,6.03302930e-01,5.50000000e-09,2.08462744e+08,5.50000000e-09,1.55608398e+08,5.50000000e-09,2.47658458e+07,5.50000000e-09,1.68998814e+01,1.0,.250,sky130
