isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.05010126e-08,1.00000000e-09,9.99601466e-10,1.00000000e-09,1.35667695e-15,1.00000000e-09,-6.23798093e-16,1.00000000e-09,1.98878715e-18,1.00000000e-09,3.19900180e-16,1.00000000e-09,4.78667728e-16,1.00000000e-09,-6.45577842e-19,1.00000000e-09,3.32599102e-10,1.00000000e-09,6.59569453e-01,1.00000000e-09,3.34065407e-02,1.00000000e-09,4.06068534e-01,1.00000000e-09,4.06068534e-01,1.00000000e-09,3.00662267e+09,1.00000000e-09,2.24821484e+07,1.00000000e-09,3.57814504e+06,1.00000000e-09,3.05131731e+01,1.0,.500,sky130
1.50000000e-09,4.56272697e-08,1.50000000e-09,1.50570300e-09,1.50000000e-09,1.40902096e-15,1.50000000e-09,-6.95109480e-16,1.50000000e-09,2.25693317e-18,1.50000000e-09,3.52505578e-16,1.50000000e-09,5.27501426e-16,1.50000000e-09,-7.55575751e-19,1.50000000e-09,4.93303250e-10,1.50000000e-09,6.59502693e-01,1.50000000e-09,3.34320568e-02,1.50000000e-09,4.19394600e-01,1.50000000e-09,4.19394599e-01,1.50000000e-09,2.02715064e+09,1.50000000e-09,3.23822505e+07,1.50000000e-09,5.15379524e+06,1.50000000e-09,3.03029679e+01,1.0,.500,sky130
2.00000000e-09,6.06776567e-08,2.00000000e-09,2.01382634e-09,2.00000000e-09,1.44881109e-15,2.00000000e-09,-7.48855759e-16,2.00000000e-09,2.45906263e-18,2.00000000e-09,3.76898368e-16,2.00000000e-09,5.64037263e-16,2.00000000e-09,-8.37608332e-19,2.00000000e-09,6.52509442e-10,2.00000000e-09,6.59455001e-01,2.00000000e-09,3.34575835e-02,2.00000000e-09,4.28914470e-01,2.00000000e-09,4.28914470e-01,2.00000000e-09,1.53254487e+09,2.00000000e-09,4.18809996e+07,2.00000000e-09,6.66556811e+06,2.00000000e-09,3.01305309e+01,1.0,.500,sky130
2.50000000e-09,7.51448483e-08,2.50000000e-09,2.50591488e-09,2.50000000e-09,1.48013602e-15,2.50000000e-09,-7.90930934e-16,2.50000000e-09,2.61732530e-18,2.50000000e-09,3.95896760e-16,2.50000000e-09,5.92494579e-16,2.50000000e-09,-9.01366273e-19,2.50000000e-09,8.05140272e-10,2.50000000e-09,6.59418953e-01,2.50000000e-09,3.34822314e-02,2.50000000e-09,4.36109998e-01,2.50000000e-09,4.36109997e-01,2.50000000e-09,1.24201960e+09,2.50000000e-09,5.07688802e+07,2.50000000e-09,8.08011824e+06,2.50000000e-09,2.99869916e+01,1.0,.500,sky130
3.00000000e-09,8.96250140e-08,3.00000000e-09,3.00161336e-09,3.00000000e-09,1.50688857e-15,3.00000000e-09,-8.26718415e-16,3.00000000e-09,2.75195581e-18,3.00000000e-09,4.11993801e-16,3.00000000e-09,6.16606857e-16,3.00000000e-09,-9.55302245e-19,3.00000000e-09,9.57634718e-10,3.00000000e-09,6.59389055e-01,3.00000000e-09,3.35069953e-02,3.00000000e-09,4.42078027e-01,3.00000000e-09,4.42078026e-01,3.00000000e-09,1.04423950e+09,3.00000000e-09,5.94768689e+07,3.00000000e-09,9.46603768e+06,3.00000000e-09,2.98589470e+01,1.0,.500,sky130
3.50000000e-09,1.04120781e-07,3.50000000e-09,3.50071296e-09,3.50000000e-09,1.53030697e-15,3.50000000e-09,-8.57945167e-16,3.50000000e-09,2.86944230e-18,3.50000000e-09,4.25995466e-16,3.50000000e-09,6.37581006e-16,3.50000000e-09,-1.00215595e-18,3.50000000e-09,1.11009454e-09,3.50000000e-09,6.59363470e-01,3.50000000e-09,3.35318686e-02,3.50000000e-09,4.47184921e-01,3.50000000e-09,4.47184920e-01,3.50000000e-09,9.00824174e+08,3.50000000e-09,6.80391472e+07,3.50000000e-09,1.08287666e+07,3.50000000e-09,2.97427358e+01,1.0,.500,sky130
4.00000000e-09,1.18555453e-07,4.00000000e-09,4.00031925e-09,4.00000000e-09,1.55106933e-15,4.00000000e-09,-8.85557651e-16,4.00000000e-09,2.97333988e-18,4.00000000e-09,4.38344050e-16,4.00000000e-09,6.56079333e-16,4.00000000e-09,-1.04343130e-18,4.00000000e-09,1.26176270e-09,4.00000000e-09,6.59341197e-01,4.00000000e-09,3.35567102e-02,4.00000000e-09,4.51630908e-01,4.00000000e-09,4.51630907e-01,4.00000000e-09,7.92542051e+08,4.00000000e-09,7.64346573e+07,4.00000000e-09,1.21649535e+07,4.00000000e-09,2.96364978e+01,1.0,.500,sky130
4.50000000e-09,1.32924676e-07,4.50000000e-09,4.50005419e-09,4.50000000e-09,1.56972956e-15,4.50000000e-09,-9.10319875e-16,4.50000000e-09,3.06651928e-18,4.50000000e-09,4.49393089e-16,4.50000000e-09,6.72631280e-16,4.50000000e-09,-1.08032593e-18,4.50000000e-09,1.41262854e-09,4.50000000e-09,6.59321476e-01,4.50000000e-09,3.35815040e-02,4.50000000e-09,4.55567551e-01,4.50000000e-09,4.55567549e-01,4.50000000e-09,7.07900182e+08,4.50000000e-09,8.46799854e+07,4.50000000e-09,1.34772383e+07,4.50000000e-09,2.95384613e+01,1.0,.500,sky130
5.00000000e-09,1.47233179e-07,5.00000000e-09,4.99989156e-09,5.00000000e-09,1.58669011e-15,5.00000000e-09,-9.32784245e-16,5.00000000e-09,3.15105647e-18,5.00000000e-09,4.59397172e-16,5.00000000e-09,6.87618118e-16,5.00000000e-09,-1.11370103e-18,5.00000000e-09,1.56276658e-09,5.00000000e-09,6.59303773e-01,5.00000000e-09,3.36062509e-02,5.00000000e-09,4.59101253e-01,5.00000000e-09,4.59101251e-01,5.00000000e-09,6.39890827e+08,5.00000000e-09,9.27926497e+07,5.00000000e-09,1.47684089e+07,5.00000000e-09,2.94472745e+01,1.0,.500,sky130
5.50000000e-09,1.61484406e-07,5.50000000e-09,5.49979032e-09,5.50000000e-09,1.60224525e-15,5.50000000e-09,-9.53353386e-16,5.50000000e-09,3.22846471e-18,5.50000000e-09,4.68541359e-16,5.50000000e-09,7.01317003e-16,5.50000000e-09,-1.14418200e-18,5.50000000e-09,1.71223107e-09,5.50000000e-09,6.59287708e-01,5.50000000e-09,3.36309507e-02,5.50000000e-09,4.62307988e-01,5.50000000e-09,4.62307987e-01,5.50000000e-09,5.84033322e+08,5.50000000e-09,1.00786322e+08,5.50000000e-09,1.60406414e+07,5.50000000e-09,2.93619204e+01,1.0,.500,sky130
6.00000000e-09,1.75681504e-07,6.00000000e-09,5.99972203e-09,6.00000000e-09,1.61661768e-15,6.00000000e-09,-9.72331115e-16,6.00000000e-09,3.29988605e-18,6.00000000e-09,4.76964957e-16,6.00000000e-09,7.13936568e-16,6.00000000e-09,-1.17223928e-18,6.00000000e-09,1.86106852e-09,6.00000000e-09,6.59272999e-01,6.00000000e-09,3.36556035e-02,6.00000000e-09,4.65244041e-01,6.00000000e-09,4.65244040e-01,6.00000000e-09,5.37325730e+08,6.00000000e-09,1.08672264e+08,6.00000000e-09,1.72957280e+07,6.00000000e-09,2.92816072e+01,1.0,.500,sky130
6.50000000e-09,1.89827549e-07,6.50000000e-09,6.49967386e-09,6.50000000e-09,1.62998040e-15,6.50000000e-09,-9.89952827e-16,6.50000000e-09,3.36620542e-18,6.50000000e-09,4.84775662e-16,6.50000000e-09,7.25638109e-16,6.50000000e-09,-1.19823627e-18,6.50000000e-09,2.00932138e-09,6.50000000e-09,6.59259431e-01,6.50000000e-09,3.36802100e-02,6.50000000e-09,4.67952315e-01,6.50000000e-09,4.67952313e-01,6.50000000e-09,4.97680465e+08,6.50000000e-09,1.16460019e+08,6.50000000e-09,1.85351877e+07,6.50000000e-09,2.92057036e+01,1.0,.500,sky130
7.00000000e-09,2.03925397e-07,7.00000000e-09,6.99964013e-09,7.00000000e-09,1.64247048e-15,7.00000000e-09,-1.00640464e-15,7.00000000e-09,3.42812260e-18,7.00000000e-09,4.92058456e-16,7.00000000e-09,7.36548908e-16,7.00000000e-09,-1.22245958e-18,7.00000000e-09,2.15702746e-09,7.00000000e-09,6.59246837e-01,7.00000000e-09,3.37047709e-02,7.00000000e-09,4.70466241e-01,7.00000000e-09,4.70466239e-01,7.00000000e-09,4.63600959e+08,7.00000000e-09,1.24157724e+08,7.00000000e-09,1.97603155e+07,7.00000000e-09,2.91336974e+01,1.0,.500,sky130
7.50000000e-09,2.17977562e-07,7.50000000e-09,7.49961509e-09,7.50000000e-09,1.65419837e-15,7.50000000e-09,-1.02183618e-15,7.50000000e-09,3.48620027e-18,7.50000000e-09,4.98881550e-16,7.50000000e-09,7.46771124e-16,7.50000000e-09,-1.24513912e-18,7.50000000e-09,2.30421919e-09,7.50000000e-09,6.59235083e-01,7.50000000e-09,3.37292869e-02,7.50000000e-09,4.72812363e-01,7.50000000e-09,4.72812361e-01,7.50000000e-09,4.33986492e+08,7.50000000e-09,1.31772323e+08,7.50000000e-09,2.09722166e+07,7.50000000e-09,2.90651666e+01,1.0,.500,sky130
8.00000000e-09,2.31986343e-07,8.00000000e-09,7.99959558e-09,8.00000000e-09,1.66525444e-15,8.00000000e-09,-1.03636974e-15,8.00000000e-09,3.54089826e-18,8.00000000e-09,5.05300590e-16,8.00000000e-09,7.56388102e-16,8.00000000e-09,-1.26646237e-18,8.00000000e-09,2.45092543e-09,8.00000000e-09,6.59224063e-01,8.00000000e-09,3.37537587e-02,8.00000000e-09,4.75012113e-01,8.00000000e-09,4.75012111e-01,8.00000000e-09,4.08009149e+08,8.00000000e-09,1.39309848e+08,8.00000000e-09,2.21718509e+07,8.00000000e-09,2.89997588e+01,1.0,.500,sky130
8.50000000e-09,2.45953860e-07,8.50000000e-09,8.49958064e-09,8.50000000e-09,1.67571369e-15,8.50000000e-09,-1.05010655e-15,8.50000000e-09,3.59259739e-18,8.50000000e-09,5.11361587e-16,8.50000000e-09,7.65468756e-16,8.50000000e-09,-1.28658427e-18,8.50000000e-09,2.59717220e-09,8.50000000e-09,6.59213688e-01,8.50000000e-09,3.37781871e-02,8.50000000e-09,4.77083056e-01,8.50000000e-09,4.77083053e-01,8.50000000e-09,3.85034154e+08,8.50000000e-09,1.46775586e+08,8.50000000e-09,2.33600601e+07,8.50000000e-09,2.89371758e+01,1.0,.500,sky130
9.00000000e-09,2.59882031e-07,9.00000000e-09,8.99956931e-09,9.00000000e-09,1.68563899e-15,9.00000000e-09,-1.06313142e-15,9.00000000e-09,3.64161657e-18,9.00000000e-09,5.17103017e-16,9.00000000e-09,7.74070719e-16,9.00000000e-09,-1.30563436e-18,9.00000000e-09,2.74298256e-09,9.00000000e-09,6.59203886e-01,9.00000000e-09,3.38025726e-02,9.00000000e-09,4.79039754e-01,9.00000000e-09,4.79039751e-01,9.00000000e-09,3.64566663e+08,9.00000000e-09,1.54174193e+08,9.00000000e-09,2.45375849e+07,9.00000000e-09,2.88771631e+01,1.0,.500,sky130
9.50000000e-09,2.73772558e-07,9.50000000e-09,9.49955915e-09,9.50000000e-09,1.69508359e-15,9.50000000e-09,-1.07551603e-15,9.50000000e-09,3.68822555e-18,9.50000000e-09,5.22557381e-16,9.50000000e-09,7.82242667e-16,9.50000000e-09,-1.32372198e-18,9.50000000e-09,2.88837672e-09,9.50000000e-09,6.59194595e-01,9.50000000e-09,3.38269159e-02,9.50000000e-09,4.80894418e-01,9.50000000e-09,4.80894415e-01,9.50000000e-09,3.46215226e+08,9.50000000e-09,1.61509768e+08,9.50000000e-09,2.57050780e+07,9.50000000e-09,2.88195013e+01,1.0,.500,sky130
1.00000000e-08,2.87626290e-07,1.00000000e-08,9.99952240e-09,1.00000000e-08,1.70409257e-15,1.00000000e-08,-1.08732104e-15,1.00000000e-08,3.73265245e-18,1.00000000e-08,5.27752139e-16,1.00000000e-08,7.90025732e-16,1.00000000e-08,-1.34093953e-18,1.00000000e-08,3.03336547e-09,1.00000000e-08,6.59185763e-01,1.00000000e-08,3.38512161e-02,1.00000000e-08,4.82657299e-01,1.00000000e-08,4.82657297e-01,1.00000000e-08,3.29666837e+08,1.00000000e-08,1.68785602e+08,1.00000000e-08,2.68630629e+07,1.00000000e-08,2.87640028e+01,1.0,.500,sky130
1.50000000e-08,4.25991282e-07,1.50000000e-08,1.50557027e-08,1.50000000e-08,1.77757808e-15,1.50000000e-08,-1.18332842e-15,1.50000000e-08,4.09391773e-18,1.50000000e-08,5.69848446e-16,1.50000000e-08,8.53099138e-16,1.50000000e-08,-1.48011552e-18,1.50000000e-08,4.48052815e-09,1.50000000e-08,6.59114661e-01,1.50000000e-08,3.40947243e-02,1.50000000e-08,4.96850090e-01,1.50000000e-08,4.96850086e-01,1.50000000e-08,2.23187974e+08,1.50000000e-08,2.39647016e+08,1.50000000e-08,3.81410071e+07,1.50000000e-08,2.82943474e+01,1.0,.500,sky130
2.00000000e-08,5.62280141e-07,2.00000000e-08,2.01286268e-08,2.00000000e-08,1.83126561e-15,2.00000000e-08,-1.25317897e-15,2.00000000e-08,4.35666569e-18,2.00000000e-08,6.00314515e-16,2.00000000e-08,8.98749539e-16,2.00000000e-08,-1.58041933e-18,2.00000000e-08,5.90446396e-09,2.00000000e-08,6.59063457e-01,2.00000000e-08,3.43351917e-02,2.00000000e-08,5.07070946e-01,2.00000000e-08,5.07070940e-01,2.00000000e-08,1.69363384e+08,2.00000000e-08,3.07044559e+08,2.00000000e-08,4.88676593e+07,2.00000000e-08,2.79343518e+01,1.0,.500,sky130
2.50000000e-08,6.92818032e-07,2.50000000e-08,2.50564377e-08,2.50000000e-08,1.87245616e-15,2.50000000e-08,-1.30662190e-15,2.50000000e-08,4.55761413e-18,2.50000000e-08,6.23537250e-16,2.50000000e-08,9.33548055e-16,2.50000000e-08,-1.65661089e-18,2.50000000e-08,7.26676319e-09,2.50000000e-08,6.59024394e-01,2.50000000e-08,3.45653480e-02,2.50000000e-08,5.14868382e-01,2.50000000e-08,5.14868375e-01,2.50000000e-08,1.37612851e+08,2.50000000e-08,3.70004941e+08,2.50000000e-08,5.88881154e+07,2.50000000e-08,2.76503005e+01,1.0,.500,sky130
3.00000000e-08,8.22778960e-07,3.00000000e-08,3.00184495e-08,3.00000000e-08,1.90682017e-15,3.00000000e-08,-1.35111713e-15,3.00000000e-08,4.72484921e-18,3.00000000e-08,6.42816243e-16,3.00000000e-08,9.62438023e-16,3.00000000e-08,-1.71967347e-18,3.00000000e-08,8.62131759e-09,3.00000000e-08,6.58991856e-01,3.00000000e-08,3.47938785e-02,3.00000000e-08,5.21363366e-01,3.00000000e-08,5.21363357e-01,3.00000000e-08,1.15991551e+08,3.00000000e-08,4.31492688e+08,3.00000000e-08,6.86741942e+07,3.00000000e-08,2.74091092e+01,1.0,.500,sky130
3.50000000e-08,9.52269283e-07,3.50000000e-08,3.50102509e-08,3.50000000e-08,1.93629999e-15,3.50000000e-08,-1.38922678e-15,3.50000000e-08,4.86802404e-18,3.50000000e-08,6.59289138e-16,3.50000000e-08,9.87123736e-16,3.50000000e-08,-1.77341045e-18,3.50000000e-08,9.96907049e-09,3.50000000e-08,6.58963925e-01,3.50000000e-08,3.50206805e-02,3.50000000e-08,5.26938782e-01,3.50000000e-08,5.26938772e-01,3.50000000e-08,1.00310255e+08,3.50000000e-08,4.91798423e+08,3.50000000e-08,7.82721501e+07,3.50000000e-08,2.71997275e+01,1.0,.500,sky130
4.00000000e-08,1.08080478e-06,4.00000000e-08,4.00065805e-08,4.00000000e-08,1.96200044e-15,4.00000000e-08,-1.42240690e-15,4.00000000e-08,4.99262713e-18,4.00000000e-08,6.73602125e-16,4.00000000e-08,1.00857325e-15,4.00000000e-08,-1.81998471e-18,4.00000000e-08,1.13048724e-08,4.00000000e-08,6.58939527e-01,4.00000000e-08,3.52447169e-02,4.00000000e-08,5.31809029e-01,4.00000000e-08,5.31809018e-01,4.00000000e-08,8.84574338e+07,4.00000000e-08,5.50868778e+08,4.00000000e-08,8.76734890e+07,4.00000000e-08,2.70156752e+01,1.0,.500,sky130
4.50000000e-08,1.20843875e-06,4.50000000e-08,4.50041689e-08,4.50000000e-08,1.98476047e-15,4.50000000e-08,-1.45175838e-15,4.50000000e-08,5.10280725e-18,4.50000000e-08,6.86241183e-16,4.50000000e-08,1.02751464e-15,4.50000000e-08,-1.86101672e-18,4.50000000e-08,1.26292219e-08,4.50000000e-08,6.58917859e-01,4.50000000e-08,3.54659637e-02,4.50000000e-08,5.36134211e-01,4.50000000e-08,5.36134198e-01,4.50000000e-08,7.91814422e+07,4.50000000e-08,6.08858736e+08,4.50000000e-08,9.69028775e+07,4.50000000e-08,2.68517068e+01,1.0,.500,sky130
5.00000000e-08,1.33527086e-06,5.00000000e-08,5.00027103e-08,5.00000000e-08,2.00517524e-15,5.00000000e-08,-1.47806052e-15,5.00000000e-08,5.20150130e-18,5.00000000e-08,6.97549467e-16,5.00000000e-08,1.04446205e-15,5.00000000e-08,-1.89764893e-18,5.00000000e-08,1.39431311e-08,5.00000000e-08,6.58898359e-01,5.00000000e-08,3.56845209e-02,5.00000000e-08,5.40026728e-01,5.00000000e-08,5.40026713e-01,5.00000000e-08,7.17199024e+07,5.00000000e-08,6.65912302e+08,5.00000000e-08,1.05983234e+08,5.00000000e-08,2.67039697e+01,1.0,.500,sky130
5.50000000e-08,1.46137618e-06,5.50000000e-08,5.50017970e-08,5.50000000e-08,2.02367465e-15,5.50000000e-08,-1.50187535e-15,5.50000000e-08,5.29082730e-18,5.50000000e-08,7.07774002e-16,5.50000000e-08,1.05978556e-15,5.50000000e-08,-1.93070292e-18,5.50000000e-08,1.52473795e-08,5.50000000e-08,6.58880623e-01,5.50000000e-08,3.59004754e-02,5.50000000e-08,5.43567107e-01,5.50000000e-08,5.43567091e-01,5.50000000e-08,6.55850404e+07,5.50000000e-08,7.22139887e+08,5.50000000e-08,1.14932133e+08,5.50000000e-08,2.65696080e+01,1.0,.500,sky130
6.00000000e-08,1.58681782e-06,6.00000000e-08,6.00011925e-08,6.00000000e-08,2.04058032e-15,6.00000000e-08,-1.52362278e-15,6.00000000e-08,5.37236779e-18,6.00000000e-08,7.17099050e-16,6.00000000e-08,1.07376125e-15,6.00000000e-08,-1.96079089e-18,6.00000000e-08,1.65426398e-08,6.00000000e-08,6.58864351e-01,6.00000000e-08,3.61139138e-02,6.00000000e-08,5.46815205e-01,6.00000000e-08,5.46815187e-01,6.00000000e-08,6.04498442e+07,6.00000000e-08,7.77630659e+08,6.00000000e-08,1.23763763e+08,6.00000000e-08,2.64464381e+01,1.0,.500,sky130
6.50000000e-08,1.71164947e-06,6.50000000e-08,6.50007785e-08,6.50000000e-08,2.05613927e-15,6.50000000e-08,-1.54362492e-15,6.50000000e-08,5.44733660e-18,6.50000000e-08,7.25665737e-16,6.50000000e-08,1.08660059e-15,6.50000000e-08,-1.98838127e-18,6.50000000e-08,1.78294999e-08,6.50000000e-08,6.58849315e-01,6.50000000e-08,3.63249214e-02,6.50000000e-08,5.49816744e-01,6.50000000e-08,5.49816726e-01,6.50000000e-08,5.60868228e+07,6.50000000e-08,8.32457947e+08,6.50000000e-08,1.32489797e+08,6.50000000e-08,2.63327534e+01,1.0,.500,sky130
7.00000000e-08,1.83591641e-06,7.00000000e-08,7.00004838e-08,7.00000000e-08,2.07054523e-15,7.00000000e-08,-1.56213414e-15,7.00000000e-08,5.51668479e-18,7.00000000e-08,7.33584498e-16,7.00000000e-08,1.09846902e-15,7.00000000e-08,-2.01384026e-18,7.00000000e-08,1.91084694e-08,7.00000000e-08,6.58835334e-01,7.00000000e-08,3.65335795e-02,7.00000000e-08,5.52607436e-01,7.00000000e-08,5.52607416e-01,7.00000000e-08,5.23328153e+07,7.00000000e-08,8.86682591e+08,7.00000000e-08,1.41119917e+08,7.00000000e-08,2.62271960e+01,1.0,.500,sky130
7.50000000e-08,1.95965715e-06,7.50000000e-08,7.50002692e-08,7.50000000e-08,2.08395303e-15,7.50000000e-08,-1.57935189e-15,7.50000000e-08,5.58117152e-18,7.50000000e-08,7.40943377e-16,7.50000000e-08,1.10949848e-15,7.50000000e-08,-2.03745958e-18,7.50000000e-08,2.03799948e-08,7.50000000e-08,6.58822268e-01,7.50000000e-08,3.67399656e-02,7.50000000e-08,5.55215710e-01,7.50000000e-08,5.55215688e-01,7.50000000e-08,4.90677260e+07,7.50000000e-08,9.40355719e+08,7.50000000e-08,1.49662261e+08,7.50000000e-08,2.61286682e+01,1.0,.500,sky130
8.00000000e-08,2.08290450e-06,8.00000000e-08,8.00001088e-08,8.00000000e-08,2.09648830e-15,8.00000000e-08,-1.59544155e-15,8.00000000e-08,5.64141235e-18,8.00000000e-08,7.47813690e-16,8.00000000e-08,1.11979581e-15,8.00000000e-08,-2.05947529e-18,8.00000000e-08,2.16444679e-08,8.00000000e-08,6.58810000e-01,8.00000000e-08,3.69441527e-02,8.00000000e-08,5.57664570e-01,8.00000000e-08,5.57664547e-01,8.00000000e-08,4.62011820e+07,8.00000000e-08,9.93520687e+08,8.00000000e-08,1.58123728e+08,8.00000000e-08,2.60362708e+01,1.0,.500,sky130
8.50000000e-08,2.20568663e-06,8.50000000e-08,8.49999862e-08,8.50000000e-08,2.10825443e-15,8.50000000e-08,-1.61053743e-15,8.50000000e-08,5.69791333e-18,8.50000000e-08,7.54254010e-16,8.50000000e-08,1.12944879e-15,8.50000000e-08,-2.08008113e-18,8.50000000e-08,2.29022358e-08,8.50000000e-08,6.58798436e-01,8.50000000e-08,3.71462101e-02,8.50000000e-08,5.59972900e-01,8.50000000e-08,5.59972876e-01,8.50000000e-08,4.36638593e+07,8.50000000e-08,1.04621463e+09,8.50000000e-08,1.66510230e+08,8.50000000e-08,2.59492587e+01,1.0,.500,sky130
9.00000000e-08,2.32802791e-06,9.00000000e-08,8.99998907e-08,9.00000000e-08,2.11933751e-15,9.00000000e-08,-1.62475128e-15,9.00000000e-08,5.75109555e-18,9.00000000e-08,7.60313031e-16,9.00000000e-08,1.13853038e-15,9.00000000e-08,-2.09943803e-18,9.00000000e-08,2.41536078e-08,9.00000000e-08,6.58787498e-01,9.00000000e-08,3.73462035e-02,9.00000000e-08,5.62156393e-01,9.00000000e-08,5.62156367e-01,9.00000000e-08,4.14016825e+07,9.00000000e-08,1.09846964e+09,9.00000000e-08,1.74826873e+08,9.00000000e-08,2.58670082e+01,1.0,.500,sky130
9.50000000e-08,2.44994948e-06,9.50000000e-08,9.49998152e-08,9.50000000e-08,2.12981000e-15,9.50000000e-08,-1.63817711e-15,9.50000000e-08,5.80131315e-18,9.50000000e-08,7.66031671e-16,9.50000000e-08,1.14710188e-15,9.50000000e-08,-2.11768110e-18,9.50000000e-08,2.53988613e-08,9.50000000e-08,6.58777119e-01,9.50000000e-08,3.75441951e-02,9.50000000e-08,5.64228235e-01,9.50000000e-08,5.64228207e-01,9.50000000e-08,3.93718437e+07,9.50000000e-08,1.15031363e+09,9.50000000e-08,1.83078101e+08,9.50000000e-08,2.57889921e+01,1.0,.500,sky130
1.00000000e-07,2.57146207e-06,1.00000000e-07,9.99994345e-08,1.00000000e-07,2.13973284e-15,1.00000000e-07,-1.65089393e-15,1.00000000e-07,5.84886381e-18,1.00000000e-07,7.71444303e-16,1.00000000e-07,1.15521481e-15,1.00000000e-07,-2.13492382e-18,1.00000000e-07,2.66381674e-08,1.00000000e-07,6.58767243e-01,1.00000000e-07,3.77402312e-02,1.00000000e-07,5.66199490e-01,1.00000000e-07,5.66199461e-01,1.00000000e-07,3.75401200e+07,1.00000000e-07,1.20176782e+09,1.00000000e-07,1.91267289e+08,1.00000000e-07,2.57147661e+01,1.0,.500,sky130
1.50000000e-07,3.77983257e-06,1.50000000e-07,1.50525017e-07,1.50000000e-07,2.21826749e-15,1.50000000e-07,-1.75140246e-15,1.50000000e-07,6.22411318e-18,1.50000000e-07,8.14084579e-16,1.50000000e-07,1.21913101e-15,1.50000000e-07,-2.26987639e-18,1.50000000e-07,3.88759277e-08,1.50000000e-07,6.58687453e-01,1.50000000e-07,3.96237349e-02,1.50000000e-07,5.82127265e-01,1.50000000e-07,5.82127222e-01,1.50000000e-07,2.57228588e+07,1.50000000e-07,1.70395707e+09,1.50000000e-07,2.71193190e+08,1.50000000e-07,2.51109924e+01,1.0,.500,sky130
2.00000000e-07,4.96128814e-06,2.00000000e-07,2.01193805e-07,2.00000000e-07,2.27309562e-15,2.00000000e-07,-1.82143996e-15,2.00000000e-07,6.48490200e-18,2.00000000e-07,8.43648281e-16,2.00000000e-07,1.26344950e-15,2.00000000e-07,-2.36241723e-18,2.00000000e-07,5.07178225e-08,2.00000000e-07,6.58629643e-01,2.00000000e-07,4.13629568e-02,2.00000000e-07,5.93667326e-01,2.00000000e-07,5.93667268e-01,2.00000000e-07,1.97169348e+07,2.00000000e-07,2.18261304e+09,2.00000000e-07,3.47373653e+08,2.00000000e-07,2.46592491e+01,1.0,.500,sky130
2.50000000e-07,6.08635593e-06,2.50000000e-07,2.50518614e-07,2.50000000e-07,2.31389177e-15,2.50000000e-07,-1.87349293e-15,2.50000000e-07,6.67828263e-18,2.50000000e-07,8.65537733e-16,2.50000000e-07,1.29626570e-15,2.50000000e-07,-2.43031875e-18,2.50000000e-07,6.19127563e-08,2.50000000e-07,6.58585226e-01,2.50000000e-07,4.29410545e-02,2.50000000e-07,6.02534270e-01,2.50000000e-07,6.02534197e-01,2.50000000e-07,1.61517603e+07,2.50000000e-07,2.63035463e+09,2.50000000e-07,4.18633941e+08,2.50000000e-07,2.42950248e+01,1.0,.500,sky130
3.00000000e-07,7.19628108e-06,3.00000000e-07,3.00173500e-07,3.00000000e-07,2.34706549e-15,3.00000000e-07,-1.91578746e-15,3.00000000e-07,6.83509434e-18,3.00000000e-07,8.83269467e-16,3.00000000e-07,1.32285013e-15,3.00000000e-07,-2.48489731e-18,3.00000000e-07,7.29016916e-08,3.00000000e-07,6.58548073e-01,3.00000000e-07,4.44352343e-02,3.00000000e-07,6.09951058e-01,3.00000000e-07,6.09950971e-01,3.00000000e-07,1.37171028e+07,3.00000000e-07,3.06607596e+09,3.00000000e-07,4.87981145e+08,3.00000000e-07,2.39737388e+01,1.0,.500,sky130
3.50000000e-07,8.29088628e-06,3.50000000e-07,3.50097126e-07,3.50000000e-07,2.37493008e-15,3.50000000e-07,-1.95129338e-15,3.50000000e-07,6.96649459e-18,3.50000000e-07,8.98116260e-16,3.50000000e-07,1.34511031e-15,3.50000000e-07,-2.53027812e-18,3.50000000e-07,8.37019755e-08,3.50000000e-07,6.58516055e-01,3.50000000e-07,4.58568332e-02,3.50000000e-07,6.16342845e-01,3.50000000e-07,6.16342743e-01,3.50000000e-07,1.19471493e+07,3.50000000e-07,3.49100227e+09,3.50000000e-07,5.55610267e+08,3.50000000e-07,2.36816748e+01,1.0,.500,sky130
