isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.54072551e-08,1.00000000e-09,9.99669884e-10,1.00000000e-09,1.33198174e-15,1.00000000e-09,-5.79806303e-16,1.00000000e-09,1.33364546e-18,1.00000000e-09,3.02002438e-16,1.00000000e-09,4.51743142e-16,1.00000000e-09,5.54050459e-20,1.00000000e-09,3.24207951e-10,1.00000000e-09,6.13494186e-01,1.00000000e-09,4.04604261e-02,1.00000000e-09,3.32366083e-01,1.00000000e-09,3.32366082e-01,1.00000000e-09,3.08444008e+09,1.00000000e-09,1.90747774e+07,1.00000000e-09,3.03584511e+06,1.00000000e-09,2.54156452e+01,1.0,.500,sky130
1.50000000e-09,3.80702365e-08,1.50000000e-09,1.50585329e-09,1.50000000e-09,1.37975773e-15,1.50000000e-09,-6.47558623e-16,1.50000000e-09,1.60446861e-18,1.50000000e-09,3.33165036e-16,1.50000000e-09,4.98404073e-16,1.50000000e-09,-7.37129659e-20,1.50000000e-09,4.76142886e-10,1.50000000e-09,6.13414233e-01,1.50000000e-09,4.04900082e-02,1.50000000e-09,3.48325561e-01,1.50000000e-09,3.48325560e-01,1.50000000e-09,2.10020990e+09,1.50000000e-09,2.75919719e+07,1.50000000e-09,4.39139872e+06,1.50000000e-09,2.52815044e+01,1.0,.500,sky130
2.00000000e-09,5.06988849e-08,2.00000000e-09,2.01413425e-09,2.00000000e-09,1.41632300e-15,2.00000000e-09,-6.98775386e-16,2.00000000e-09,1.80667261e-18,2.00000000e-09,3.56532605e-16,2.00000000e-09,5.33397514e-16,2.00000000e-09,-1.66996671e-19,2.00000000e-09,6.25958898e-10,2.00000000e-09,6.13357189e-01,2.00000000e-09,4.05195952e-02,2.00000000e-09,3.59712328e-01,2.00000000e-09,3.59712328e-01,2.00000000e-09,1.59754898e+09,2.00000000e-09,3.57961317e+07,2.00000000e-09,5.69713131e+06,2.00000000e-09,2.51715520e+01,1.0,.500,sky130
2.50000000e-09,6.28536945e-08,2.50000000e-09,2.50611349e-09,2.50000000e-09,1.44522352e-15,2.50000000e-09,-7.38932347e-16,2.50000000e-09,1.96406756e-18,2.50000000e-09,3.74752248e-16,2.50000000e-09,5.60684038e-16,2.50000000e-09,-2.38087247e-19,2.50000000e-09,7.69065643e-10,2.50000000e-09,6.13314144e-01,2.50000000e-09,4.05481412e-02,2.50000000e-09,3.68304473e-01,2.50000000e-09,3.68304473e-01,2.50000000e-09,1.30027912e+09,2.50000000e-09,4.34906392e+07,2.50000000e-09,6.92175020e+06,2.50000000e-09,2.50801469e+01,1.0,.500,sky130
3.00000000e-09,7.50388828e-08,3.00000000e-09,3.00171586e-09,3.00000000e-09,1.46998934e-15,3.00000000e-09,-7.73145399e-16,3.00000000e-09,2.09751904e-18,3.00000000e-09,3.90209940e-16,3.00000000e-09,5.83835523e-16,3.00000000e-09,-2.97456191e-19,3.00000000e-09,9.11735133e-10,3.00000000e-09,6.13278476e-01,3.00000000e-09,4.05768171e-02,3.00000000e-09,3.75424217e-01,3.00000000e-09,3.75424216e-01,3.00000000e-09,1.09680977e+09,3.00000000e-09,5.10472292e+07,3.00000000e-09,8.12441886e+06,3.00000000e-09,2.49986629e+01,1.0,.500,sky130
3.50000000e-09,8.72565313e-08,3.50000000e-09,3.50079904e-09,3.50000000e-09,1.49173004e-15,3.50000000e-09,-8.03043047e-16,3.50000000e-09,2.21372318e-18,3.50000000e-09,4.03671829e-16,3.50000000e-09,6.03998792e-16,3.50000000e-09,-3.48543737e-19,3.50000000e-09,1.05415645e-09,3.50000000e-09,6.13247977e-01,3.50000000e-09,4.06056206e-02,3.50000000e-09,3.81512104e-01,3.50000000e-09,3.81512103e-01,3.50000000e-09,9.48625790e+08,3.50000000e-09,5.84935136e+07,3.50000000e-09,9.30953183e+06,3.50000000e-09,2.49247473e+01,1.0,.500,sky130
4.00000000e-09,9.94388023e-08,4.00000000e-09,4.00039950e-09,4.00000000e-09,1.51104763e-15,4.00000000e-09,-8.29510272e-16,4.00000000e-09,2.31631159e-18,4.00000000e-09,4.15555057e-16,4.00000000e-09,6.21798240e-16,4.00000000e-09,-3.93214378e-19,4.00000000e-09,1.19565438e-09,4.00000000e-09,6.13221448e-01,4.00000000e-09,4.06343849e-02,4.00000000e-09,3.86807716e-01,4.00000000e-09,3.86807715e-01,4.00000000e-09,8.36362094e+08,4.00000000e-09,6.58078542e+07,4.00000000e-09,1.04736453e+07,4.00000000e-09,2.48572179e+01,1.0,.500,sky130
4.50000000e-09,1.11580431e-07,4.50000000e-09,4.50012887e-09,4.50000000e-09,1.52844145e-15,4.50000000e-09,-8.53268143e-16,4.50000000e-09,2.40819641e-18,4.50000000e-09,4.26195756e-16,4.50000000e-09,6.37737084e-16,4.50000000e-09,-4.32905793e-19,4.50000000e-09,1.33625431e-09,4.50000000e-09,6.13197976e-01,4.50000000e-09,4.06630917e-02,4.50000000e-09,3.91492914e-01,4.50000000e-09,3.91492913e-01,4.50000000e-09,7.48360540e+08,4.50000000e-09,7.30027514e+07,4.50000000e-09,1.16187488e+07,4.50000000e-09,2.47949414e+01,1.0,.500,sky130
5.00000000e-09,1.23684328e-07,5.00000000e-09,4.99996243e-09,5.00000000e-09,1.54427612e-15,5.00000000e-09,-8.74839410e-16,5.00000000e-09,2.49147422e-18,5.00000000e-09,4.35836518e-16,5.00000000e-09,6.52178528e-16,5.00000000e-09,-4.68635236e-19,5.00000000e-09,1.47605437e-09,5.00000000e-09,6.13176922e-01,5.00000000e-09,4.06917426e-02,5.00000000e-09,3.95695428e-01,5.00000000e-09,3.95695427e-01,5.00000000e-09,6.77481819e+08,5.00000000e-09,8.00921068e+07,5.00000000e-09,1.27470547e+07,5.00000000e-09,2.47370515e+01,1.0,.500,sky130
5.50000000e-09,1.35752408e-07,5.50000000e-09,5.49985721e-09,5.50000000e-09,1.55881885e-15,5.50000000e-09,-8.94605357e-16,5.50000000e-09,2.56766715e-18,5.50000000e-09,4.44653767e-16,5.50000000e-09,6.65386726e-16,5.50000000e-09,-5.01132643e-19,5.50000000e-09,1.61512592e-09,5.50000000e-09,6.13157830e-01,5.50000000e-09,4.07203375e-02,5.50000000e-09,3.99506405e-01,5.50000000e-09,3.99506403e-01,5.50000000e-09,6.19146771e+08,5.50000000e-09,8.70867122e+07,5.50000000e-09,1.38602807e+07,5.50000000e-09,2.46828969e+01,1.0,.500,sky130
6.00000000e-09,1.47786575e-07,6.00000000e-09,5.99978702e-09,6.00000000e-09,1.57227244e-15,6.00000000e-09,-9.12854142e-16,6.00000000e-09,2.63792100e-18,6.00000000e-09,4.52780482e-16,6.00000000e-09,6.77560786e-16,6.00000000e-09,-5.30941794e-19,6.00000000e-09,1.75352953e-09,6.00000000e-09,6.13140362e-01,6.00000000e-09,4.07488772e-02,6.00000000e-09,4.02993382e-01,6.00000000e-09,4.02993380e-01,6.00000000e-09,5.70278390e+08,6.00000000e-09,9.39955263e+07,6.00000000e-09,1.49598526e+07,6.00000000e-09,2.46319702e+01,1.0,.500,sky130
6.50000000e-09,1.59788716e-07,6.50000000e-09,6.49973886e-09,6.50000000e-09,1.58479468e-15,6.50000000e-09,-9.29809147e-16,6.50000000e-09,2.70312108e-18,6.50000000e-09,4.60319501e-16,6.50000000e-09,6.88854693e-16,6.50000000e-09,-5.58479030e-19,6.50000000e-09,1.89131788e-09,6.50000000e-09,6.13124258e-01,6.50000000e-09,4.07773624e-02,6.50000000e-09,4.06207808e-01,6.50000000e-09,4.06207806e-01,6.50000000e-09,5.28731850e+08,6.50000000e-09,1.00826131e+08,6.50000000e-09,1.60469771e+07,6.50000000e-09,2.45838670e+01,1.0,.500,sky130
7.00000000e-09,1.71760553e-07,7.00000000e-09,6.99970399e-09,7.00000000e-09,1.59651078e-15,7.00000000e-09,-9.45647048e-16,7.00000000e-09,2.76396557e-18,7.00000000e-09,4.67351985e-16,7.00000000e-09,6.99389979e-16,7.00000000e-09,-5.84070116e-19,7.00000000e-09,2.02853596e-09,7.00000000e-09,6.13109319e-01,7.00000000e-09,4.08057943e-02,7.00000000e-09,4.09189751e-01,7.00000000e-09,4.09189749e-01,7.00000000e-09,4.92966367e+08,7.00000000e-09,1.07584963e+08,7.00000000e-09,1.71226786e+07,7.00000000e-09,2.45382594e+01,1.0,.500,sky130
7.50000000e-09,1.83703676e-07,7.50000000e-09,7.49967738e-09,7.50000000e-09,1.60752185e-15,7.50000000e-09,-9.60510114e-16,7.50000000e-09,2.82101534e-18,7.50000000e-09,4.73943167e-16,7.50000000e-09,7.09264327e-16,7.50000000e-09,-6.07974896e-19,7.50000000e-09,2.16522289e-09,7.50000000e-09,6.13095386e-01,7.50000000e-09,4.08341738e-02,7.50000000e-09,4.11971031e-01,7.50000000e-09,4.11971029e-01,7.50000000e-09,4.61846217e+08,7.50000000e-09,1.14277561e+08,7.50000000e-09,1.81878387e+07,7.50000000e-09,2.44948771e+01,1.0,.500,sky130
