isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.99103392e-08,1.00000000e-09,9.99591634e-10,1.00000000e-09,1.32126189e-15,1.00000000e-09,-6.10973173e-16,1.00000000e-09,1.40095089e-18,1.00000000e-09,3.19371529e-16,1.00000000e-09,4.78074469e-16,1.00000000e-09,-4.72508757e-19,1.00000000e-09,2.67206703e-10,1.00000000e-09,7.11705312e-01,1.00000000e-09,3.29778613e-02,1.00000000e-09,4.63819892e-01,1.00000000e-09,4.63819892e-01,1.00000000e-09,3.74242109e+09,1.00000000e-09,2.26377067e+07,1.00000000e-09,3.60290292e+06,1.00000000e-09,2.99225586e+01,1.0,.500,sky130
1.50000000e-09,4.46906420e-08,1.50000000e-09,1.50558408e-09,1.50000000e-09,1.37032435e-15,1.50000000e-09,-6.78718010e-16,1.50000000e-09,1.58126919e-18,1.50000000e-09,3.50943621e-16,1.50000000e-09,5.25372051e-16,1.50000000e-09,-5.45740655e-19,1.50000000e-09,3.96824708e-10,1.50000000e-09,7.11655603e-01,1.50000000e-09,3.30130447e-02,1.50000000e-09,4.77440402e-01,1.50000000e-09,4.77440402e-01,1.50000000e-09,2.52000438e+09,1.50000000e-09,3.26131853e+07,1.50000000e-09,5.19054965e+06,1.50000000e-09,2.96832589e+01,1.0,.500,sky130
2.00000000e-09,5.93768788e-08,2.00000000e-09,2.01359111e-09,2.00000000e-09,1.40750821e-15,2.00000000e-09,-7.29634716e-16,2.00000000e-09,1.71690476e-18,2.00000000e-09,3.74495256e-16,2.00000000e-09,5.60656023e-16,2.00000000e-09,-6.00282613e-19,2.00000000e-09,5.25310557e-10,2.00000000e-09,7.11620057e-01,2.00000000e-09,3.30482295e-02,2.00000000e-09,4.87180523e-01,2.00000000e-09,4.87180522e-01,2.00000000e-09,1.90363583e+09,2.00000000e-09,4.21858134e+07,2.00000000e-09,6.71408073e+06,2.00000000e-09,2.94880518e+01,1.0,.500,sky130
2.50000000e-09,7.34848708e-08,2.50000000e-09,2.50576845e-09,2.50000000e-09,1.43673113e-15,2.50000000e-09,-7.69431684e-16,2.50000000e-09,1.82297414e-18,2.50000000e-09,3.92807584e-16,2.50000000e-09,5.88091653e-16,2.50000000e-09,-6.42636642e-19,2.50000000e-09,6.48583914e-10,2.50000000e-09,7.11593157e-01,2.50000000e-09,3.30822027e-02,2.50000000e-09,4.94551270e-01,2.50000000e-09,4.94551269e-01,2.50000000e-09,1.54182054e+09,2.50000000e-09,5.11472670e+07,2.50000000e-09,8.14034036e+06,2.50000000e-09,2.93262814e+01,1.0,.500,sky130
3.00000000e-09,8.75925418e-08,3.00000000e-09,3.00153222e-09,3.00000000e-09,1.46164606e-15,3.00000000e-09,-8.03226885e-16,3.00000000e-09,1.91307957e-18,3.00000000e-09,4.08296894e-16,3.00000000e-09,6.11298443e-16,3.00000000e-09,-6.78420970e-19,3.00000000e-09,7.71768598e-10,3.00000000e-09,7.11570833e-01,3.00000000e-09,3.31163187e-02,3.00000000e-09,5.00668118e-01,3.00000000e-09,5.00668118e-01,3.00000000e-09,1.29572517e+09,3.00000000e-09,5.99273271e+07,3.00000000e-09,9.53773033e+06,3.00000000e-09,2.91826092e+01,1.0,.500,sky130
3.50000000e-09,1.01703290e-07,3.50000000e-09,3.50064191e-09,3.50000000e-09,1.48342408e-15,3.50000000e-09,-8.32674270e-16,3.50000000e-09,1.99161325e-18,3.50000000e-09,4.21750066e-16,3.50000000e-09,6.31455051e-16,3.50000000e-09,-7.09468769e-19,3.50000000e-09,8.94929951e-10,3.50000000e-09,7.11551722e-01,3.50000000e-09,3.31505656e-02,3.50000000e-09,5.05904733e-01,3.50000000e-09,5.05904732e-01,3.50000000e-09,1.11740589e+09,3.50000000e-09,6.85598211e+07,3.50000000e-09,1.09116344e+07,3.50000000e-09,2.90527545e+01,1.0,.500,sky130
4.00000000e-09,1.15745263e-07,4.00000000e-09,4.00025210e-09,4.00000000e-09,1.50270998e-15,4.00000000e-09,-8.58684854e-16,4.00000000e-09,2.06099457e-18,4.00000000e-09,4.33601009e-16,4.00000000e-09,6.49211412e-16,4.00000000e-09,-7.36791960e-19,4.00000000e-09,1.01746238e-09,4.00000000e-09,7.11535076e-01,4.00000000e-09,3.31847520e-02,4.00000000e-09,5.10465947e-01,4.00000000e-09,5.10465946e-01,4.00000000e-09,9.82837325e+08,4.00000000e-09,7.70243520e+07,4.00000000e-09,1.22588064e+07,4.00000000e-09,2.89344921e+01,1.0,.500,sky130
4.50000000e-09,1.29715553e-07,4.50000000e-09,4.49998943e-09,4.50000000e-09,1.52002613e-15,4.50000000e-09,-8.81988510e-16,4.50000000e-09,2.12316414e-18,4.50000000e-09,4.44194005e-16,4.50000000e-09,6.65083246e-16,4.50000000e-09,-7.61192098e-19,4.50000000e-09,1.13935389e-09,4.50000000e-09,7.11520330e-01,4.50000000e-09,3.32188558e-02,4.50000000e-09,5.14506479e-01,4.50000000e-09,5.14506478e-01,4.50000000e-09,8.77690426e+08,4.50000000e-09,8.53377129e+07,4.50000000e-09,1.35819188e+07,4.50000000e-09,2.88257462e+01,1.0,.500,sky130
5.00000000e-09,1.43619775e-07,5.00000000e-09,4.99982899e-09,5.00000000e-09,1.53575130e-15,5.00000000e-09,-9.03112001e-16,5.00000000e-09,2.17952328e-18,5.00000000e-09,4.53776519e-16,5.00000000e-09,6.79441257e-16,5.00000000e-09,-7.83245058e-19,5.00000000e-09,1.26066171e-09,5.00000000e-09,7.11507087e-01,5.00000000e-09,3.32528785e-02,5.00000000e-09,5.18134966e-01,5.00000000e-09,5.18134965e-01,5.00000000e-09,7.93234213e+08,5.00000000e-09,9.35175995e+07,5.00000000e-09,1.48837882e+07,5.00000000e-09,2.87249375e+01,1.0,.500,sky130
5.50000000e-09,1.57462041e-07,5.50000000e-09,5.49972795e-09,5.50000000e-09,1.55016210e-15,5.50000000e-09,-9.22438767e-16,5.50000000e-09,2.23109243e-18,5.50000000e-09,4.62528206e-16,5.50000000e-09,6.92554568e-16,5.50000000e-09,-8.03368816e-19,5.50000000e-09,1.38142675e-09,5.50000000e-09,7.11495066e-01,5.50000000e-09,3.32868195e-02,5.50000000e-09,5.21428975e-01,5.50000000e-09,5.21428974e-01,5.50000000e-09,7.23889270e+08,5.50000000e-09,1.01577791e+08,5.50000000e-09,1.61666075e+07,5.50000000e-09,2.86308782e+01,1.0,.500,sky130
