isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.15805324e-08,1.00000000e-09,9.99457498e-10,1.00000000e-09,1.28838075e-15,1.00000000e-09,-5.46263396e-16,1.00000000e-09,3.80934601e-19,1.00000000e-09,2.93475893e-16,1.00000000e-09,4.39132980e-16,1.00000000e-09,7.16351102e-19,1.00000000e-09,2.58779384e-10,1.00000000e-09,6.22895996e-01,1.00000000e-09,4.63633773e-02,1.00000000e-09,3.24891064e-01,1.00000000e-09,3.24891064e-01,1.00000000e-09,3.86429546e+09,1.00000000e-09,1.67501202e+07,1.00000000e-09,2.66586442e+06,1.00000000e-09,2.15922462e+01,1.0,.500,sky130
1.50000000e-09,3.23363770e-08,1.50000000e-09,1.50563874e-09,1.50000000e-09,1.33045747e-15,1.50000000e-09,-6.09090988e-16,1.50000000e-09,5.90468347e-19,1.50000000e-09,3.23024093e-16,1.50000000e-09,4.83372967e-16,1.50000000e-09,5.87373745e-19,1.50000000e-09,3.77081554e-10,1.50000000e-09,6.22827369e-01,1.50000000e-09,4.64097334e-02,1.50000000e-09,3.43695438e-01,1.50000000e-09,3.43695437e-01,1.50000000e-09,2.65194621e+09,1.50000000e-09,2.43047055e+07,1.50000000e-09,3.86821402e+06,1.50000000e-09,2.14768497e+01,1.0,.500,sky130
2.00000000e-09,4.30635184e-08,2.00000000e-09,2.01391384e-09,2.00000000e-09,1.36273292e-15,2.00000000e-09,-6.56522799e-16,2.00000000e-09,7.42284681e-19,2.00000000e-09,3.45137698e-16,2.00000000e-09,5.16488120e-16,2.00000000e-09,4.99290335e-19,2.00000000e-09,4.93290237e-10,2.00000000e-09,6.22778402e-01,2.00000000e-09,4.64560702e-02,2.00000000e-09,3.57112602e-01,2.00000000e-09,3.57112601e-01,2.00000000e-09,2.02720412e+09,2.00000000e-09,3.16008499e+07,2.00000000e-09,5.02943147e+06,2.00000000e-09,2.13829994e+01,1.0,.500,sky130
2.50000000e-09,5.33893939e-08,2.50000000e-09,2.50589618e-09,2.50000000e-09,1.38827789e-15,2.50000000e-09,-6.93679529e-16,2.50000000e-09,8.58334759e-19,2.50000000e-09,3.62356376e-16,2.50000000e-09,5.42276177e-16,2.50000000e-09,4.34554788e-19,2.50000000e-09,6.04011730e-10,2.50000000e-09,6.22741452e-01,2.50000000e-09,4.65007526e-02,2.50000000e-09,3.67237177e-01,2.50000000e-09,3.67237176e-01,2.50000000e-09,1.65559699e+09,2.50000000e-09,3.84572817e+07,2.50000000e-09,6.12066648e+06,2.50000000e-09,2.13055091e+01,1.0,.500,sky130
3.00000000e-09,6.37424193e-08,3.00000000e-09,3.00150035e-09,3.00000000e-09,1.41018818e-15,3.00000000e-09,-7.25314707e-16,3.00000000e-09,9.55518336e-19,3.00000000e-09,3.76949418e-16,3.00000000e-09,5.64133699e-16,3.00000000e-09,3.81875403e-19,3.00000000e-09,7.14184908e-10,3.00000000e-09,6.22710835e-01,3.00000000e-09,4.65456143e-02,3.00000000e-09,3.75626646e-01,3.00000000e-09,3.75626645e-01,3.00000000e-09,1.40019761e+09,3.00000000e-09,4.52013569e+07,3.00000000e-09,7.19401939e+06,3.00000000e-09,2.12368522e+01,1.0,.500,sky130
3.50000000e-09,7.41245820e-08,3.50000000e-09,3.50058231e-09,3.50000000e-09,1.42943493e-15,3.50000000e-09,-7.52943800e-16,3.50000000e-09,1.03935659e-18,3.50000000e-09,3.89647086e-16,3.50000000e-09,5.83153549e-16,3.50000000e-09,3.37446435e-19,3.50000000e-09,8.23999111e-10,3.50000000e-09,6.22684655e-01,3.50000000e-09,4.65906514e-02,3.50000000e-09,3.82800013e-01,3.50000000e-09,3.82800012e-01,3.50000000e-09,1.21359354e+09,3.50000000e-09,5.18558630e+07,3.50000000e-09,8.25311692e+06,3.50000000e-09,2.11749291e+01,1.0,.500,sky130
4.00000000e-09,8.44784966e-08,4.00000000e-09,4.00018230e-09,4.00000000e-09,1.44654528e-15,4.00000000e-09,-7.77390869e-16,4.00000000e-09,1.11283232e-18,4.00000000e-09,4.00847287e-16,4.00000000e-09,5.99931218e-16,4.00000000e-09,2.99220940e-19,4.00000000e-09,9.32965362e-10,4.00000000e-09,6.22661884e-01,4.00000000e-09,4.66356038e-02,4.00000000e-09,3.89039610e-01,4.00000000e-09,3.89039609e-01,4.00000000e-09,1.07185115e+09,4.00000000e-09,5.84001745e+07,4.00000000e-09,9.29467644e+06,4.00000000e-09,2.11186617e+01,1.0,.500,sky130
4.50000000e-09,9.47997634e-08,4.50000000e-09,4.49990965e-09,4.50000000e-09,1.46195769e-15,4.50000000e-09,-7.99325869e-16,4.50000000e-09,1.17825341e-18,4.50000000e-09,4.10869702e-16,4.50000000e-09,6.14945238e-16,4.50000000e-09,2.65706551e-19,4.50000000e-09,1.04112594e-09,4.50000000e-09,6.22641738e-01,4.50000000e-09,4.66804430e-02,4.50000000e-09,3.94559694e-01,4.50000000e-09,3.94559693e-01,4.50000000e-09,9.60498594e+08,4.50000000e-09,6.48443961e+07,4.50000000e-09,1.03203062e+07,4.50000000e-09,2.10670371e+01,1.0,.500,sky130
5.00000000e-09,1.05091026e-07,5.00000000e-09,4.99974354e-09,5.00000000e-09,1.47599297e-15,5.00000000e-09,-8.19234402e-16,5.00000000e-09,1.23725582e-18,5.00000000e-09,4.19944931e-16,5.00000000e-09,6.28540833e-16,5.00000000e-09,2.35875251e-19,5.00000000e-09,1.14857454e-09,5.00000000e-09,6.22623669e-01,5.00000000e-09,4.67251722e-02,5.00000000e-09,3.99510818e-01,5.00000000e-09,3.99510817e-01,5.00000000e-09,8.70644404e+08,5.00000000e-09,7.12002209e+07,5.00000000e-09,1.13318671e+07,5.00000000e-09,2.10192832e+01,1.0,.500,sky130
5.50000000e-09,1.15353903e-07,5.50000000e-09,5.49963727e-09,5.50000000e-09,1.48888626e-15,5.50000000e-09,-8.37470238e-16,5.50000000e-09,1.29101374e-18,5.50000000e-09,4.28240446e-16,5.50000000e-09,6.40968736e-16,5.50000000e-09,2.09003810e-19,5.50000000e-09,1.25537860e-09,5.50000000e-09,6.22607284e-01,5.50000000e-09,4.67697916e-02,5.50000000e-09,4.04000355e-01,5.50000000e-09,4.04000353e-01,5.50000000e-09,7.96572442e+08,5.50000000e-09,7.74766386e+07,5.50000000e-09,1.23307900e+07,5.50000000e-09,2.09748202e+01,1.0,.500,sky130
