isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,3.02248156e-08,1.00000000e-09,9.99564936e-10,1.00000000e-09,1.33464696e-15,1.00000000e-09,-6.13796404e-16,1.00000000e-09,1.65794642e-18,1.00000000e-09,3.17891134e-16,1.00000000e-09,4.75766879e-16,1.00000000e-09,-5.50925743e-19,1.00000000e-09,2.96983013e-10,1.00000000e-09,6.86198204e-01,1.00000000e-09,3.31876969e-02,1.00000000e-09,4.35064581e-01,1.00000000e-09,4.35064581e-01,1.00000000e-09,3.36719595e+09,1.00000000e-09,2.26463001e+07,1.00000000e-09,3.60427060e+06,1.00000000e-09,3.02379711e+01,1.0,.500,sky130
1.50000000e-09,4.51908069e-08,1.50000000e-09,1.50564833e-09,1.50000000e-09,1.38507503e-15,1.50000000e-09,-6.82977342e-16,1.50000000e-09,1.87630354e-18,1.50000000e-09,3.49834918e-16,1.50000000e-09,5.23615904e-16,1.50000000e-09,-6.40069435e-19,1.50000000e-09,4.40803698e-10,1.50000000e-09,6.86140761e-01,1.50000000e-09,3.32172932e-02,1.50000000e-09,4.48529547e-01,1.50000000e-09,4.48529546e-01,1.50000000e-09,2.26858351e+09,1.50000000e-09,3.26269738e+07,1.50000000e-09,5.19274416e+06,1.50000000e-09,3.00141846e+01,1.0,.500,sky130
2.00000000e-09,6.00714978e-08,2.00000000e-09,2.01372276e-09,2.00000000e-09,1.42335757e-15,2.00000000e-09,-7.35052390e-16,2.00000000e-09,2.04075935e-18,2.00000000e-09,3.73700914e-16,2.00000000e-09,5.59367055e-16,2.00000000e-09,-7.06527339e-19,2.00000000e-09,5.83324048e-10,2.00000000e-09,6.86099709e-01,2.00000000e-09,3.32468963e-02,2.00000000e-09,4.58152466e-01,2.00000000e-09,4.58152466e-01,2.00000000e-09,1.71431300e+09,2.00000000e-09,4.22040809e+07,2.00000000e-09,6.71698809e+06,2.00000000e-09,2.98310667e+01,1.0,.500,sky130
2.50000000e-09,7.43708212e-08,2.50000000e-09,2.50584532e-09,2.50000000e-09,1.45347381e-15,2.50000000e-09,-7.75791548e-16,2.50000000e-09,2.16946552e-18,2.50000000e-09,3.92275189e-16,2.50000000e-09,5.87192317e-16,2.50000000e-09,-7.58169634e-19,2.50000000e-09,7.20009265e-10,2.50000000e-09,6.86068663e-01,2.50000000e-09,3.32754804e-02,2.50000000e-09,4.65429704e-01,2.50000000e-09,4.65429703e-01,2.50000000e-09,1.38887102e+09,2.50000000e-09,5.11676376e+07,2.50000000e-09,8.14358245e+06,2.50000000e-09,2.96789354e+01,1.0,.500,sky130
3.00000000e-09,8.86769368e-08,3.00000000e-09,3.00157321e-09,3.00000000e-09,1.47917621e-15,3.00000000e-09,-8.10419571e-16,3.00000000e-09,2.27889549e-18,3.00000000e-09,4.08001512e-16,3.00000000e-09,6.10751908e-16,3.00000000e-09,-8.01838987e-19,3.00000000e-09,8.56589816e-10,3.00000000e-09,6.86042907e-01,3.00000000e-09,3.33041937e-02,3.00000000e-09,4.71467190e-01,3.00000000e-09,4.71467189e-01,3.00000000e-09,1.16741990e+09,3.00000000e-09,5.99502182e+07,3.00000000e-09,9.54137356e+06,3.00000000e-09,2.95434862e+01,1.0,.500,sky130
3.50000000e-09,1.02992675e-07,3.50000000e-09,3.50067819e-09,3.50000000e-09,1.50166175e-15,3.50000000e-09,-8.40617024e-16,3.50000000e-09,2.37434431e-18,3.50000000e-09,4.21672063e-16,3.50000000e-09,6.31232263e-16,3.50000000e-09,-8.39758164e-19,3.50000000e-09,9.93146069e-10,3.50000000e-09,6.86020862e-01,3.50000000e-09,3.33330270e-02,3.50000000e-09,4.76634629e-01,3.50000000e-09,4.76634628e-01,3.50000000e-09,1.00690123e+09,3.50000000e-09,6.85858018e+07,3.50000000e-09,1.09157694e+07,3.50000000e-09,2.94207777e+01,1.0,.500,sky130
4.00000000e-09,1.17243518e-07,4.00000000e-09,4.00028572e-09,4.00000000e-09,1.52158762e-15,4.00000000e-09,-8.67307142e-16,4.00000000e-09,2.45872061e-18,4.00000000e-09,4.33722569e-16,4.00000000e-09,6.49285960e-16,4.00000000e-09,-8.73150590e-19,4.00000000e-09,1.12900169e-09,4.00000000e-09,6.86001666e-01,4.00000000e-09,3.33618177e-02,4.00000000e-09,4.81134372e-01,4.00000000e-09,4.81134371e-01,4.00000000e-09,8.85738269e+08,4.00000000e-09,7.70534122e+07,4.00000000e-09,1.22634314e+07,4.00000000e-09,2.93087859e+01,1.0,.500,sky130
4.50000000e-09,1.31425846e-07,4.50000000e-09,4.50002209e-09,4.50000000e-09,1.53948886e-15,4.50000000e-09,-8.91232928e-16,4.50000000e-09,2.53436720e-18,4.50000000e-09,4.44500275e-16,4.50000000e-09,6.65433088e-16,4.50000000e-09,-9.02988865e-19,4.50000000e-09,1.26414556e-09,4.50000000e-09,6.85984665e-01,4.50000000e-09,3.33905473e-02,4.50000000e-09,4.85119483e-01,4.50000000e-09,4.85119482e-01,4.50000000e-09,7.91048147e+08,4.50000000e-09,8.53697932e+07,4.50000000e-09,1.35870246e+07,4.50000000e-09,2.92056002e+01,1.0,.500,sky130
5.00000000e-09,1.45544777e-07,5.00000000e-09,4.99986092e-09,5.00000000e-09,1.55575380e-15,5.00000000e-09,-9.12931037e-16,5.00000000e-09,2.60297690e-18,5.00000000e-09,4.54254970e-16,5.00000000e-09,6.80047787e-16,5.00000000e-09,-9.29972025e-19,5.00000000e-09,1.39864237e-09,5.00000000e-09,6.85969402e-01,5.00000000e-09,3.34192169e-02,5.00000000e-09,4.88697405e-01,5.00000000e-09,4.88697403e-01,5.00000000e-09,7.14979056e+08,5.00000000e-09,9.35525773e+07,5.00000000e-09,1.48893551e+07,5.00000000e-09,2.91097652e+01,1.0,.500,sky130
5.50000000e-09,1.59603996e-07,5.50000000e-09,5.49975782e-09,5.50000000e-09,1.57066614e-15,5.50000000e-09,-9.32792323e-16,5.50000000e-09,2.66578293e-18,5.50000000e-09,4.63168092e-16,5.50000000e-09,6.93401823e-16,5.50000000e-09,-9.54607578e-19,5.50000000e-09,1.53253828e-09,5.50000000e-09,6.85955548e-01,5.50000000e-09,3.34478258e-02,5.50000000e-09,4.91944840e-01,5.50000000e-09,4.91944839e-01,5.50000000e-09,6.52512249e+08,5.50000000e-09,1.01615481e+08,5.50000000e-09,1.61726062e+07,5.50000000e-09,2.90201862e+01,1.0,.500,sky130
