isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.17863300e-08,1.00000000e-09,9.99492493e-10,1.00000000e-09,1.30051922e-15,1.00000000e-09,-5.45740900e-16,1.00000000e-09,3.19278403e-19,1.00000000e-09,2.90717833e-16,1.00000000e-09,4.34976134e-16,1.00000000e-09,1.01787285e-18,1.00000000e-09,2.96517964e-10,1.00000000e-09,5.97481158e-01,1.00000000e-09,4.66581109e-02,1.00000000e-09,2.94585504e-01,1.00000000e-09,2.94585503e-01,1.00000000e-09,3.37247696e+09,1.00000000e-09,1.67520247e+07,1.00000000e-09,2.66616754e+06,1.00000000e-09,2.17973923e+01,1.0,.500,sky130
1.50000000e-09,3.26573865e-08,1.50000000e-09,1.50568738e-09,1.50000000e-09,1.34346650e-15,1.50000000e-09,-6.09606991e-16,1.50000000e-09,5.89695122e-19,1.50000000e-09,3.20505163e-16,1.50000000e-09,4.79551189e-16,1.50000000e-09,8.38447527e-19,1.50000000e-09,4.29810284e-10,1.50000000e-09,5.97401829e-01,1.50000000e-09,4.66968641e-02,1.50000000e-09,3.13180597e-01,1.50000000e-09,3.13180596e-01,1.50000000e-09,2.32660789e+09,1.50000000e-09,2.43082998e+07,1.50000000e-09,3.86878607e+06,1.50000000e-09,2.16893539e+01,1.0,.500,sky130
2.00000000e-09,4.31964115e-08,2.00000000e-09,1.99951204e-09,2.00000000e-09,1.37564996e-15,2.00000000e-09,-6.56691287e-16,2.00000000e-09,7.78655200e-19,2.00000000e-09,3.42275108e-16,2.00000000e-09,5.12138210e-16,2.00000000e-09,7.20889702e-19,2.00000000e-09,5.56805349e-10,2.00000000e-09,5.97346647e-01,2.00000000e-09,4.67345045e-02,2.00000000e-09,3.26115635e-01,2.00000000e-09,3.26115634e-01,2.00000000e-09,1.79595976e+09,2.00000000e-09,3.14007290e+07,2.00000000e-09,4.99758123e+06,2.00000000e-09,2.16034765e+01,1.0,.500,sky130
2.50000000e-09,5.39003847e-08,2.50000000e-09,2.50368235e-09,2.50000000e-09,1.40256816e-15,2.50000000e-09,-6.95656472e-16,2.50000000e-09,9.30072725e-19,2.50000000e-09,3.60182141e-16,2.50000000e-09,5.38947664e-16,2.50000000e-09,6.30713438e-19,2.50000000e-09,6.84264622e-10,2.50000000e-09,5.97302730e-01,2.50000000e-09,4.67727948e-02,2.50000000e-09,3.36410300e-01,2.50000000e-09,3.36410299e-01,2.50000000e-09,1.46142292e+09,2.50000000e-09,3.84297793e+07,2.50000000e-09,6.11628933e+06,2.50000000e-09,2.15284438e+01,1.0,.500,sky130
3.00000000e-09,6.44360786e-08,3.00000000e-09,3.00217210e-09,3.00000000e-09,1.42519572e-15,3.00000000e-09,-7.28157219e-16,3.00000000e-09,1.05359892e-18,3.00000000e-09,3.75048820e-16,3.00000000e-09,5.61208025e-16,3.00000000e-09,5.59513669e-19,3.00000000e-09,8.08602085e-10,3.00000000e-09,5.97267144e-01,3.00000000e-09,4.68105333e-02,3.00000000e-09,3.44751816e-01,3.00000000e-09,3.44751815e-01,3.00000000e-09,1.23670223e+09,3.00000000e-09,4.52120909e+07,3.00000000e-09,7.19572775e+06,3.00000000e-09,2.14631528e+01,1.0,.500,sky130
3.50000000e-09,7.49317383e-08,3.50000000e-09,3.50074246e-09,3.50000000e-09,1.44495232e-15,3.50000000e-09,-7.56365164e-16,3.50000000e-09,1.15908512e-18,3.50000000e-09,3.87903786e-16,3.50000000e-09,5.80457969e-16,3.50000000e-09,5.00241231e-19,3.50000000e-09,9.31597817e-10,3.50000000e-09,5.97236942e-01,3.50000000e-09,4.68481694e-02,3.50000000e-09,3.51831366e-01,3.50000000e-09,3.51831365e-01,3.50000000e-09,1.07342458e+09,3.50000000e-09,5.18575856e+07,3.50000000e-09,8.25339108e+06,3.50000000e-09,2.14045275e+01,1.0,.500,sky130
4.00000000e-09,8.54087730e-08,4.00000000e-09,4.00020871e-09,4.00000000e-09,1.46254751e-15,4.00000000e-09,-7.81366007e-16,4.00000000e-09,1.25141189e-18,4.00000000e-09,3.99261749e-16,4.00000000e-09,5.97467442e-16,4.00000000e-09,4.49428702e-19,4.00000000e-09,1.05366571e-09,4.00000000e-09,5.97210653e-01,4.00000000e-09,4.68857722e-02,4.00000000e-09,3.57993777e-01,4.00000000e-09,3.57993776e-01,4.00000000e-09,9.49067609e+08,4.00000000e-09,5.83972640e+07,4.00000000e-09,9.29421322e+06,4.00000000e-09,2.13510792e+01,1.0,.500,sky130
4.50000000e-09,9.58574296e-08,4.50000000e-09,4.49994522e-09,4.50000000e-09,1.47841456e-15,4.50000000e-09,-8.03820745e-16,4.50000000e-09,1.33350523e-18,4.50000000e-09,4.09435811e-16,4.50000000e-09,6.12704846e-16,4.50000000e-09,4.05026457e-19,4.50000000e-09,1.17480747e-09,4.50000000e-09,5.97187391e-01,4.50000000e-09,4.69233001e-02,4.50000000e-09,3.63446525e-01,4.50000000e-09,3.63446523e-01,4.50000000e-09,8.51203303e+08,4.50000000e-09,6.48379909e+07,4.50000000e-09,1.03192868e+07,4.50000000e-09,2.13019103e+01,1.0,.500,sky130
5.00000000e-09,1.06276954e-07,5.00000000e-09,4.99977987e-09,5.00000000e-09,1.49287419e-15,5.00000000e-09,-8.24213707e-16,5.00000000e-09,1.40744531e-18,5.00000000e-09,4.18654210e-16,5.00000000e-09,6.26511683e-16,5.00000000e-09,3.65623065e-19,5.00000000e-09,1.29510110e-09,5.00000000e-09,5.97166529e-01,5.00000000e-09,4.69607447e-02,5.00000000e-09,3.68336598e-01,5.00000000e-09,3.68336596e-01,5.00000000e-09,7.72140491e+08,5.00000000e-09,7.11894907e+07,5.00000000e-09,1.13301593e+07,5.00000000e-09,2.12563265e+01,1.0,.500,sky130
5.50000000e-09,1.16668964e-07,5.50000000e-09,5.49967497e-09,5.50000000e-09,1.50616606e-15,5.50000000e-09,-8.42904126e-16,5.50000000e-09,1.47474172e-18,5.50000000e-09,4.27085603e-16,5.50000000e-09,6.39140332e-16,5.50000000e-09,3.30218905e-19,5.50000000e-09,1.41463205e-09,5.50000000e-09,5.97147615e-01,5.50000000e-09,4.69981069e-02,5.50000000e-09,3.72770315e-01,5.50000000e-09,3.72770313e-01,5.50000000e-09,7.06897599e+08,5.50000000e-09,7.74608901e+07,5.50000000e-09,1.23282836e+07,5.50000000e-09,2.12137926e+01,1.0,.500,sky130
