isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.03738813e-08,1.00000000e-09,9.99450899e-10,1.00000000e-09,1.11937734e-15,1.00000000e-09,-3.45667091e-16,1.00000000e-09,6.37826567e-19,1.00000000e-09,1.66874463e-16,1.00000000e-09,2.49964254e-16,1.00000000e-09,-2.12173559e-19,1.00000000e-09,1.46919869e-10,1.00000000e-09,8.89847688e-01,1.00000000e-09,4.28738251e-02,1.00000000e-09,5.48258317e-01,1.00000000e-09,5.48258316e-01,1.00000000e-09,6.80643133e+09,1.00000000e-09,1.82010842e+07,1.00000000e-09,2.89679252e+06,1.00000000e-09,2.03850747e+01,1.0,.500,sky130
1.50000000e-09,2.91856070e-08,1.50000000e-09,1.50360365e-09,1.50000000e-09,1.15058704e-15,1.50000000e-09,-3.96458341e-16,1.50000000e-09,7.45684800e-19,1.50000000e-09,1.90412389e-16,1.50000000e-09,2.85240182e-16,1.50000000e-09,-2.57833981e-19,1.50000000e-09,2.13724554e-10,1.50000000e-09,8.89788916e-01,1.50000000e-09,4.29853215e-02,1.50000000e-09,5.68644644e-01,1.50000000e-09,5.68644644e-01,1.50000000e-09,4.67891957e+09,1.50000000e-09,2.53658402e+07,1.50000000e-09,4.03709886e+06,1.50000000e-09,1.94104391e+01,1.0,.500,sky130
2.00000000e-09,3.76944357e-08,2.00000000e-09,2.00888823e-09,2.00000000e-09,1.17702108e-15,2.00000000e-09,-4.37941373e-16,2.00000000e-09,8.33965387e-19,2.00000000e-09,2.09538750e-16,2.00000000e-09,3.13905462e-16,2.00000000e-09,-2.95024684e-19,2.00000000e-09,2.78890166e-10,2.00000000e-09,8.89745463e-01,2.00000000e-09,4.30963271e-02,2.00000000e-09,5.83716932e-01,2.00000000e-09,5.83716931e-01,2.00000000e-09,3.58564095e+09,2.00000000e-09,3.20252853e+07,2.00000000e-09,5.09698245e+06,2.00000000e-09,1.87638293e+01,1.0,.500,sky130
2.50000000e-09,4.58373620e-08,2.50000000e-09,2.50362749e-09,2.50000000e-09,1.19977900e-15,2.50000000e-09,-4.72831746e-16,2.50000000e-09,9.08341347e-19,2.50000000e-09,2.25563257e-16,2.50000000e-09,3.37922437e-16,2.50000000e-09,-3.26246621e-19,2.50000000e-09,3.41532766e-10,2.50000000e-09,8.89711467e-01,2.50000000e-09,4.32043502e-02,2.50000000e-09,5.95509146e-01,2.50000000e-09,5.95509145e-01,2.50000000e-09,2.92797675e+09,2.50000000e-09,3.82048377e+07,2.50000000e-09,6.08048877e+06,2.50000000e-09,1.83083794e+01,1.0,.500,sky130
3.00000000e-09,5.39018998e-08,3.00000000e-09,3.00097145e-09,3.00000000e-09,1.22037127e-15,3.00000000e-09,-5.03880856e-16,3.00000000e-09,9.74619997e-19,3.00000000e-09,2.39778919e-16,3.00000000e-09,3.59228754e-16,3.00000000e-09,-3.53990888e-19,3.00000000e-09,4.03661830e-10,3.00000000e-09,8.89682871e-01,3.00000000e-09,4.33123132e-02,3.00000000e-09,6.05428099e-01,3.00000000e-09,6.05428099e-01,3.00000000e-09,2.47732118e+09,3.00000000e-09,4.41684438e+07,3.00000000e-09,7.02962616e+06,3.00000000e-09,1.79614837e+01,1.0,.500,sky130
3.50000000e-09,6.19164298e-08,3.50000000e-09,3.50031065e-09,3.50000000e-09,1.23925159e-15,3.50000000e-09,-5.31986220e-16,3.50000000e-09,1.03468492e-18,3.50000000e-09,2.52612509e-16,3.50000000e-09,3.78463913e-16,3.50000000e-09,-3.79073856e-19,3.50000000e-09,4.65387464e-10,3.50000000e-09,8.89658160e-01,3.50000000e-09,4.34201015e-02,3.50000000e-09,6.13999548e-01,3.50000000e-09,6.13999547e-01,3.50000000e-09,2.14874718e+09,3.50000000e-09,4.99627601e+07,3.50000000e-09,7.95182024e+06,3.50000000e-09,1.76888385e+01,1.0,.500,sky130
4.00000000e-09,6.98795794e-08,4.00000000e-09,3.99999021e-09,4.00000000e-09,1.25668905e-15,4.00000000e-09,-5.57678978e-16,4.00000000e-09,1.08964915e-18,4.00000000e-09,2.64317218e-16,4.00000000e-09,3.96007309e-16,4.00000000e-09,-4.01978772e-19,4.00000000e-09,5.26634039e-10,4.00000000e-09,8.89636438e-01,4.00000000e-09,4.35273747e-02,4.00000000e-09,6.21534252e-01,4.00000000e-09,6.21534251e-01,4.00000000e-09,1.89885181e+09,4.00000000e-09,5.56061021e+07,4.00000000e-09,8.84998601e+06,4.00000000e-09,1.74699376e+01,1.0,.500,sky130
4.50000000e-09,7.78050523e-08,4.50000000e-09,4.49978525e-09,4.50000000e-09,1.27291919e-15,4.50000000e-09,-5.81392019e-16,4.50000000e-09,1.14042288e-18,4.50000000e-09,2.75097856e-16,4.50000000e-09,4.12165852e-16,4.50000000e-09,-4.23097994e-19,4.50000000e-09,5.87467662e-10,4.50000000e-09,8.89617053e-01,4.50000000e-09,4.36341015e-02,4.50000000e-09,6.28258196e-01,4.50000000e-09,6.28258195e-01,4.50000000e-09,1.70222136e+09,4.50000000e-09,6.11233243e+07,4.50000000e-09,9.72807919e+06,4.50000000e-09,1.72908368e+01,1.0,.500,sky130
5.00000000e-09,8.57043427e-08,5.00000000e-09,4.99965763e-09,5.00000000e-09,1.28812263e-15,5.00000000e-09,-6.03447923e-16,5.00000000e-09,1.18768518e-18,5.00000000e-09,2.85106648e-16,5.00000000e-09,4.27167657e-16,5.00000000e-09,-4.42723522e-19,5.00000000e-09,6.47952727e-10,5.00000000e-09,8.89599545e-01,5.00000000e-09,4.37402886e-02,5.00000000e-09,6.34331229e-01,5.00000000e-09,6.34331227e-01,5.00000000e-09,1.54332246e+09,5.00000000e-09,6.65343041e+07,5.00000000e-09,1.05892634e+07,5.00000000e-09,1.71420423e+01,1.0,.500,sky130
5.50000000e-09,9.35856282e-08,5.50000000e-09,5.49957438e-09,5.50000000e-09,1.30243848e-15,5.50000000e-09,-6.24090303e-16,5.50000000e-09,1.23194926e-18,5.50000000e-09,2.94458357e-16,5.50000000e-09,4.41184705e-16,5.50000000e-09,-4.61075705e-19,5.50000000e-09,7.08137585e-10,5.50000000e-09,8.89583578e-01,5.50000000e-09,4.38459425e-02,5.50000000e-09,6.39869484e-01,5.50000000e-09,6.39869483e-01,5.50000000e-09,1.41215496e+09,5.50000000e-09,7.18541640e+07,5.50000000e-09,1.14359454e+07,5.50000000e-09,1.70168856e+01,1.0,.500,sky130
