isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.58819102e-08,1.00000000e-09,9.99209832e-10,1.00000000e-09,1.19396368e-15,1.00000000e-09,-4.98033843e-16,1.00000000e-09,7.62978358e-19,1.00000000e-09,2.40485719e-16,1.00000000e-09,3.60426262e-16,1.00000000e-09,-3.27586734e-19,1.00000000e-09,1.27756665e-10,1.00000000e-09,1.03791585e+00,1.00000000e-09,3.50368680e-02,1.00000000e-09,7.89693640e-01,1.00000000e-09,7.89693640e-01,1.00000000e-09,7.82738029e+09,1.00000000e-09,2.16773010e+07,1.00000000e-09,3.45004961e+06,1.00000000e-09,2.59023775e+01,1.0,.500,sky130
1.50000000e-09,3.71914616e-08,1.50000000e-09,1.50348143e-09,1.50000000e-09,1.23770883e-15,1.50000000e-09,-5.60548295e-16,1.50000000e-09,8.62802157e-19,1.50000000e-09,2.69554981e-16,1.50000000e-09,4.04003273e-16,1.50000000e-09,-3.70746756e-19,1.50000000e-09,1.87039294e-10,1.50000000e-09,1.03788142e+00,1.50000000e-09,3.51902890e-02,1.50000000e-09,8.05753801e-01,1.50000000e-09,8.05753800e-01,1.50000000e-09,5.34647012e+09,1.50000000e-09,3.00486357e+07,1.50000000e-09,4.78238890e+06,1.50000000e-09,2.47368946e+01,1.0,.500,sky130
2.00000000e-09,4.80745626e-08,2.00000000e-09,2.00881207e-09,2.00000000e-09,1.27296381e-15,2.00000000e-09,-6.10246884e-16,2.00000000e-09,9.42307994e-19,2.00000000e-09,2.92560680e-16,2.00000000e-09,4.38491053e-16,2.00000000e-09,-4.04986474e-19,2.00000000e-09,2.45011757e-10,2.00000000e-09,1.03785602e+00,2.00000000e-09,3.53425798e-02,2.00000000e-09,8.17603599e-01,2.00000000e-09,8.17603598e-01,2.00000000e-09,4.08143679e+09,2.00000000e-09,3.77658518e+07,2.00000000e-09,6.01062200e+06,2.00000000e-09,2.39318368e+01,1.0,.500,sky130
2.50000000e-09,5.84466268e-08,2.50000000e-09,2.50340363e-09,2.50000000e-09,1.30228483e-15,2.50000000e-09,-6.51206119e-16,2.50000000e-09,1.00791716e-18,2.50000000e-09,3.11456031e-16,2.50000000e-09,4.66817326e-16,2.50000000e-09,-4.33151758e-19,2.50000000e-09,3.00791310e-10,2.50000000e-09,1.03783616e+00,2.50000000e-09,3.54902984e-02,2.50000000e-09,8.26868631e-01,2.50000000e-09,8.26868630e-01,2.50000000e-09,3.32456413e+09,2.50000000e-09,4.48800641e+07,2.50000000e-09,7.14288405e+06,2.50000000e-09,2.33468651e+01,1.0,.500,sky130
3.00000000e-09,6.86855611e-08,3.00000000e-09,3.00071825e-09,3.00000000e-09,1.32814535e-15,3.00000000e-09,-6.87090975e-16,3.00000000e-09,1.06545356e-18,3.00000000e-09,3.27964646e-16,3.00000000e-09,4.91565823e-16,3.00000000e-09,-4.57785081e-19,3.00000000e-09,3.56166649e-10,3.00000000e-09,1.03781944e+00,3.00000000e-09,3.56375527e-02,3.00000000e-09,8.34667270e-01,3.00000000e-09,8.34667269e-01,3.00000000e-09,2.80767445e+09,3.00000000e-09,5.17153948e+07,3.00000000e-09,8.23076071e+06,3.00000000e-09,2.28897069e+01,1.0,.500,sky130
3.50000000e-09,7.88304260e-08,3.50000000e-09,3.50006394e-09,3.50000000e-09,1.35136653e-15,3.50000000e-09,-7.19144439e-16,3.50000000e-09,1.11688631e-18,3.50000000e-09,3.42675874e-16,3.50000000e-09,5.13619970e-16,3.50000000e-09,-4.79752883e-19,3.50000000e-09,4.11209515e-10,3.50000000e-09,1.03780498e+00,3.50000000e-09,3.57841651e-02,3.50000000e-09,8.41412066e-01,3.50000000e-09,8.41412065e-01,3.50000000e-09,2.43185034e+09,3.50000000e-09,5.83338599e+07,3.50000000e-09,9.28412215e+06,3.50000000e-09,2.25225674e+01,1.0,.500,sky130
4.00000000e-09,8.88835996e-08,4.00000000e-09,3.99974999e-09,4.00000000e-09,1.37244056e-15,4.00000000e-09,-7.48109635e-16,4.00000000e-09,1.16339283e-18,4.00000000e-09,3.55942401e-16,4.00000000e-09,5.33508435e-16,4.00000000e-09,-4.99574151e-19,4.00000000e-09,4.65839028e-10,4.00000000e-09,1.03779226e+00,4.00000000e-09,3.59296704e-02,4.00000000e-09,8.47346476e-01,4.00000000e-09,8.47346475e-01,4.00000000e-09,2.14666428e+09,4.00000000e-09,6.47631689e+07,4.00000000e-09,1.03073785e+07,4.00000000e-09,2.22222889e+01,1.0,.500,sky130
4.50000000e-09,9.88667232e-08,4.50000000e-09,4.49955011e-09,4.50000000e-09,1.39176277e-15,4.50000000e-09,-7.74572061e-16,4.50000000e-09,1.20590311e-18,4.50000000e-09,3.68040575e-16,4.50000000e-09,5.51645466e-16,4.50000000e-09,-5.17656968e-19,4.50000000e-09,5.20108358e-10,4.50000000e-09,1.03778090e+00,4.50000000e-09,3.60740373e-02,4.50000000e-09,8.52647467e-01,4.50000000e-09,8.52647466e-01,4.50000000e-09,1.92267627e+09,4.50000000e-09,7.10370510e+07,4.50000000e-09,1.13058978e+07,4.50000000e-09,2.19725797e+01,1.0,.500,sky130
5.00000000e-09,1.08797949e-07,5.00000000e-09,4.99942651e-09,5.00000000e-09,1.40962613e-15,5.00000000e-09,-7.98961834e-16,5.00000000e-09,1.24510111e-18,5.00000000e-09,3.79172970e-16,5.00000000e-09,5.68334727e-16,5.00000000e-09,-5.34301003e-19,5.00000000e-09,5.74071412e-10,5.00000000e-09,1.03777063e+00,5.00000000e-09,3.62172871e-02,5.00000000e-09,8.57439980e-01,5.00000000e-09,8.57439979e-01,5.00000000e-09,1.74194356e+09,5.00000000e-09,7.71821312e+07,5.00000000e-09,1.22839177e+07,5.00000000e-09,2.17620858e+01,1.0,.500,sky130
5.50000000e-09,1.18690584e-07,5.50000000e-09,5.49934668e-09,5.50000000e-09,1.42625106e-15,5.50000000e-09,-8.21600613e-16,5.50000000e-09,1.28149877e-18,5.50000000e-09,3.89490851e-16,5.50000000e-09,5.83802968e-16,5.50000000e-09,-5.49730335e-19,5.50000000e-09,6.27768950e-10,5.50000000e-09,1.03776125e+00,5.50000000e-09,3.63594410e-02,5.50000000e-09,8.61814658e-01,5.50000000e-09,8.61814657e-01,5.50000000e-09,1.59294275e+09,5.50000000e-09,8.32185772e+07,5.50000000e-09,1.32446479e+07,5.50000000e-09,2.15826699e+01,1.0,.500,sky130
