isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.25461459e-08,1.00000000e-09,9.99411338e-10,1.00000000e-09,1.22606995e-15,1.00000000e-09,-5.12363766e-16,1.00000000e-09,6.16532074e-19,1.00000000e-09,2.50637277e-16,1.00000000e-09,3.75474298e-16,1.00000000e-09,-1.39838744e-19,1.00000000e-09,1.31071413e-10,1.00000000e-09,8.70663139e-01,1.00000000e-09,4.88923356e-02,1.00000000e-09,5.69115173e-01,1.00000000e-09,5.69115173e-01,1.00000000e-09,7.62942869e+09,1.00000000e-09,1.83889556e+07,1.00000000e-09,2.92669319e+06,1.00000000e-09,2.25594258e+01,1.0,.500,sky130
1.50000000e-09,3.32287508e-08,1.50000000e-09,1.50461565e-09,1.50000000e-09,1.25906237e-15,1.50000000e-09,-5.63904244e-16,1.50000000e-09,6.95874879e-19,1.50000000e-09,2.74619240e-16,1.50000000e-09,4.11420043e-16,1.50000000e-09,-1.73246005e-19,1.50000000e-09,1.93094924e-10,1.50000000e-09,8.70624084e-01,1.50000000e-09,4.90391944e-02,1.50000000e-09,5.87334247e-01,1.50000000e-09,5.87334246e-01,1.50000000e-09,5.17880004e+09,1.50000000e-09,2.63916639e+07,1.50000000e-09,4.20036377e+06,1.50000000e-09,2.20845441e+01,1.0,.500,sky130
2.00000000e-09,4.36699432e-08,2.00000000e-09,2.01140013e-09,2.00000000e-09,1.28489157e-15,2.00000000e-09,-6.03480383e-16,2.00000000e-09,7.56779291e-19,2.00000000e-09,2.92957861e-16,2.00000000e-09,4.38907821e-16,2.00000000e-09,-1.98672512e-19,2.00000000e-09,2.54007101e-10,2.00000000e-09,8.70595833e-01,2.00000000e-09,4.91854678e-02,2.00000000e-09,6.00513158e-01,2.00000000e-09,6.00513157e-01,2.00000000e-09,3.93689782e+09,2.00000000e-09,3.39872596e+07,2.00000000e-09,5.40924036e+06,2.00000000e-09,2.17112163e+01,1.0,.500,sky130
2.50000000e-09,5.36220313e-08,2.50000000e-09,2.50451846e-09,2.50000000e-09,1.30582192e-15,2.50000000e-09,-6.35142422e-16,2.50000000e-09,8.05503392e-19,2.50000000e-09,3.07584248e-16,2.50000000e-09,4.60831695e-16,2.50000000e-09,-2.18895233e-19,2.50000000e-09,3.12318005e-10,2.50000000e-09,8.70574160e-01,2.50000000e-09,4.93268541e-02,2.50000000e-09,6.10623551e-01,2.50000000e-09,6.10623550e-01,2.50000000e-09,3.20186472e+09,2.50000000e-09,4.10638162e+07,2.50000000e-09,6.53550933e+06,2.50000000e-09,2.14101162e+01,1.0,.500,sky130
3.00000000e-09,6.34717325e-08,3.00000000e-09,3.00098778e-09,3.00000000e-09,1.32404978e-15,3.00000000e-09,-6.62459417e-16,3.00000000e-09,8.47544513e-19,3.00000000e-09,3.20172602e-16,3.00000000e-09,4.79700952e-16,3.00000000e-09,-2.36266857e-19,3.00000000e-09,3.70249103e-10,3.00000000e-09,8.70556049e-01,3.00000000e-09,4.94683034e-02,3.00000000e-09,6.19072357e-01,3.00000000e-09,6.19072356e-01,3.00000000e-09,2.70088433e+09,3.00000000e-09,4.79375726e+07,3.00000000e-09,7.62950164e+06,3.00000000e-09,2.11502802e+01,1.0,.500,sky130
3.50000000e-09,7.32304427e-08,3.50000000e-09,3.50020901e-09,3.50000000e-09,1.34027240e-15,3.50000000e-09,-6.86592090e-16,3.50000000e-09,8.84689634e-19,3.50000000e-09,3.31270568e-16,3.50000000e-09,4.96336378e-16,3.50000000e-09,-2.51559708e-19,3.50000000e-09,4.27838991e-10,3.50000000e-09,8.70540460e-01,3.50000000e-09,4.96096607e-02,3.50000000e-09,6.26344919e-01,3.50000000e-09,6.26344918e-01,3.50000000e-09,2.33732788e+09,3.50000000e-09,5.46384771e+07,3.50000000e-09,8.69598371e+06,3.50000000e-09,2.09217342e+01,1.0,.500,sky130
4.00000000e-09,8.28713362e-08,4.00000000e-09,3.99985321e-09,4.00000000e-09,1.35488567e-15,4.00000000e-09,-7.08199482e-16,4.00000000e-09,9.17952583e-19,4.00000000e-09,3.41189439e-16,4.00000000e-09,5.11204522e-16,4.00000000e-09,-2.65212169e-19,4.00000000e-09,4.84903040e-10,4.00000000e-09,8.70526801e-01,4.00000000e-09,4.97502849e-02,4.00000000e-09,6.32716536e-01,4.00000000e-09,6.32716535e-01,4.00000000e-09,2.06226795e+09,4.00000000e-09,6.11648187e+07,4.00000000e-09,9.73468324e+06,4.00000000e-09,2.07185944e+01,1.0,.500,sky130
4.50000000e-09,9.24042063e-08,4.50000000e-09,4.49962212e-09,4.50000000e-09,1.36821113e-15,4.50000000e-09,-7.27802836e-16,4.50000000e-09,9.48134887e-19,4.50000000e-09,3.50174157e-16,4.50000000e-09,5.24672501e-16,4.50000000e-09,-2.77567236e-19,4.50000000e-09,5.41475405e-10,4.50000000e-09,8.70514637e-01,4.50000000e-09,4.98901139e-02,4.50000000e-09,6.38391045e-01,4.50000000e-09,6.38391043e-01,4.50000000e-09,1.84680595e+09,4.50000000e-09,6.75365111e+07,4.50000000e-09,1.07487696e+07,4.50000000e-09,2.05359925e+01,1.0,.500,sky130
5.00000000e-09,1.01841013e-07,5.00000000e-09,4.99948227e-09,5.00000000e-09,1.38048350e-15,5.00000000e-09,-7.45778494e-16,5.00000000e-09,9.75815101e-19,5.00000000e-09,3.58401227e-16,5.00000000e-09,5.37004863e-16,5.00000000e-09,-2.88871444e-19,5.00000000e-09,5.97606587e-10,5.00000000e-09,8.70503661e-01,5.00000000e-09,5.00291582e-02,5.00000000e-09,6.43511358e-01,5.00000000e-09,6.43511357e-01,5.00000000e-09,1.67334166e+09,5.00000000e-09,7.37719884e+07,5.00000000e-09,1.17411766e+07,5.00000000e-09,2.03703118e+01,1.0,.500,sky130
5.50000000e-09,1.11191340e-07,5.50000000e-09,5.49939237e-09,5.50000000e-09,1.39187579e-15,5.50000000e-09,-7.62401880e-16,5.50000000e-09,1.00141655e-18,5.50000000e-09,3.65999662e-16,5.50000000e-09,5.48394975e-16,5.50000000e-09,-2.99304682e-19,5.50000000e-09,6.53336017e-10,5.50000000e-09,8.70493654e-01,5.50000000e-09,5.01674248e-02,5.50000000e-09,6.48179936e-01,5.50000000e-09,6.48179935e-01,5.50000000e-09,1.53060596e+09,5.50000000e-09,7.98859642e+07,5.50000000e-09,1.27142461e+07,5.50000000e-09,2.02188409e+01,1.0,.500,sky130
