isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.25758399e-08,1.00000000e-09,9.99262448e-10,1.00000000e-09,1.14990679e-15,1.00000000e-09,-4.24868620e-16,1.00000000e-09,7.57716517e-19,1.00000000e-09,2.04035611e-16,1.00000000e-09,3.05767616e-16,1.00000000e-09,-3.22889519e-19,1.00000000e-09,1.31319607e-10,1.00000000e-09,1.00772276e+00,1.00000000e-09,3.52993118e-02,1.00000000e-09,7.37043266e-01,1.00000000e-09,7.37043266e-01,1.00000000e-09,7.61500911e+09,1.00000000e-09,1.96327565e+07,1.00000000e-09,3.12465024e+06,1.00000000e-09,2.25925030e+01,1.0,.500,sky130
1.50000000e-09,3.24775022e-08,1.50000000e-09,1.50360448e-09,1.50000000e-09,1.19498500e-15,1.50000000e-09,-4.90297001e-16,1.50000000e-09,8.79656853e-19,1.50000000e-09,2.34351612e-16,1.50000000e-09,3.51210702e-16,1.50000000e-09,-3.75621175e-19,1.50000000e-09,1.92166997e-10,1.50000000e-09,1.00767711e+00,1.50000000e-09,3.54319843e-02,1.50000000e-09,7.55441249e-01,1.50000000e-09,7.55441248e-01,1.50000000e-09,5.20380720e+09,1.50000000e-09,2.71781672e+07,1.50000000e-09,4.32553966e+06,1.50000000e-09,2.15997642e+01,1.0,.500,sky130
2.00000000e-09,4.21923849e-08,2.00000000e-09,2.00943378e-09,2.00000000e-09,1.23225116e-15,2.00000000e-09,-5.43344363e-16,2.00000000e-09,9.78750471e-19,2.00000000e-09,2.58804325e-16,2.00000000e-09,3.87865542e-16,2.00000000e-09,-4.18299437e-19,2.00000000e-09,2.52123248e-10,2.00000000e-09,1.00764351e+00,2.00000000e-09,3.55639228e-02,2.00000000e-09,7.68981930e-01,2.00000000e-09,7.68981929e-01,2.00000000e-09,3.96631413e+09,2.00000000e-09,3.42400853e+07,2.00000000e-09,5.44947882e+06,2.00000000e-09,2.09971512e+01,1.0,.500,sky130
2.50000000e-09,5.15876692e-08,2.50000000e-09,2.50391473e-09,2.50000000e-09,1.26363631e-15,2.50000000e-09,-5.87461987e-16,2.50000000e-09,1.06129581e-18,2.50000000e-09,2.79061442e-16,2.50000000e-09,4.18231569e-16,2.50000000e-09,-4.53733829e-19,2.50000000e-09,3.10083619e-10,2.50000000e-09,1.00761742e+00,2.50000000e-09,3.56918751e-02,2.50000000e-09,7.79498621e-01,2.50000000e-09,7.79498620e-01,2.50000000e-09,3.22493656e+09,2.50000000e-09,4.08247760e+07,2.50000000e-09,6.49746490e+06,2.50000000e-09,2.06028060e+01,1.0,.500,sky130
3.00000000e-09,6.09809161e-08,3.00000000e-09,3.00096828e-09,3.00000000e-09,1.29154189e-15,3.00000000e-09,-6.26337289e-16,3.00000000e-09,1.13412055e-18,3.00000000e-09,2.96855406e-16,3.00000000e-09,4.44905552e-16,3.00000000e-09,-4.84908477e-19,3.00000000e-09,3.67892455e-10,3.00000000e-09,1.00759559e+00,3.00000000e-09,3.58195160e-02,3.00000000e-09,7.88296881e-01,3.00000000e-09,7.88296881e-01,3.00000000e-09,2.71818567e+09,3.00000000e-09,4.72155928e+07,3.00000000e-09,7.51459499e+06,3.00000000e-09,2.03204135e+01,1.0,.500,sky130
3.50000000e-09,7.03917360e-08,3.50000000e-09,3.50023579e-09,3.50000000e-09,1.31674326e-15,3.50000000e-09,-6.61202562e-16,3.50000000e-09,1.19949627e-18,3.50000000e-09,3.12771384e-16,3.50000000e-09,4.68764563e-16,3.50000000e-09,-5.12825607e-19,3.50000000e-09,4.25615968e-10,3.50000000e-09,1.00757681e+00,3.50000000e-09,3.59467754e-02,3.50000000e-09,7.95864850e-01,3.50000000e-09,7.95864849e-01,3.50000000e-09,2.34953591e+09,3.50000000e-09,5.34589683e+07,3.50000000e-09,8.50825905e+06,3.50000000e-09,2.01105698e+01,1.0,.500,sky130
4.00000000e-09,7.98013043e-08,4.00000000e-09,3.99988601e-09,4.00000000e-09,1.33969580e-15,4.00000000e-09,-6.92780601e-16,4.00000000e-09,1.25875481e-18,4.00000000e-09,3.27153440e-16,4.00000000e-09,4.90324302e-16,4.00000000e-09,-5.38074761e-19,4.00000000e-09,4.83113248e-10,4.00000000e-09,1.00756038e+00,4.00000000e-09,3.60732098e-02,4.00000000e-09,8.02486928e-01,4.00000000e-09,8.02486927e-01,4.00000000e-09,2.06990805e+09,4.00000000e-09,5.95667348e+07,4.00000000e-09,9.48034030e+06,4.00000000e-09,1.99508946e+01,1.0,.500,sky130
4.50000000e-09,8.92144682e-08,4.50000000e-09,4.49965911e-09,4.50000000e-09,1.36078857e-15,4.50000000e-09,-7.21667434e-16,4.50000000e-09,1.31299879e-18,4.50000000e-09,3.40283026e-16,4.50000000e-09,5.10006632e-16,4.50000000e-09,-5.61141049e-19,4.50000000e-09,5.40403937e-10,4.50000000e-09,1.00754578e+00,4.50000000e-09,3.61987791e-02,4.50000000e-09,8.08371369e-01,4.50000000e-09,8.08371368e-01,4.50000000e-09,1.85046764e+09,4.50000000e-09,6.55608596e+07,4.50000000e-09,1.04343349e+07,4.50000000e-09,1.98269393e+01,1.0,.500,sky130
5.00000000e-09,9.86367026e-08,5.00000000e-09,4.99951689e-09,5.00000000e-09,1.38031799e-15,5.00000000e-09,-7.48310351e-16,5.00000000e-09,1.36305705e-18,5.00000000e-09,3.52370706e-16,5.00000000e-09,5.28127167e-16,5.00000000e-09,-5.82388399e-19,5.00000000e-09,5.97519044e-10,5.00000000e-09,1.00753264e+00,5.00000000e-09,3.63234975e-02,5.00000000e-09,8.13665663e-01,5.00000000e-09,8.13665661e-01,5.00000000e-09,1.67358683e+09,5.00000000e-09,7.14594053e+07,5.00000000e-09,1.13731176e+07,5.00000000e-09,1.97292468e+01,1.0,.500,sky130
5.50000000e-09,1.08071357e-07,5.50000000e-09,5.49942353e-09,5.50000000e-09,1.39851084e-15,5.50000000e-09,-7.73047992e-16,5.50000000e-09,1.40955786e-18,5.50000000e-09,3.63575559e-16,5.50000000e-09,5.44924356e-16,5.50000000e-09,-6.02092318e-19,5.50000000e-09,6.54480624e-10,5.50000000e-09,1.00752071e+00,5.50000000e-09,3.64473779e-02,5.50000000e-09,8.18476773e-01,5.50000000e-09,8.18476771e-01,5.50000000e-09,1.52792911e+09,5.50000000e-09,7.72760239e+07,5.50000000e-09,1.22988612e+07,5.50000000e-09,1.96513973e+01,1.0,.500,sky130
