isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.18104149e-08,1.00000000e-09,9.99328594e-10,1.00000000e-09,1.18124677e-15,1.00000000e-09,-4.27239310e-16,1.00000000e-09,5.66778672e-19,1.00000000e-09,2.08464873e-16,1.00000000e-09,3.12234001e-16,1.00000000e-09,-9.34527505e-20,1.00000000e-09,1.41651592e-10,1.00000000e-09,8.40576661e-01,1.00000000e-09,4.93167425e-02,1.00000000e-09,5.03504585e-01,1.00000000e-09,5.03504585e-01,1.00000000e-09,7.05957471e+09,1.00000000e-09,1.84638938e+07,1.00000000e-09,2.93861997e+06,1.00000000e-09,2.18250684e+01,1.0,.500,sky130
1.50000000e-09,3.18683569e-08,1.50000000e-09,1.50428761e-09,1.50000000e-09,1.21046019e-15,1.50000000e-09,-4.74950809e-16,1.50000000e-09,6.53661608e-19,1.50000000e-09,2.30645440e-16,1.50000000e-09,3.45475586e-16,1.50000000e-09,-1.31234663e-19,1.50000000e-09,2.07699734e-10,1.50000000e-09,8.40529786e-01,1.50000000e-09,4.94423075e-02,1.50000000e-09,5.22396488e-01,1.50000000e-09,5.22396488e-01,1.50000000e-09,4.81464265e+09,1.50000000e-09,2.63274721e+07,1.50000000e-09,4.19014732e+06,1.50000000e-09,2.11850160e+01,1.0,.500,sky130
2.00000000e-09,4.13897889e-08,2.00000000e-09,1.99932395e-09,2.00000000e-09,1.23349076e-15,2.00000000e-09,-5.11545381e-16,2.00000000e-09,7.20128853e-19,2.00000000e-09,2.47584785e-16,2.00000000e-09,3.70863063e-16,2.00000000e-09,-1.59768503e-19,2.00000000e-09,2.70809739e-10,2.00000000e-09,8.40496304e-01,2.00000000e-09,4.95646324e-02,2.00000000e-09,5.35891123e-01,2.00000000e-09,5.35891122e-01,2.00000000e-09,3.69262938e+09,2.00000000e-09,3.35550053e+07,2.00000000e-09,5.34044496e+06,2.00000000e-09,2.07018922e+01,1.0,.500,sky130
2.50000000e-09,5.08078853e-08,2.50000000e-09,2.50263229e-09,2.50000000e-09,1.25339519e-15,2.50000000e-09,-5.42604195e-16,2.50000000e-09,7.76464788e-19,2.50000000e-09,2.61915098e-16,2.50000000e-09,3.92340798e-16,2.50000000e-09,-1.83745661e-19,2.50000000e-09,3.33719393e-10,2.50000000e-09,8.40469308e-01,2.50000000e-09,4.96882708e-02,2.50000000e-09,5.46771378e-01,2.50000000e-09,5.46771377e-01,2.50000000e-09,2.99652949e+09,2.50000000e-09,4.05362057e+07,2.50000000e-09,6.45153751e+06,2.50000000e-09,2.03017781e+01,1.0,.500,sky130
3.00000000e-09,5.99308615e-08,3.00000000e-09,3.00133420e-09,3.00000000e-09,1.27070106e-15,3.00000000e-09,-5.69249547e-16,3.00000000e-09,8.24756400e-19,3.00000000e-09,2.74176699e-16,3.00000000e-09,4.10718348e-16,3.00000000e-09,-2.04167107e-19,3.00000000e-09,3.95053898e-10,3.00000000e-09,8.40447063e-01,3.00000000e-09,4.98100866e-02,3.00000000e-09,5.55737109e-01,3.00000000e-09,5.55737108e-01,3.00000000e-09,2.53130017e+09,3.00000000e-09,4.71636196e+07,3.00000000e-09,7.50632320e+06,3.00000000e-09,1.99680733e+01,1.0,.500,sky130
3.50000000e-09,6.88865299e-08,3.50000000e-09,3.50026713e-09,3.50000000e-09,1.28623132e-15,3.50000000e-09,-5.92914450e-16,3.50000000e-09,8.67624691e-19,3.50000000e-09,2.85042706e-16,3.50000000e-09,4.27004431e-16,3.50000000e-09,-2.22203442e-19,3.50000000e-09,4.55590336e-10,3.50000000e-09,8.40427942e-01,3.50000000e-09,4.99312968e-02,3.50000000e-09,5.63443527e-01,3.50000000e-09,5.63443526e-01,3.50000000e-09,2.19495437e+09,3.50000000e-09,5.35568751e+07,3.50000000e-09,8.52384141e+06,3.50000000e-09,1.96803636e+01,1.0,.500,sky130
4.00000000e-09,7.77092942e-08,4.00000000e-09,3.99986186e-09,4.00000000e-09,1.30039208e-15,4.00000000e-09,-6.14311621e-16,4.00000000e-09,9.06372353e-19,4.00000000e-09,2.94848631e-16,4.00000000e-09,4.41701830e-16,4.00000000e-09,-2.38437964e-19,4.00000000e-09,5.15501405e-10,4.00000000e-09,8.40411124e-01,4.00000000e-09,5.00520253e-02,4.00000000e-09,5.70221789e-01,4.00000000e-09,5.70221788e-01,4.00000000e-09,1.93985892e+09,4.00000000e-09,5.97583572e+07,4.00000000e-09,9.51083794e+06,4.00000000e-09,1.94279945e+01,1.0,.500,sky130
4.50000000e-09,8.64115677e-08,4.50000000e-09,4.49965510e-09,4.50000000e-09,1.31343847e-15,4.50000000e-09,-6.33886714e-16,4.50000000e-09,9.41812797e-19,4.50000000e-09,3.03804320e-16,4.50000000e-09,4.55125013e-16,4.50000000e-09,-2.53234093e-19,4.50000000e-09,5.74823122e-10,4.50000000e-09,8.40396099e-01,4.50000000e-09,5.01721763e-02,4.50000000e-09,5.76277119e-01,4.50000000e-09,5.76277118e-01,4.50000000e-09,1.73966558e+09,4.50000000e-09,6.57903432e+07,4.50000000e-09,1.04708583e+07,4.50000000e-09,1.92040425e+01,1.0,.500,sky130
5.00000000e-09,9.50077973e-08,5.00000000e-09,4.99952606e-09,5.00000000e-09,1.32556148e-15,5.00000000e-09,-6.51967385e-16,5.00000000e-09,9.74542967e-19,5.00000000e-09,3.12063719e-16,5.00000000e-09,4.67504679e-16,5.00000000e-09,-2.66856567e-19,5.00000000e-09,6.33614083e-10,5.00000000e-09,8.40382508e-01,5.00000000e-09,5.02917359e-02,5.00000000e-09,5.81754924e-01,5.00000000e-09,5.81754922e-01,5.00000000e-09,1.57824775e+09,5.00000000e-09,7.16736257e+07,5.00000000e-09,1.14072118e+07,5.00000000e-09,1.90033607e+01,1.0,.500,sky130
5.50000000e-09,1.03510933e-07,5.50000000e-09,5.49944471e-09,5.50000000e-09,1.33690530e-15,5.50000000e-09,-6.68797926e-16,5.50000000e-09,1.00500735e-18,5.50000000e-09,3.19741427e-16,5.50000000e-09,4.79012569e-16,5.50000000e-09,-2.79501486e-19,5.50000000e-09,6.91929739e-10,5.50000000e-09,8.40370088e-01,5.50000000e-09,5.04107106e-02,5.50000000e-09,5.86760701e-01,5.50000000e-09,5.86760699e-01,5.50000000e-09,1.44523344e+09,5.50000000e-09,7.74257775e+07,5.50000000e-09,1.23226952e+07,5.50000000e-09,1.88220699e+01,1.0,.500,sky130
6.00000000e-09,1.11931716e-07,6.00000000e-09,5.99938856e-09,6.00000000e-09,1.34758074e-15,6.00000000e-09,-6.84564247e-16,6.00000000e-09,1.03354385e-18,6.00000000e-09,3.26924560e-16,6.00000000e-09,4.89779235e-16,6.00000000e-09,-2.91317334e-19,6.00000000e-09,7.49816030e-10,6.00000000e-09,8.40358644e-01,6.00000000e-09,5.05291074e-02,6.00000000e-09,5.91373007e-01,6.00000000e-09,5.91373006e-01,6.00000000e-09,1.33366047e+09,6.00000000e-09,8.30612311e+07,6.00000000e-09,1.32196055e+07,6.00000000e-09,1.86571872e+01,1.0,.500,sky130
6.50000000e-09,1.20279315e-07,6.50000000e-09,6.49934878e-09,6.50000000e-09,1.35767520e-15,6.50000000e-09,-6.99411725e-16,6.50000000e-09,1.06041649e-18,6.50000000e-09,3.33681162e-16,6.50000000e-09,4.99906652e-16,6.50000000e-09,-3.02419707e-19,6.50000000e-09,8.07312552e-10,6.50000000e-09,8.40348027e-01,6.50000000e-09,5.06469359e-02,6.50000000e-09,5.95652042e-01,6.50000000e-09,5.95652040e-01,6.50000000e-09,1.23867763e+09,6.50000000e-09,8.85921128e+07,6.50000000e-09,1.40998727e+07,6.50000000e-09,1.85063640e+01,1.0,.500,sky130
