isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.00379328e-08,1.00000000e-09,9.99421260e-10,1.00000000e-09,9.76790971e-16,1.00000000e-09,-3.13294421e-16,1.00000000e-09,4.27791291e-19,1.00000000e-09,1.52268904e-16,1.00000000e-09,2.28009269e-16,1.00000000e-09,-4.17105826e-21,1.00000000e-09,1.58448050e-10,1.00000000e-09,8.00240333e-01,1.00000000e-09,4.97119572e-02,1.00000000e-09,4.32477123e-01,1.00000000e-09,4.32477123e-01,1.00000000e-09,6.31121685e+09,1.00000000e-09,2.05140438e+07,1.00000000e-09,3.26491148e+06,1.00000000e-09,2.00495363e+01,0.840,0.500,sky130
1.25000000e-09,2.45123806e-08,1.25000000e-09,1.24972844e-09,1.25000000e-09,9.88816183e-16,1.25000000e-09,-3.34264239e-16,1.25000000e-09,4.74236290e-19,1.25000000e-09,1.61994324e-16,1.25000000e-09,2.42581677e-16,1.25000000e-09,-2.59277844e-20,1.25000000e-09,1.94399406e-10,1.25000000e-09,8.00208098e-01,1.25000000e-09,4.97752702e-02,1.25000000e-09,4.43658378e-01,1.25000000e-09,4.43658377e-01,1.25000000e-09,5.14404865e+09,1.25000000e-09,2.47896232e+07,1.25000000e-09,3.94539108e+06,1.25000000e-09,1.96141656e+01,0.840,0.500,sky130
1.50000000e-09,2.88789341e-08,1.50000000e-09,1.50028346e-09,1.50000000e-09,9.99628749e-16,1.50000000e-09,-3.52652020e-16,1.50000000e-09,5.14697908e-19,1.50000000e-09,1.70498758e-16,1.50000000e-09,2.55325006e-16,1.50000000e-09,-4.45797926e-20,1.50000000e-09,2.29712485e-10,1.50000000e-09,8.00181201e-01,1.50000000e-09,4.98384229e-02,1.50000000e-09,4.52987927e-01,1.50000000e-09,4.52987926e-01,1.50000000e-09,4.35326796e+09,1.50000000e-09,2.88896594e+07,1.50000000e-09,4.59793210e+06,1.50000000e-09,1.92489852e+01,0.840,0.500,sky130
1.75000000e-09,3.31376572e-08,1.75000000e-09,1.74990411e-09,1.75000000e-09,1.00947331e-15,1.75000000e-09,-3.69074543e-16,1.75000000e-09,5.50666198e-19,1.75000000e-09,1.78076619e-16,1.75000000e-09,2.66680227e-16,1.75000000e-09,-6.09568755e-20,1.75000000e-09,2.64342629e-10,1.75000000e-09,8.00158145e-01,1.75000000e-09,4.99011304e-02,1.75000000e-09,4.60985233e-01,1.75000000e-09,4.60985233e-01,1.75000000e-09,3.78296912e+09,1.75000000e-09,3.28266798e+07,1.75000000e-09,5.22452836e+06,1.75000000e-09,1.89368418e+01,0.840,0.500,sky130
2.00000000e-09,3.73224018e-08,2.00000000e-09,1.99967697e-09,2.00000000e-09,1.01858772e-15,2.00000000e-09,-3.84046644e-16,2.00000000e-09,5.83342217e-19,2.00000000e-09,1.84971317e-16,2.00000000e-09,2.77011967e-16,2.00000000e-09,-7.56882413e-20,2.00000000e-09,2.98528802e-10,2.00000000e-09,8.00137847e-01,2.00000000e-09,4.99636756e-02,2.00000000e-09,4.68025936e-01,2.00000000e-09,4.68025935e-01,2.00000000e-09,3.34976053e+09,2.00000000e-09,3.66413232e+07,2.00000000e-09,5.83164771e+06,2.00000000e-09,1.86642155e+01,0.840,0.500,sky130
2.25000000e-09,4.14439230e-08,2.25000000e-09,2.24956992e-09,2.25000000e-09,1.02710268e-15,2.25000000e-09,-3.97856897e-16,2.25000000e-09,6.13399390e-19,2.25000000e-09,1.91319652e-16,2.25000000e-09,2.86525155e-16,2.25000000e-09,-8.91281851e-20,2.25000000e-09,3.32330429e-10,2.25000000e-09,8.00119686e-01,2.25000000e-09,5.00260572e-02,2.25000000e-09,4.74325644e-01,2.25000000e-09,4.74325643e-01,2.25000000e-09,3.00905338e+09,2.25000000e-09,4.03503211e+07,2.25000000e-09,6.42195306e+06,2.25000000e-09,1.84230429e+01,0.840,0.500,sky130
2.50000000e-09,4.55099071e-08,2.50000000e-09,2.49950572e-09,2.50000000e-09,1.03511227e-15,2.50000000e-09,-4.10708057e-16,2.50000000e-09,6.41307169e-19,2.50000000e-09,1.97217654e-16,2.50000000e-09,2.95363642e-16,2.50000000e-09,-1.01520555e-19,2.50000000e-09,3.65787115e-10,2.50000000e-09,8.00103234e-01,2.50000000e-09,5.00882616e-02,2.50000000e-09,4.80032151e-01,2.50000000e-09,4.80032150e-01,2.50000000e-09,2.73383058e+09,2.50000000e-09,4.39661556e+07,2.50000000e-09,6.99743100e+06,2.50000000e-09,1.82075626e+01,0.840,0.500,sky130
2.75000000e-09,4.95272846e-08,2.75000000e-09,2.74946373e-09,2.75000000e-09,1.04268925e-15,2.75000000e-09,-4.22752551e-16,2.75000000e-09,6.67415660e-19,2.75000000e-09,2.02737396e-16,2.75000000e-09,3.03635400e-16,2.75000000e-09,-1.13044623e-19,2.75000000e-09,3.98936385e-10,2.75000000e-09,8.00088182e-01,2.75000000e-09,5.01502885e-02,2.75000000e-09,4.85253071e-01,2.75000000e-09,4.85253070e-01,2.75000000e-09,2.50666531e+09,2.75000000e-09,4.74995641e+07,2.75000000e-09,7.55979041e+06,2.75000000e-09,1.80134344e+01,0.840,0.500,sky130
3.00000000e-09,5.35018938e-08,3.00000000e-09,2.99943508e-09,3.00000000e-09,1.04989054e-15,3.00000000e-09,-4.34107106e-16,3.00000000e-09,6.91991328e-19,3.00000000e-09,2.07934010e-16,3.00000000e-09,3.11423021e-16,3.00000000e-09,-1.23835327e-19,3.00000000e-09,4.31810071e-10,3.00000000e-09,8.00074299e-01,3.00000000e-09,5.02121398e-02,3.00000000e-09,4.90068772e-01,3.00000000e-09,4.90068771e-01,3.00000000e-09,2.31583297e+09,3.00000000e-09,5.09594972e+07,3.00000000e-09,8.11045588e+06,3.00000000e-09,1.78373235e+01,0.840,0.500,sky130
3.25000000e-09,5.74386261e-08,3.25000000e-09,3.24941349e-09,3.25000000e-09,1.05676151e-15,3.25000000e-09,-4.44863137e-16,3.25000000e-09,7.15241778e-19,3.25000000e-09,2.12850625e-16,3.25000000e-09,3.18791121e-16,3.25000000e-09,-1.33996801e-19,3.25000000e-09,4.64434822e-10,3.25000000e-09,8.00061406e-01,3.25000000e-09,5.02738177e-02,3.25000000e-09,4.94540827e-01,3.25000000e-09,4.94540826e-01,3.25000000e-09,2.15315466e+09,3.25000000e-09,5.43534426e+07,3.25000000e-09,8.65061907e+06,3.25000000e-09,1.76766134e+01,0.840,0.500,sky130
