isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.23355116e-08,1.00000000e-09,9.99371792e-10,1.00000000e-09,1.03309245e-15,1.00000000e-09,-4.45030150e-16,1.00000000e-09,5.31312638e-19,1.00000000e-09,2.17324575e-16,1.00000000e-09,3.25563970e-16,1.00000000e-09,-1.14364307e-19,1.00000000e-09,1.30969619e-10,1.00000000e-09,8.58268728e-01,1.00000000e-09,4.90032610e-02,1.00000000e-09,5.65034599e-01,1.00000000e-09,5.65034599e-01,1.00000000e-09,7.63535856e+09,1.00000000e-09,2.16200511e+07,1.00000000e-09,3.44093800e+06,1.00000000e-09,2.23495518e+01,0.840,0.500,sky130
1.25000000e-09,2.75952466e-08,1.25000000e-09,1.24964133e-09,1.25000000e-09,1.04848639e-15,1.25000000e-09,-4.68931115e-16,1.25000000e-09,5.68176946e-19,1.25000000e-09,2.28437185e-16,1.25000000e-09,3.42220063e-16,1.25000000e-09,-1.29884334e-19,1.25000000e-09,1.61788920e-10,1.25000000e-09,8.58247291e-01,1.25000000e-09,4.90909568e-02,1.25000000e-09,5.75035028e-01,1.25000000e-09,5.75035028e-01,1.25000000e-09,6.18089298e+09,1.25000000e-09,2.63191271e+07,1.25000000e-09,4.18881917e+06,1.25000000e-09,2.20825335e+01,0.840,0.500,sky130
1.50000000e-09,3.27827484e-08,1.50000000e-09,1.50029943e-09,1.50000000e-09,1.06181924e-15,1.50000000e-09,-4.89401182e-16,1.50000000e-09,5.99735132e-19,1.50000000e-09,2.37931595e-16,1.50000000e-09,3.56450928e-16,1.50000000e-09,-1.43097647e-19,1.50000000e-09,1.92268692e-10,1.50000000e-09,8.58229556e-01,1.50000000e-09,4.91784162e-02,1.50000000e-09,5.83308289e-01,1.50000000e-09,5.83308288e-01,1.50000000e-09,5.20105477e+09,1.50000000e-09,3.08741331e+07,1.50000000e-09,4.91377089e+06,1.50000000e-09,2.18508037e+01,0.840,0.500,sky130
1.75000000e-09,3.78787009e-08,1.75000000e-09,1.74986020e-09,1.75000000e-09,1.07357932e-15,1.75000000e-09,-5.07299304e-16,1.75000000e-09,6.27320862e-19,1.75000000e-09,2.46216289e-16,1.75000000e-09,3.68868735e-16,1.75000000e-09,-1.54597327e-19,1.75000000e-09,2.22289514e-10,1.75000000e-09,8.58214479e-01,1.75000000e-09,4.92651371e-02,1.75000000e-09,5.90341801e-01,1.75000000e-09,5.90341800e-01,1.75000000e-09,4.49863775e+09,1.75000000e-09,3.52826292e+07,1.75000000e-09,5.61540484e+06,1.75000000e-09,2.16467012e+01,0.840,0.500,sky130
2.00000000e-09,4.29177416e-08,2.00000000e-09,1.99958831e-09,2.00000000e-09,1.08418635e-15,2.00000000e-09,-5.23328308e-16,2.00000000e-09,6.52021889e-19,2.00000000e-09,2.53622888e-16,2.00000000e-09,3.79970486e-16,2.00000000e-09,-1.64857280e-19,2.00000000e-09,2.52048538e-10,2.00000000e-09,8.58201289e-01,2.00000000e-09,4.93515722e-02,2.00000000e-09,5.96494649e-01,2.00000000e-09,5.96494648e-01,2.00000000e-09,3.96748979e+09,2.00000000e-09,3.95852077e+07,2.00000000e-09,6.30018147e+06,2.00000000e-09,2.14632890e+01,0.840,0.500,sky130
2.25000000e-09,4.79060354e-08,2.25000000e-09,2.24946466e-09,2.25000000e-09,1.09387488e-15,2.25000000e-09,-5.37882442e-16,2.25000000e-09,6.74448068e-19,2.25000000e-09,2.60337675e-16,2.25000000e-09,3.90035367e-16,2.25000000e-09,-1.74143616e-19,2.25000000e-09,2.81575877e-10,2.25000000e-09,8.58189552e-01,2.25000000e-09,4.94377235e-02,2.25000000e-09,6.01969953e-01,2.25000000e-09,6.01969952e-01,2.25000000e-09,3.55144060e+09,2.25000000e-09,4.37948034e+07,2.25000000e-09,6.97015944e+06,2.25000000e-09,2.12966384e+01,0.840,0.500,sky130
2.50000000e-09,5.28469760e-08,2.50000000e-09,2.49939078e-09,2.50000000e-09,1.10280899e-15,2.50000000e-09,-5.51235067e-16,2.50000000e-09,6.95021874e-19,2.50000000e-09,2.66489680e-16,2.50000000e-09,3.99256755e-16,2.50000000e-09,-1.82640002e-19,2.50000000e-09,3.10885613e-10,2.50000000e-09,8.58178972e-01,2.50000000e-09,4.95235644e-02,2.50000000e-09,6.06905699e-01,2.50000000e-09,6.06905698e-01,2.50000000e-09,3.21661716e+09,2.50000000e-09,4.79203349e+07,2.50000000e-09,7.62675818e+06,2.50000000e-09,2.11439429e+01,0.840,0.500,sky130
2.75000000e-09,5.77445761e-08,2.75000000e-09,2.74934277e-09,2.75000000e-09,1.11111230e-15,2.75000000e-09,-5.63590026e-16,2.75000000e-09,7.14058102e-19,2.75000000e-09,2.72174963e-16,2.75000000e-09,4.07778621e-16,2.75000000e-09,-1.90482675e-19,2.75000000e-09,3.39995955e-10,2.75000000e-09,8.58169333e-01,2.75000000e-09,4.96090934e-02,2.75000000e-09,6.11402182e-01,2.75000000e-09,6.11402181e-01,2.75000000e-09,2.94121146e+09,2.75000000e-09,5.19700627e+07,2.75000000e-09,8.27129238e+06,2.75000000e-09,2.10030473e+01,0.840,0.500,sky130
3.00000000e-09,6.26024228e-08,3.00000000e-09,2.99930987e-09,3.00000000e-09,1.11887941e-15,3.00000000e-09,-5.75101988e-16,3.00000000e-09,7.31795458e-19,3.00000000e-09,2.77466324e-16,3.00000000e-09,4.15710072e-16,3.00000000e-09,-1.97774588e-19,3.00000000e-09,3.68923089e-10,3.00000000e-09,8.58160476e-01,3.00000000e-09,4.96943128e-02,3.00000000e-09,6.15533987e-01,3.00000000e-09,6.15533986e-01,3.00000000e-09,2.71059207e+09,3.00000000e-09,5.59510010e+07,3.00000000e-09,8.90487838e+06,3.00000000e-09,2.08722758e+01,0.840,0.500,sky130
3.25000000e-09,6.74236533e-08,3.25000000e-09,3.24928594e-09,3.25000000e-09,1.12618427e-15,3.25000000e-09,-5.85891107e-16,3.25000000e-09,7.48419301e-19,3.25000000e-09,2.82420259e-16,3.25000000e-09,4.23135781e-16,3.25000000e-09,-2.04595455e-19,3.25000000e-09,3.97681015e-10,3.25000000e-09,8.58152279e-01,3.25000000e-09,4.97792260e-02,3.25000000e-09,6.19358046e-01,3.25000000e-09,6.19358044e-01,3.25000000e-09,2.51457817e+09,3.25000000e-09,5.98691132e+07,3.25000000e-09,9.52846531e+06,3.25000000e-09,2.07502986e+01,0.840,0.500,sky130
