isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-09,2.24754548e-08,1.00000000e-09,9.99390834e-10,1.00000000e-09,9.85151742e-16,1.00000000e-09,-3.66518921e-16,1.00000000e-09,5.93493588e-19,1.00000000e-09,1.77308455e-16,1.00000000e-09,2.65640464e-16,1.00000000e-09,-2.09838075e-19,1.00000000e-09,1.35589128e-10,1.00000000e-09,9.10027707e-01,1.00000000e-09,4.26873032e-02,1.00000000e-09,6.08647195e-01,1.00000000e-09,6.08647195e-01,1.00000000e-09,7.37522260e+09,1.00000000e-09,2.28142061e+07,1.00000000e-09,3.63099367e+06,1.00000000e-09,2.24891545e+01,0.840,0.500,sky130
1.25000000e-09,2.74453529e-08,1.25000000e-09,1.24969066e-09,1.25000000e-09,1.00109531e-15,1.25000000e-09,-3.91023113e-16,1.25000000e-09,6.37913777e-19,1.25000000e-09,1.88688531e-16,1.25000000e-09,2.82697139e-16,1.25000000e-09,-2.28473351e-19,1.25000000e-09,1.66884393e-10,1.25000000e-09,9.10002905e-01,1.25000000e-09,4.27637691e-02,1.25000000e-09,6.18643097e-01,1.25000000e-09,6.18643097e-01,1.25000000e-09,5.99217209e+09,1.25000000e-09,2.74153247e+07,1.25000000e-09,4.36328444e+06,1.25000000e-09,2.19617172e+01,0.840,0.500,sky130
1.50000000e-09,3.22943952e-08,1.50000000e-09,1.50023281e-09,1.50000000e-09,1.01525516e-15,1.50000000e-09,-4.12487495e-16,1.50000000e-09,6.76873316e-19,1.50000000e-09,1.98630420e-16,1.50000000e-09,2.97598436e-16,1.50000000e-09,-2.44782354e-19,1.50000000e-09,1.97706843e-10,1.50000000e-09,9.09982181e-01,1.50000000e-09,4.28399842e-02,1.50000000e-09,6.26995796e-01,1.50000000e-09,6.26995796e-01,1.50000000e-09,5.05799387e+09,1.50000000e-09,3.18091418e+07,1.50000000e-09,5.06258215e+06,1.50000000e-09,2.15262558e+01,0.840,0.500,sky130
1.75000000e-09,3.70260006e-08,1.75000000e-09,1.74986555e-09,1.75000000e-09,1.02802272e-15,1.75000000e-09,-4.31634823e-16,1.75000000e-09,7.11664305e-19,1.75000000e-09,2.07479172e-16,1.75000000e-09,3.10861449e-16,1.75000000e-09,-2.59319374e-19,1.75000000e-09,2.28009093e-10,1.75000000e-09,9.09964396e-01,1.75000000e-09,4.29156118e-02,1.75000000e-09,6.34163734e-01,1.75000000e-09,6.34163734e-01,1.75000000e-09,4.38578999e+09,1.75000000e-09,3.60167141e+07,1.75000000e-09,5.73223809e+06,1.75000000e-09,2.11593402e+01,0.840,0.500,sky130
2.00000000e-09,4.16788938e-08,2.00000000e-09,1.99964553e-09,2.00000000e-09,1.03974642e-15,2.00000000e-09,-4.49064724e-16,2.00000000e-09,7.43363589e-19,2.00000000e-09,2.15518511e-16,2.00000000e-09,3.22911386e-16,2.00000000e-09,-2.72542986e-19,2.00000000e-09,2.57987732e-10,2.00000000e-09,9.09948728e-01,2.00000000e-09,4.29909833e-02,2.00000000e-09,6.40478414e-01,2.00000000e-09,6.40478414e-01,2.00000000e-09,3.87615331e+09,2.00000000e-09,4.00856332e+07,2.00000000e-09,6.37982667e+06,2.00000000e-09,2.08431410e+01,0.840,0.500,sky130
2.25000000e-09,4.62661319e-08,2.25000000e-09,2.24954225e-09,2.25000000e-09,1.05062111e-15,2.25000000e-09,-4.65115684e-16,2.25000000e-09,7.72578260e-19,2.25000000e-09,2.22909007e-16,2.25000000e-09,3.33988885e-16,2.25000000e-09,-2.84712266e-19,2.25000000e-09,2.87688621e-10,2.25000000e-09,9.09934703e-01,2.25000000e-09,4.30660971e-02,2.25000000e-09,6.46130860e-01,2.25000000e-09,6.46130859e-01,2.25000000e-09,3.47598037e+09,2.25000000e-09,4.40369334e+07,2.25000000e-09,7.00869562e+06,2.25000000e-09,2.05669096e+01,0.840,0.500,sky130
2.50000000e-09,5.07969425e-08,2.50000000e-09,2.49947952e-09,2.50000000e-09,1.06078559e-15,2.50000000e-09,-4.80026003e-16,2.50000000e-09,7.99735932e-19,2.50000000e-09,2.29763603e-16,2.50000000e-09,3.44263210e-16,2.50000000e-09,-2.96009585e-19,2.50000000e-09,3.17141404e-10,2.50000000e-09,9.09921996e-01,2.50000000e-09,4.31409369e-02,2.50000000e-09,6.51252227e-01,2.50000000e-09,6.51252226e-01,2.50000000e-09,3.15316761e+09,2.50000000e-09,4.78861544e+07,2.50000000e-09,7.62131817e+06,2.50000000e-09,2.03230081e+01,0.840,0.500,sky130
2.75000000e-09,5.52794637e-08,2.75000000e-09,2.74943878e-09,2.75000000e-09,1.07034594e-15,2.75000000e-09,-4.93975219e-16,2.75000000e-09,8.25159044e-19,2.75000000e-09,2.36167263e-16,2.75000000e-09,3.53861694e-16,2.75000000e-09,-3.06572302e-19,2.75000000e-09,3.46374881e-10,2.75000000e-09,9.09910370e-01,2.75000000e-09,4.32155030e-02,2.75000000e-09,6.55938208e-01,2.75000000e-09,6.55938207e-01,2.75000000e-09,2.88704538e+09,2.75000000e-09,5.16463526e+07,2.75000000e-09,8.21977231e+06,2.75000000e-09,2.01057263e+01,0.840,0.500,sky130
3.00000000e-09,5.97203828e-08,3.00000000e-09,2.99941014e-09,3.00000000e-09,1.07938432e-15,3.00000000e-09,-5.07100939e-16,3.00000000e-09,8.49094883e-19,3.00000000e-09,2.42185032e-16,3.00000000e-09,3.62881819e-16,3.00000000e-09,-3.16505679e-19,3.00000000e-09,3.75413134e-10,3.00000000e-09,9.09899646e-01,3.00000000e-09,4.32897979e-02,3.00000000e-09,6.60260334e-01,3.00000000e-09,6.60260333e-01,3.00000000e-09,2.66373206e+09,3.00000000e-09,5.53281918e+07,3.00000000e-09,8.80575522e+06,3.00000000e-09,1.99107091e+01,0.840,0.500,sky130
3.25000000e-09,6.41252620e-08,3.25000000e-09,3.24938914e-09,3.25000000e-09,1.08796591e-15,3.25000000e-09,-5.19511274e-16,3.25000000e-09,8.71737846e-19,3.25000000e-09,2.47867963e-16,3.25000000e-09,3.71400100e-16,3.25000000e-09,-3.25892405e-19,3.25000000e-09,4.04276516e-10,3.25000000e-09,9.09889688e-01,3.25000000e-09,4.33638250e-02,3.25000000e-09,6.64273534e-01,3.25000000e-09,6.64273533e-01,3.25000000e-09,2.47355451e+09,3.25000000e-09,5.89405066e+07,3.25000000e-09,9.38067298e+06,3.25000000e-09,1.97345591e+01,0.840,0.500,sky130
