 isweep, gm, id, cgg, cgs, cgd, cds, css, cdd, gds, vth, vdsat, vgs, vds, rds, wt, ft, gm_id
1e-09,2.60134926e-08,9.99616682e-10,3.82897552e-16, 1.00000000e-09,1e-09,1e-09, 1.00000000e-09 -2.03481981e-19,1.65752327e-09,0.76948665,0.0430618054,0.382904034,0.382904034,603309779.0,67938518.9,10812751.1,26.0234679,
1.5e-09,3.90668619e-08,1.50586575e-09,3.8792389200000003e-16, 1.50000000e-09,1.5e-09,1.5e-09, 1.50000000e-09 -2.23330550e-19,2.432106e-09,0.769484357,0.0430656221,0.397738887,0.397738887,411166290.0,100707543.0,16028103.2,25.9431239,
2e-09,5.21245664e-08,2.01428739e-09,3.91929181e-16, 2.00000000e-09,2e-09,2e-09, 2.00000000e-09 -2.37484381e-19,3.19334536e-09,0.769482723,0.0430693886,0.408312726,0.408312726,313151221.0,132994860.0,21166789.3,25.8774228,
2.5e-09,6.47163244e-08,2.50618323e-09,3.95188427e-16, 2.50000000e-09,2.5e-09,2.5e-09, 2.50000000e-09 -2.48117257e-19,3.91826197e-09,0.769481492,0.0430729864,0.416279804,0.416279803,255215197.0,163760677.0,26063321.3,25.8226628,
3e-09,7.73646268e-08,3.00170309e-09,3.98047733e-16, 3.00000000e-09,3e-09,3e-09, 3.00000000e-09 -2.56879864e-19,4.63946611e-09,0.769480473,0.0430765748,0.422875768,0.422875767,215542042.0,194360174.0,30933382.5,25.7735774,
3.5e-09,9.00704412e-08,3.50077151e-09,4.0060852e-16, 3.50000000e-09,3.5e-09,3.5e-09, 3.50000000e-09 -2.64325655e-19,5.3582683e-09,0.769479602,0.0430801588,0.42851177,0.428511769,186627459.0,224834063.0,35783452.5,25.7287403,
4e-09,1.0275932e-07,4.00036826e-09,4.02923543e-16, 4.00000000e-09,4e-09,4e-09, 4.00000000e-09 -2.70757757e-19,6.07137695e-09,0.769478845,0.043083721,0.433410454,0.433410453,164707283.0,255034292.0,40589968.2,25.6874651,
4.5e-09,1.1542331e-07,4.50009286e-09,4.05040015e-16, 4.50000000e-09,4.5e-09,4.5e-09, 4.50000000e-09 -2.76407418e-19,6.77906391e-09,0.769478176,0.0430872619,0.437741194,0.437741193,147512992.0,284967673.0,45354013.7,25.6490953,
5e-09,1.28063727e-07,4.99992427e-09,4.06993275e-16, 5.00000000e-09,5e-09,5e-09, 5.00000000e-09 -2.81437761e-19,7.48195507e-09,0.769477576,0.043090784,0.441623038,0.441623037,133654906.0,314658092.0,50079390.7,25.6131334,
5.5e-09,1.40680988e-07,5.49981752e-09,4.0880953800000002e-16, 5.50000000e-09,5.5e-09,5.5e-09, 5.50000000e-09 -2.85965542e-19,8.18050792e-09,0.769477032,0.043094289,0.445140887,0.445140885,122241798.0,344123546.0,54768963.3,25.5792101,
6e-09,1.53275757e-07,5.99974624e-09,4.10508959e-16, 6.00000000e-09,6e-09,6e-09, 6.00000000e-09 -2.90077508e-19,8.87510926e-09,0.769476535,0.0430977784,0.448357648,0.448357646,112674669.0,373379809.0,59425242.3,25.5470399,
6.5e-09,1.6584885e-07,6.49969696e-09,4.12107399e-16, 6.50000000e-09,6.5e-09,6.5e-09, 6.50000000e-09 -2.93839868e-19,9.56609142e-09,0.769476077,0.0431012536,0.45132123,0.451321228,104535903.0,402440844.0,64050449.7,25.5163973,
7e-09,1.78401061e-07,6.9996609e-09,4.13617577e-16, 7.00000000e-09,7e-09,7e-09, 7.00000000e-09 -2.97304269e-19,1.02537378e-08,0.769475653,0.0431047156,0.45406894,0.454068938,97525412.0,431318858.0,68646528.2,25.4871005,
