A,B,OUT
-128,-128,16439
-128,-127,16311
-128,-126,16183
-128,-125,16055
-128,-124,15927
-128,-123,15799
-128,-122,15671
-128,-121,15543
-128,-120,15415
-128,-119,15287
-128,-118,15159
-128,-117,15031
-128,-116,14903
-128,-115,14775
-128,-114,14647
-128,-113,14519
-128,-112,14391
-128,-111,14263
-128,-110,14135
-128,-109,14007
-128,-108,13879
-128,-107,13751
-128,-106,13623
-128,-105,13495
-128,-104,13367
-128,-103,13239
-128,-102,13111
-128,-101,12983
-128,-100,12855
-128,-99,12727
-128,-98,12599
-128,-97,12471
-128,-96,12351
-128,-95,12223
-128,-94,12095
-128,-93,11967
-128,-92,11839
-128,-91,11711
-128,-90,11583
-128,-89,11455
-128,-88,11327
-128,-87,11199
-128,-86,11071
-128,-85,10943
-128,-84,10815
-128,-83,10687
-128,-82,10559
-128,-81,10431
-128,-80,10303
-128,-79,10175
-128,-78,10047
-128,-77,9919
-128,-76,9791
-128,-75,9663
-128,-74,9535
-128,-73,9407
-128,-72,9279
-128,-71,9151
-128,-70,9023
-128,-69,8895
-128,-68,8767
-128,-67,8639
-128,-66,8511
-128,-65,8383
-128,-64,8247
-128,-63,8119
-128,-62,7991
-128,-61,7863
-128,-60,7735
-128,-59,7607
-128,-58,7479
-128,-57,7351
-128,-56,7223
-128,-55,7095
-128,-54,6967
-128,-53,6839
-128,-52,6711
-128,-51,6583
-128,-50,6455
-128,-49,6327
-128,-48,6199
-128,-47,6071
-128,-46,5943
-128,-45,5815
-128,-44,5687
-128,-43,5559
-128,-42,5431
-128,-41,5303
-128,-40,5175
-128,-39,5047
-128,-38,4919
-128,-37,4791
-128,-36,4663
-128,-35,4535
-128,-34,4407
-128,-33,4279
-128,-32,4159
-128,-31,4031
-128,-30,3903
-128,-29,3775
-128,-28,3647
-128,-27,3519
-128,-26,3391
-128,-25,3263
-128,-24,3135
-128,-23,3007
-128,-22,2879
-128,-21,2751
-128,-20,2623
-128,-19,2495
-128,-18,2367
-128,-17,2239
-128,-16,2111
-128,-15,1983
-128,-14,1855
-128,-13,1727
-128,-12,1599
-128,-11,1471
-128,-10,1343
-128,-9,1215
-128,-8,1087
-128,-7,959
-128,-6,831
-128,-5,703
-128,-4,575
-128,-3,447
-128,-2,319
-128,-1,191
-128,0,55
-128,1,-73
-128,2,-201
-128,3,-329
-128,4,-457
-128,5,-585
-128,6,-713
-128,7,-841
-128,8,-969
-128,9,-1097
-128,10,-1225
-128,11,-1353
-128,12,-1481
-128,13,-1609
-128,14,-1737
-128,15,-1865
-128,16,-1993
-128,17,-2121
-128,18,-2249
-128,19,-2377
-128,20,-2505
-128,21,-2633
-128,22,-2761
-128,23,-2889
-128,24,-3017
-128,25,-3145
-128,26,-3273
-128,27,-3401
-128,28,-3529
-128,29,-3657
-128,30,-3785
-128,31,-3913
-128,32,-4033
-128,33,-4161
-128,34,-4289
-128,35,-4417
-128,36,-4545
-128,37,-4673
-128,38,-4801
-128,39,-4929
-128,40,-5057
-128,41,-5185
-128,42,-5313
-128,43,-5441
-128,44,-5569
-128,45,-5697
-128,46,-5825
-128,47,-5953
-128,48,-6081
-128,49,-6209
-128,50,-6337
-128,51,-6465
-128,52,-6593
-128,53,-6721
-128,54,-6849
-128,55,-6977
-128,56,-7105
-128,57,-7233
-128,58,-7361
-128,59,-7489
-128,60,-7617
-128,61,-7745
-128,62,-7873
-128,63,-8001
-128,64,-8137
-128,65,-8265
-128,66,-8393
-128,67,-8521
-128,68,-8649
-128,69,-8777
-128,70,-8905
-128,71,-9033
-128,72,-9161
-128,73,-9289
-128,74,-9417
-128,75,-9545
-128,76,-9673
-128,77,-9801
-128,78,-9929
-128,79,-10057
-128,80,-10185
-128,81,-10313
-128,82,-10441
-128,83,-10569
-128,84,-10697
-128,85,-10825
-128,86,-10953
-128,87,-11081
-128,88,-11209
-128,89,-11337
-128,90,-11465
-128,91,-11593
-128,92,-11721
-128,93,-11849
-128,94,-11977
-128,95,-12105
-128,96,-12225
-128,97,-12353
-128,98,-12481
-128,99,-12609
-128,100,-12737
-128,101,-12865
-128,102,-12993
-128,103,-13121
-128,104,-13249
-128,105,-13377
-128,106,-13505
-128,107,-13633
-128,108,-13761
-128,109,-13889
-128,110,-14017
-128,111,-14145
-128,112,-14273
-128,113,-14401
-128,114,-14529
-128,115,-14657
-128,116,-14785
-128,117,-14913
-128,118,-15041
-128,119,-15169
-128,120,-15297
-128,121,-15425
-128,122,-15553
-128,123,-15681
-128,124,-15809
-128,125,-15937
-128,126,-16065
-128,127,-16193
-127,-128,16311
-127,-127,16183
-127,-126,16055
-127,-125,15927
-127,-124,15799
-127,-123,15671
-127,-122,15543
-127,-121,15415
-127,-120,15287
-127,-119,15159
-127,-118,15031
-127,-117,14903
