A,B,OUT
-128,-128,16465
-128,-127,16347
-128,-126,16211
-128,-125,16091
-128,-124,15955
-128,-123,15835
-128,-122,15699
-128,-121,15577
-128,-120,15443
-128,-119,15321
-128,-118,15185
-128,-117,15065
-128,-116,14929
-128,-115,14809
-128,-114,14673
-128,-113,14555
-128,-112,14417
-128,-111,14299
-128,-110,14163
-128,-109,14043
-128,-108,13907
-128,-107,13787
-128,-106,13651
-128,-105,13529
-128,-104,13395
-128,-103,13273
-128,-102,13137
-128,-101,13017
-128,-100,12881
-128,-99,12761
-128,-98,12625
-128,-97,12507
-128,-96,12369
-128,-95,12251
-128,-94,12115
-128,-93,11995
-128,-92,11859
-128,-91,11739
-128,-90,11603
-128,-89,11481
-128,-88,11347
-128,-87,11225
-128,-86,11089
-128,-85,10969
-128,-84,10833
-128,-83,10713
-128,-82,10577
-128,-81,10459
-128,-80,10321
-128,-79,10203
-128,-78,10067
-128,-77,9947
-128,-76,9811
-128,-75,9691
-128,-74,9555
-128,-73,9433
-128,-72,9299
-128,-71,9177
-128,-70,9041
-128,-69,8921
-128,-68,8785
-128,-67,8665
-128,-66,8529
-128,-65,8411
-128,-64,8273
-128,-63,8155
-128,-62,8019
-128,-61,7899
-128,-60,7763
-128,-59,7643
-128,-58,7507
-128,-57,7385
-128,-56,7251
-128,-55,7129
-128,-54,6993
-128,-53,6873
-128,-52,6737
-128,-51,6617
-128,-50,6481
-128,-49,6363
-128,-48,6225
-128,-47,6107
-128,-46,5971
-128,-45,5851
-128,-44,5715
-128,-43,5595
-128,-42,5459
-128,-41,5337
-128,-40,5203
-128,-39,5081
-128,-38,4945
-128,-37,4825
-128,-36,4689
-128,-35,4569
-128,-34,4433
-128,-33,4315
-128,-32,4177
-128,-31,4059
-128,-30,3923
-128,-29,3803
-128,-28,3667
-128,-27,3547
-128,-26,3411
-128,-25,3289
-128,-24,3155
-128,-23,3033
-128,-22,2897
-128,-21,2777
-128,-20,2641
-128,-19,2521
-128,-18,2385
-128,-17,2267
-128,-16,2129
-128,-15,2011
-128,-14,1875
-128,-13,1755
-128,-12,1619
-128,-11,1499
-128,-10,1363
-128,-9,1241
-128,-8,1107
-128,-7,985
-128,-6,849
-128,-5,729
-128,-4,593
-128,-3,473
-128,-2,337
-128,-1,219
-128,0,85
-128,1,-33
-128,2,-169
-128,3,-289
-128,4,-425
-128,5,-545
-128,6,-681
-128,7,-803
-128,8,-937
-128,9,-1059
-128,10,-1195
-128,11,-1315
-128,12,-1451
-128,13,-1571
-128,14,-1707
-128,15,-1825
-128,16,-1963
-128,17,-2081
-128,18,-2217
-128,19,-2337
-128,20,-2473
-128,21,-2593
-128,22,-2729
-128,23,-2851
-128,24,-2985
-128,25,-3107
-128,26,-3243
-128,27,-3363
-128,28,-3499
-128,29,-3619
-128,30,-3755
-128,31,-3873
-128,32,-4011
-128,33,-4129
-128,34,-4265
-128,35,-4385
-128,36,-4521
-128,37,-4641
-128,38,-4777
-128,39,-4899
-128,40,-5033
-128,41,-5155
-128,42,-5291
-128,43,-5411
-128,44,-5547
-128,45,-5667
-128,46,-5803
-128,47,-5921
-128,48,-6059
-128,49,-6177
-128,50,-6313
-128,51,-6433
-128,52,-6569
-128,53,-6689
-128,54,-6825
-128,55,-6947
-128,56,-7081
-128,57,-7203
-128,58,-7339
-128,59,-7459
-128,60,-7595
-128,61,-7715
-128,62,-7851
-128,63,-7969
-128,64,-8107
-128,65,-8225
-128,66,-8361
-128,67,-8481
-128,68,-8617
-128,69,-8737
-128,70,-8873
-128,71,-8995
-128,72,-9129
-128,73,-9251
-128,74,-9387
-128,75,-9507
-128,76,-9643
-128,77,-9763
-128,78,-9899
-128,79,-10017
-128,80,-10155
-128,81,-10273
-128,82,-10409
-128,83,-10529
-128,84,-10665
-128,85,-10785
-128,86,-10921
-128,87,-11043
-128,88,-11177
-128,89,-11299
-128,90,-11435
-128,91,-11555
-128,92,-11691
-128,93,-11811
-128,94,-11947
-128,95,-12065
-128,96,-12203
-128,97,-12321
-128,98,-12457
-128,99,-12577
-128,100,-12713
-128,101,-12833
-128,102,-12969
-128,103,-13091
-128,104,-13225
-128,105,-13347
-128,106,-13483
-128,107,-13603
-128,108,-13739
-128,109,-13859
-128,110,-13995
-128,111,-14113
-128,112,-14251
-128,113,-14369
-128,114,-14505
-128,115,-14625
-128,116,-14761
-128,117,-14881
-128,118,-15017
-128,119,-15139
-128,120,-15273
-128,121,-15395
-128,122,-15531
-128,123,-15651
-128,124,-15787
-128,125,-15907
-128,126,-16043
-128,127,-16161
-127,-128,16337
-127,-127,16219
-127,-126,16083
-127,-125,15963
-127,-124,15827
-127,-123,15707
-127,-122,15571
-127,-121,15449
-127,-120,15315
-127,-119,15193
-127,-118,15057
-127,-117,14937
-127,-116,14801
-127,-115,14681
-127,-114,14545
-127,-113,14427
-127,-112,14289
-127,-111,14171
-127,-110,14035
-127,-109,13915
-127,-108,13779
-127,-107,13659
-127,-106,13523
-127,-105,13401
-127,-104,13267
-127,-103,13145
-127,-102,13009
-127,-101,12889
-127,-100,12753
-127,-99,12633
-127,-98,12497
-127,-97,12379
-127,-96,12241
-127,-95,12123
-127,-94,11987
-127,-93,11867
-127,-92,11731
-127,-91,11611
-127,-90,11475
-127,-89,11353
-127,-88,11219
-127,-87,11097
-127,-86,10961
-127,-85,10841
-127,-84,10705
-127,-83,10585
-127,-82,10449
-127,-81,10331
-127,-80,10193
-127,-79,10075
-127,-78,9939
-127,-77,9819
-127,-76,9683
-127,-75,9563
-127,-74,9427
-127,-73,9305
-127,-72,9171
-127,-71,9049
-127,-70,8913
-127,-69,8793
-127,-68,8657
-127,-67,8537
-127,-66,8401
-127,-65,8283
-127,-64,8209
-127,-63,8091
-127,-62,7955
-127,-61,7835
-127,-60,7699
-127,-59,7579
-127,-58,7443
-127,-57,7321
-127,-56,7187
-127,-55,7065
-127,-54,6929
-127,-53,6809
-127,-52,6673
-127,-51,6553
-127,-50,6417
-127,-49,6299
-127,-48,6161
-127,-47,6043
-127,-46,5907
-127,-45,5787
-127,-44,5651
-127,-43,5531
-127,-42,5395
-127,-41,5273
-127,-40,5139
-127,-39,5017
-127,-38,4881
-127,-37,4761
-127,-36,4625
-127,-35,4505
-127,-34,4369
-127,-33,4251
-127,-32,4113
-127,-31,3995
-127,-30,3859
-127,-29,3739
-127,-28,3603
-127,-27,3483
-127,-26,3347
-127,-25,3225
-127,-24,3091
-127,-23,2969
-127,-22,2833
-127,-21,2713
-127,-20,2577
-127,-19,2457
-127,-18,2321
-127,-17,2203
-127,-16,2065
-127,-15,1947
-127,-14,1811
-127,-13,1691
