A,B,OUT
-128,-128,16063
-128,-127,16063
-128,-126,16063
-128,-125,16063
-128,-124,15807
-128,-123,15807
-128,-122,15807
-128,-121,15807
-128,-120,15037
-128,-119,15037
-128,-118,15037
-128,-117,15037
-128,-116,14781
-128,-115,14781
-128,-114,14781
-128,-113,14781
-128,-112,13959
-128,-111,13959
-128,-110,13959
-128,-109,13959
-128,-108,13703
-128,-107,13703
-128,-106,13703
-128,-105,13703
-128,-104,12932
-128,-103,12932
-128,-102,12932
-128,-101,12932
-128,-100,12676
-128,-99,12676
-128,-98,12676
-128,-97,12676
-128,-96,11951
-128,-95,11951
-128,-94,11951
-128,-93,11951
-128,-92,11695
-128,-91,11695
-128,-90,11695
-128,-89,11695
-128,-88,10924
-128,-87,10924
-128,-86,10924
-128,-85,10924
-128,-84,10668
-128,-83,10668
-128,-82,10668
-128,-81,10668
-128,-80,9878
-128,-79,9878
-128,-78,9878
-128,-77,9878
-128,-76,9622
-128,-75,9622
-128,-74,9622
-128,-73,9622
-128,-72,8852
-128,-71,8852
-128,-70,8852
-128,-69,8852
-128,-68,8596
-128,-67,8596
-128,-66,8596
-128,-65,8596
-128,-64,7870
-128,-63,7870
-128,-62,7870
-128,-61,7870
-128,-60,7614
-128,-59,7614
-128,-58,7614
-128,-57,7614
-128,-56,6844
-128,-55,6844
-128,-54,6844
-128,-53,6844
-128,-52,6588
-128,-51,6588
-128,-50,6588
-128,-49,6588
-128,-48,5766
-128,-47,5766
-128,-46,5766
-128,-45,5766
-128,-44,5510
-128,-43,5510
-128,-42,5510
-128,-41,5510
-128,-40,4741
-128,-39,4741
-128,-38,4741
-128,-37,4741
-128,-36,4485
-128,-35,4485
-128,-34,4485
-128,-33,4485
-128,-32,3758
-128,-31,3758
-128,-30,3758
-128,-29,3758
-128,-28,3502
-128,-27,3502
-128,-26,3502
-128,-25,3502
-128,-24,2733
-128,-23,2733
-128,-22,2733
-128,-21,2733
-128,-20,2477
-128,-19,2477
-128,-18,2477
-128,-17,2477
-128,-16,1687
-128,-15,1687
-128,-14,1687
-128,-13,1687
-128,-12,1431
-128,-11,1431
-128,-10,1431
-128,-9,1431
-128,-8,661
-128,-7,661
-128,-6,661
-128,-5,661
-128,-4,405
-128,-3,405
-128,-2,405
-128,-1,405
-128,0,-326
-128,1,-326
-128,2,-326
-128,3,-326
-128,4,-582
-128,5,-582
-128,6,-582
-128,7,-582
-128,8,-1352
-128,9,-1352
-128,10,-1352
-128,11,-1352
-128,12,-1608
-128,13,-1608
-128,14,-1608
-128,15,-1608
-128,16,-2414
-128,17,-2414
-128,18,-2414
-128,19,-2414
-128,20,-2670
-128,21,-2670
-128,22,-2670
-128,23,-2670
-128,24,-3439
-128,25,-3439
-128,26,-3439
-128,27,-3439
-128,28,-3695
-128,29,-3695
-128,30,-3695
-128,31,-3695
-128,32,-4438
-128,33,-4438
-128,34,-4438
-128,35,-4438
-128,36,-4694
-128,37,-4694
-128,38,-4694
-128,39,-4694
-128,40,-5463
-128,41,-5463
-128,42,-5463
-128,43,-5463
-128,44,-5719
-128,45,-5719
-128,46,-5719
-128,47,-5719
-128,48,-6525
-128,49,-6525
-128,50,-6525
-128,51,-6525
-128,52,-6781
-128,53,-6781
-128,54,-6781
-128,55,-6781
-128,56,-7551
-128,57,-7551
-128,58,-7551
-128,59,-7551
-128,60,-7807
-128,61,-7807
-128,62,-7807
-128,63,-7807
-128,64,-8517
-128,65,-8517
-128,66,-8517
-128,67,-8517
-128,68,-8773
-128,69,-8773
-128,70,-8773
-128,71,-8773
-128,72,-9543
-128,73,-9543
-128,74,-9543
-128,75,-9543
-128,76,-9799
-128,77,-9799
-128,78,-9799
-128,79,-9799
-128,80,-10605
-128,81,-10605
-128,82,-10605
-128,83,-10605
-128,84,-10861
-128,85,-10861
-128,86,-10861
-128,87,-10861
-128,88,-11632
-128,89,-11632
-128,90,-11632
-128,91,-11632
-128,92,-11888
-128,93,-11888
-128,94,-11888
-128,95,-11888
-128,96,-12629
-128,97,-12629
-128,98,-12629
-128,99,-12629
-128,100,-12885
-128,101,-12885
-128,102,-12885
-128,103,-12885
-128,104,-13656
-128,105,-13656
-128,106,-13656
-128,107,-13656
-128,108,-13912
-128,109,-13912
-128,110,-13912
-128,111,-13912
-128,112,-14718
-128,113,-14718
-128,114,-14718
-128,115,-14718
-128,116,-14974
-128,117,-14974
-128,118,-14974
-128,119,-14974
-128,120,-15744
-128,121,-15744
-128,122,-15744
-128,123,-15744
-128,124,-16000
-128,125,-16000
-128,126,-16000
-128,127,-16000
-127,-128,16063
-127,-127,16063
-127,-126,16063
-127,-125,16063
-127,-124,15807
-127,-123,15807
-127,-122,15807
-127,-121,15807
-127,-120,15037
-127,-119,15037
-127,-118,15037
-127,-117,15037
-127,-116,14781
-127,-115,14781
-127,-114,14781
-127,-113,14781
-127,-112,13959
-127,-111,13959
-127,-110,13959
-127,-109,13959
-127,-108,13703
-127,-107,13703
-127,-106,13703
-127,-105,13703
-127,-104,12932
-127,-103,12932
-127,-102,12932
-127,-101,12932
-127,-100,12676
-127,-99,12676
-127,-98,12676
-127,-97,12676
-127,-96,11951
-127,-95,11951
-127,-94,11951
-127,-93,11951
-127,-92,11695
-127,-91,11695
-127,-90,11695
-127,-89,11695
-127,-88,10924
-127,-87,10924
-127,-86,10924
-127,-85,10924
-127,-84,10668
-127,-83,10668
-127,-82,10668
-127,-81,10668
-127,-80,9878
-127,-79,9878
-127,-78,9878
-127,-77,9878
-127,-76,9622
-127,-75,9622
-127,-74,9622
-127,-73,9622
-127,-72,8852
-127,-71,8852
-127,-70,8852
-127,-69,8852
-127,-68,8596
-127,-67,8596
-127,-66,8596
-127,-65,8596
-127,-64,7870
-127,-63,7870
-127,-62,7870
-127,-61,7870
-127,-60,7614
-127,-59,7614
-127,-58,7614
-127,-57,7614
-127,-56,6844
-127,-55,6844
-127,-54,6844
-127,-53,6844
-127,-52,6588
-127,-51,6588
-127,-50,6588
-127,-49,6588
-127,-48,5766
-127,-47,5766
-127,-46,5766
-127,-45,5766
-127,-44,5510
-127,-43,5510
-127,-42,5510
-127,-41,5510
-127,-40,4741
-127,-39,4741
-127,-38,4741
-127,-37,4741
-127,-36,4485
-127,-35,4485
-127,-34,4485
-127,-33,4485
-127,-32,3758
-127,-31,3758
-127,-30,3758
-127,-29,3758
-127,-28,3502
-127,-27,3502
-127,-26,3502
-127,-25,3502
-127,-24,2733
-127,-23,2733
-127,-22,2733
-127,-21,2733
-127,-20,2477
-127,-19,2477
-127,-18,2477
-127,-17,2477
-127,-16,1687
-127,-15,1687
-127,-14,1687
-127,-13,1687
-127,-12,1431
-127,-11,1431
-127,-10,1431
-127,-9,1431
-127,-8,661
-127,-7,661
-127,-6,661
-127,-5,661
-127,-4,405
-127,-3,405
-127,-2,405
-127,-1,405
-127,0,-326
-127,1,-326
-127,2,-326
-127,3,-326
-127,4,-582
-127,5,-582
-127,6,-582
-127,7,-582
-127,8,-1352
-127,9,-1352
-127,10,-1352
-127,11,-1352
-127,12,-1608
-127,13,-1608
-127,14,-1608
-127,15,-1608
-127,16,-2414
-127,17,-2414
-127,18,-2414
-127,19,-2414
-127,20,-2670
-127,21,-2670
-127,22,-2670
-127,23,-2670
-127,24,-3439
-127,25,-3439
-127,26,-3439
-127,27,-3439
-127,28,-3695
-127,29,-3695
-127,30,-3695
-127,31,-3695
-127,32,-4438
-127,33,-4438
-127,34,-4438
-127,35,-4438
-127,36,-4694
-127,37,-4694
-127,38,-4694
-127,39,-4694
-127,40,-5463
-127,41,-5463
-127,42,-5463
-127,43,-5463
-127,44,-5719
-127,45,-5719
-127,46,-5719
-127,47,-5719
-127,48,-6525
-127,49,-6525
-127,50,-6525
-127,51,-6525
-127,52,-6781
-127,53,-6781
-127,54,-6781
-127,55,-6781
-127,56,-7551
-127,57,-7551
-127,58,-7551
-127,59,-7551
-127,60,-7807
-127,61,-7807
-127,62,-7807
-127,63,-7807
-127,64,-8517
-127,65,-8517
-127,66,-8517
-127,67,-8517
-127,68,-8773
-127,69,-8773
-127,70,-8773
-127,71,-8773
-127,72,-9543
-127,73,-9543
-127,74,-9543
-127,75,-9543
-127,76,-9799
-127,77,-9799
-127,78,-9799
-127,79,-9799
-127,80,-10605
-127,81,-10605
-127,82,-10605
-127,83,-10605
-127,84,-10861
-127,85,-10861
-127,86,-10861
-127,87,-10861
-127,88,-11632
-127,89,-11632
-127,90,-11632
-127,91,-11632
-127,92,-11888
-127,93,-11888
-127,94,-11888
-127,95,-11888
-127,96,-12629
-127,97,-12629
-127,98,-12629
-127,99,-12629
-127,100,-12885
-127,101,-12885
-127,102,-12885
-127,103,-12885
-127,104,-13656
-127,105,-13656
-127,106,-13656
-127,107,-13656
-127,108,-13912
-127,109,-13912
-127,110,-13912
-127,111,-13912
-127,112,-14718
-127,113,-14718
-127,114,-14718
-127,115,-14718
-127,116,-14974
-127,117,-14974
-127,118,-14974
-127,119,-14974
-127,120,-15744
-127,121,-15744
-127,122,-15744
-127,123,-15744
-127,124,-16000
-127,125,-16000
-127,126,-16000
-127,127,-16000
-126,-128,15807
-126,-127,15807
-126,-126,15807
-126,-125,15807
-126,-124,15551
-126,-123,15551
-126,-122,15551
-126,-121,15551
-126,-120,14781
-126,-119,14781
-126,-118,14781
-126,-117,14781
-126,-116,14525
-126,-115,14525
-126,-114,14525
-126,-113,14525
-126,-112,13703
-126,-111,13703
-126,-110,13703
-126,-109,13703
-126,-108,13447
-126,-107,13447
-126,-106,13447
-126,-105,13447
-126,-104,12676
-126,-103,12676
-126,-102,12676
-126,-101,12676
-126,-100,12420
-126,-99,12420
-126,-98,12420
-126,-97,12420
-126,-96,11695
-126,-95,11695
-126,-94,11695
-126,-93,11695
-126,-92,11439
-126,-91,11439
-126,-90,11439
-126,-89,11439
-126,-88,10668
-126,-87,10668
-126,-86,10668
-126,-85,10668
-126,-84,10412
-126,-83,10412
-126,-82,10412
-126,-81,10412
-126,-80,9622
-126,-79,9622
-126,-78,9622
-126,-77,9622
-126,-76,9366
-126,-75,9366
-126,-74,9366
-126,-73,9366
-126,-72,8596
-126,-71,8596
-126,-70,8596
-126,-69,8596
-126,-68,8340
-126,-67,8340
-126,-66,8340
-126,-65,8340
-126,-64,7614
-126,-63,7614
-126,-62,7614
-126,-61,7614
-126,-60,7358
-126,-59,7358
-126,-58,7358
-126,-57,7358
-126,-56,6588
-126,-55,6588
-126,-54,6588
-126,-53,6588
-126,-52,6332
-126,-51,6332
-126,-50,6332
-126,-49,6332
-126,-48,5510
-126,-47,5510
-126,-46,5510
-126,-45,5510
-126,-44,5254
-126,-43,5254
-126,-42,5254
-126,-41,5254
-126,-40,4485
-126,-39,4485
-126,-38,4485
-126,-37,4485
-126,-36,4229
-126,-35,4229
-126,-34,4229
-126,-33,4229
-126,-32,3502
-126,-31,3502
-126,-30,3502
-126,-29,3502
-126,-28,3246
-126,-27,3246
-126,-26,3246
-126,-25,3246
-126,-24,2477
-126,-23,2477
-126,-22,2477
-126,-21,2477
-126,-20,2221
-126,-19,2221
-126,-18,2221
-126,-17,2221
-126,-16,1431
-126,-15,1431
-126,-14,1431
-126,-13,1431
-126,-12,1175
-126,-11,1175
-126,-10,1175
-126,-9,1175
-126,-8,405
-126,-7,405
-126,-6,405
-126,-5,405
-126,-4,149
