Trial Number,Iteration Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,MAC NUM,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,4,4.31,-0.537,-0.537,128,128,4,3.7729999999999997,40,0.5,False,0.0204,296340.528,18286,1855,16431,0.0197,3.73e-06,2.43e-08,0.0197,2.69e-05,5.3e-05,3.39e-08,7.99e-05,18253,18739,2054,2540,18286,296340.528,0,0,0,25
10,1,5,3.799,1.001,1.001,128,128,16,4.8,40,0.5,False,0.0315,923337.0592,34317,3475,30842,0.0292,5.93e-06,4.27e-08,0.0292,3.28e-05,6.58e-05,5.78e-08,9.87e-05,34182,35244,3976,5038,34317,923337.0592,0,0,0,40
100,2,3,3.929,-1.136,-1.136,2048,128,8,2.793,40,0.5,False,0.0477,2564283.6192,24149,2444,21705,0.0344,6.52e-06,3.11e-08,0.0344,4.37e-05,8.92e-05,4.14e-08,0.000133,24268,24946,2947,3625,24149,2564283.6192,0,0,0,29
1000,3,3,4.18,-1.401,-1.401,2560,1536,16,2.779,40,0.5,False,0.0961,9145559.3824,34905,3345,31560,0.0469,9.33e-06,4.08e-08,0.0469,5.63e-05,0.000122,5.82e-08,0.000178,35514,36576,4615,5677,34905,9145559.3824,0,0,0,43
1001,4,4,4.37,-0.601,-0.601,2560,1536,16,3.769,40,0.5,False,0.0724,9145559.3824,34905,3345,31560,0.0351,7e-06,4.08e-08,0.0351,4.22e-05,9.14e-05,5.82e-08,0.000134,35514,36576,4615,5677,34905,9145559.3824,0,0,0,41
1002,5,5,4.56,0.199,0.199,2560,1536,16,4.7589999999999995,40,0.5,False,0.0581,9145559.3824,34905,3345,31560,0.0281,5.6e-06,4.08e-08,0.0281,3.38e-05,7.31e-05,5.82e-08,0.000107,35514,36576,4615,5677,34905,9145559.3824,0,0,0,42
1003,6,6,4.75,0.999,0.999,2560,1536,16,5.749,40,0.5,False,0.0487,9145559.3824,34905,3345,31560,0.0234,4.66e-06,4.08e-08,0.0234,2.81e-05,6.09e-05,5.82e-08,8.91e-05,35514,36576,4615,5677,34905,9145559.3824,0,0,0,41
1004,7,3,6.87,-4.231,-4.231,2560,1536,32,2.6390000000000002,40,0.5,False,0.172,18190290.8128,54851,5289,49562,0.0737,1.4e-05,6.23e-08,0.0738,7.76e-05,0.000173,8.42e-08,0.00025,56068,57898,7713,9543,54851,18190290.8128,0,0,0,67
1005,8,4,7.06,-3.431,-3.431,2560,1536,32,3.6289999999999996,40,0.5,False,0.13,18190290.8128,54851,5289,49562,0.0553,1.05e-05,6.23e-08,0.0553,5.82e-05,0.000129,8.42e-08,0.000188,56068,57898,7713,9543,54851,18190290.8128,0,0,0,68
1006,9,5,7.25,-2.631,-2.631,2560,1536,32,4.619,40,0.5,False,0.104,18190290.8128,54851,5289,49562,0.0442,8.38e-06,6.23e-08,0.0443,4.65e-05,0.000104,8.42e-08,0.00015,56068,57898,7713,9543,54851,18190290.8128,0,0,0,68
