,n_embd,n_head,block_size,n_layer,mlp_expansion_factor,n_cols,MAC NUM,Wmem Depth,Cache Depth,best_val_loss,perplexity,Power (W),Area (um^2),Clock Period (ns) Entered,Clock_Min_Period,F_max (MHz),Clock Slack (ns),TTFT (ms),TPOT (ms),Throughput (tokens/s),Energy per token (mJ/token),EDP (mJ * ms),EADP (mJ * ms * um^2)
0,512.0,4.0,256.0,33.0,2.0,2,32,4096,1024,4.000126,54.60502983346672,1.576,181208459.5968,3,10.108,98.93153937475266,-7.64,974.61174272,877.8337075200001,1.13916792147927,1383.4659230515203,1.3483421342589757e-06,244.33100115853068
1,512.0,4.0,256.0,33.0,2.0,4,16,4096,1024,4.000126,54.60502983346672,1.728,182019987.9168,3,5.757,173.70158068438423,-3.06,556.8182681599999,499.96919807999996,2.000123215270534,863.9467742822399,4.810613466382552e-07,87.56278050233475
2,512.0,4.0,256.0,33.0,2.0,4,32,2048,512,4.000126,54.60502983346672,2.16,183938147.584,3,5.689,175.77781683951486,-2.988,302.46182911999995,465.86811392000004,2.1465302520612566,1006.2751260672003,3.0435981522824396e-07,55.98338061209171
3,512.0,4.0,256.0,33.0,2.0,8,8,4096,1024,4.000126,54.60502983346672,2.0512,183555860.9408,3,3.955,252.84450063211125,-1.163,384.9043968,343.4737152000001,2.911430935603656,704.5332846182403,2.711779589415065e-07,49.77630372167714
4,512.0,4.0,256.0,33.0,2.0,8,16,2048,512,4.000126,54.60502983346672,2.4832,185568751.4624,3,3.931,254.3881963876876,-1.138,210.17662805333333,321.90675968000005,3.1064895965343395,799.3588656373762,1.680065509842013e-07,31.17676590364228
5,512.0,4.0,256.0,33.0,2.0,16,4,4096,1024,4.000126,54.60502983346672,2.6368,186485270.4768,3,4.106,243.54603019970776,-1.322,404.5331933866666,356.58737664,2.804361751172056,940.2495947243519,3.8036217113436117e-07,70.93194236313423
6,512.0,4.0,256.0,33.0,2.0,16,8,2048,512,4.000126,54.60502983346672,3.1168,188645422.2336,3,3.985,250.94102885821832,-1.195,215.45779199999998,326.32878079999995,3.0643941289777903,1017.1015439974398,2.191424529094792e-07,41.3402205584155
7,512.0,4.0,256.0,33.0,2.0,32,4,2048,512,4.000126,54.60502983346672,4.3904,194773619.6608,3,4.047,247.09661477637758,-1.26,223.67240191999997,331.40591616000006,3.0174476412099063,1455.004534308864,3.2544435899335457e-07,63.3879757993245
8,512.0,4.0,256.0,33.0,2.0,2,32,4096,1024,4.000126,54.60502983346672,1.184,181208459.5968,4,10.298,97.10623422023694,-6.84,992.9315123200003,894.3343411200001,1.1181500631493941,1058.89185988608,1.0514070958200232e-06,190.5238602426915
9,512.0,4.0,256.0,33.0,2.0,4,16,4096,1024,4.000126,54.60502983346672,1.3056,182019987.9168,4,5.947,168.15200941651253,-2.26,575.1951086933335,516.4698316800001,1.936221515102146,674.303012241408,3.8785579441843885e-07,70.59750701350511
10,512.0,4.0,256.0,33.0,2.0,4,32,2048,512,4.000126,54.60502983346672,1.632,183938147.584,4,5.879,170.0969552645008,-2.188,312.56338431999995,481.42707712000004,2.077157782612092,785.68898985984,2.455776096935537e-07,45.17109061513883
11,512.0,4.0,256.0,33.0,2.0,8,8,4096,1024,4.000126,54.60502983346672,1.5456,183555860.9408,4,4.14,241.54589371980677,-0.358,402.9087744,359.5401216,2.781330760945039,555.7052119449602,2.2389850587243612e-07,41.09788300877378
12,512.0,4.0,256.0,33.0,2.0,8,16,2048,512,4.000126,54.60502983346672,1.8688,185568751.4624,4,3.931,254.3881963876876,-0.138,210.17662805333333,321.90675968000005,3.1064895965343395,601.5793524899842,1.264379198128525e-07,23.462926917174084
13,512.0,4.0,256.0,33.0,2.0,16,4,4096,1024,4.000126,54.60502983346672,1.984,186485270.4768,4,4.106,243.54603019970776,-0.322,404.5331933866666,356.58737664,2.804361751172056,707.46935525376,2.861948375040096e-07,53.37112168099905
14,512.0,4.0,256.0,33.0,2.0,16,8,2048,512,4.000126,54.60502983346672,2.3424,188645422.2336,4,3.985,250.94102885821832,-0.195,215.45779199999998,326.32878079999995,3.0643941289777903,764.3925361459198,1.6469432805928006e-07,31.06883105622192
