L,VSB,VGS,VDS,ID,GM,ID_diff,VT,GMB,GDS,CGG,CGB,CGD,CGS,CDD,CSS,STH,SFL
3.0,0.2,1.8,0.675,1.51e-05,3.392e-05,0.0,0.8667,1.472e-05,1.055e-07,5.01177e-14,5.35e-15,8.432e-16,4.392e-14,4.04509e-15,3.9948e-14,5.29984e-25,5.035536e-20
3.0,0.2,1.8,0.75,1.51e-05,3.393e-05,0.0,0.8667,1.473e-05,1.026e-07,5.01173e-14,5.35e-15,8.4075e-16,4.392e-14,4.03502e-15,3.9948e-14,5.29984e-25,5.0670009999999996e-20
3.0,0.2,1.8,0.825,1.51e-05,3.393e-05,0.0,0.8667,1.473e-05,9.984e-08,5.01169e-14,5.351e-15,8.385200000000002e-16,4.392e-14,4.02523e-15,3.9948e-14,5.29984e-25,5.0985640000000013e-20
3.0,0.2,2.525,0.825,1.51e-05,1.362e-05,0.0,0.772,8.244e-06,4.424e-05,6.15799e-14,1.575e-15,2.47699e-14,3.524e-14,3.3243900000000004e-14,3.6491e-14,9.068752900000004e-25,2.163841e-20
3.0,0.2,1.8,0.375,1.509e-05,3.388e-05,9.999999999999904e-09,0.8667,1.471e-05,1.198e-07,5.01286e-14,5.346e-15,8.550900000000002e-16,4.393e-14,4.09034e-15,3.9948e-14,5.3012961e-25,4.8929439999999995e-20
3.0,0.2,1.8,0.45,1.509e-05,3.389e-05,9.999999999999904e-09,0.8667,1.471e-05,1.158e-07,5.01284e-14,5.347e-15,8.5163e-16,4.393e-14,4.07789e-15,3.9948e-14,5.3012961e-25,4.932840999999999e-20
3.0,0.2,1.8,0.525,1.509e-05,3.39e-05,9.999999999999904e-09,0.8667,1.472e-05,1.121e-07,5.01182e-14,5.348e-15,8.4855e-16,4.393e-14,4.06692e-15,3.9948e-14,5.3012961e-25,4.968441e-20
3.0,0.2,1.8,0.6,1.509e-05,3.391e-05,9.999999999999904e-09,0.8667,1.472e-05,1.087e-07,5.0118e-14,5.349e-15,8.4578e-16,4.392e-14,4.05638e-15,3.9948e-14,5.29984e-25,4.9996960000000006e-20
3.0,0.2,1.8,0.9,1.511e-05,3.394e-05,9.999999999999904e-09,0.8667,1.473e-05,9.727e-08,5.0106500000000006e-14,5.352e-15,8.3647e-16,4.392e-14,4.01568e-15,3.9948e-14,5.29984e-25,5.1302249999999997e-20
3.0,0.2,1.8,0.975,1.511e-05,3.395e-05,9.999999999999904e-09,0.8667,1.473e-05,9.486e-08,5.0105900000000007e-14,5.352e-15,8.3439e-16,4.392e-14,4.00713e-15,3.9948e-14,5.29984e-25,5.161984e-20
3.0,0.2,1.8,1.05,1.511e-05,3.395e-05,9.999999999999904e-09,0.8667,1.474e-05,9.259e-08,5.0105200000000006e-14,5.353e-15,8.3235e-16,4.392e-14,3.99768e-15,3.9948e-14,5.29984e-25,5.1892840000000005e-20
3.0,0.2,1.8,1.125,1.511e-05,3.396e-05,9.999999999999904e-09,0.8667,1.474e-05,9.045e-08,5.01043e-14,5.353e-15,8.302300000000001e-16,4.392e-14,3.98819e-15,3.9948e-14,5.29984e-25,5.2212250000000014e-20
3.0,0.2,1.8,1.2,1.511e-05,3.397e-05,9.999999999999904e-09,0.8667,1.474e-05,8.843e-08,5.01033e-14,5.354e-15,8.2812e-16,4.392e-14,3.97974e-15,3.9948e-14,5.29984e-25,5.248681e-20
3.0,0.4,3.025,0.5,1.511e-05,5.008e-06,9.999999999999904e-09,0.9523,3.651e-06,9.628e-05,6.242e-14,9.079e-16,3.0870000000000005e-14,3.064e-14,3.6742e-14,3.1749e-14,1.666681e-24,1.968409e-20
3.0,0.2,1.55,1.725,1.512e-05,3.037e-05,1.999999999999981e-08,0.772,1.472e-05,4.963e-06,5.2159700000000005e-14,4.653e-15,3.1578e-15,4.43499e-14,7.4868e-15,4.14209e-14,5.6205008999999995e-25,3.161284e-20
